,41_T4,41_T3,41_T2,41_T1,41_T0,42_T4,42_T3,42_T2,42_T1,42_T0,45_T4,45_T3,45_T2,45_T1,45_T0,46_T4,46_T3,46_T2,46_T1,46_T0,47_T4,47_T3,47_T2,47_T1,47_T0,48_T4,48_T3,48_T2,48_T1,48_T0,49_T4,49_T3,49_T2,49_T1,49_T0,50_T4,50_T3,50_T2,50_T1,50_T0,51_T4,51_T3,51_T2,51_T1,51_T0,39_T4,39_T3,39_T2,39_T1,39_T0,54_T4,54_T3,54_T2,54_T1,54_T0,55_T4,55_T3,55_T2,55_T1,55_T0,56_T4,56_T3,56_T2,56_T1,56_T0,57_T4,57_T3,57_T2,57_T1,57_T0,58_T4,58_T3,58_T2,58_T1,58_T0,59_T4,59_T3,59_T2,59_T1,59_T0,60_T4,60_T3,60_T2,60_T1,60_T0,61_T4,61_T3,61_T2,61_T1,61_T0,62_T4,62_T3,62_T2,62_T1,62_T0,63_T4,63_T3,63_T2,63_T1,63_T0,64_T4,64_T3,64_T2,64_T1,64_T0,65_T4,65_T3,65_T2,65_T1,65_T0,66_T4,66_T3,66_T2,66_T1,66_T0,67_T4,67_T3,67_T2,67_T1,67_T0,68_T4,68_T3,68_T2,68_T1,68_T0,69_T4,69_T3,69_T2,69_T1,69_T0,70_T4,70_T3,70_T2,70_T1,70_T0,71_T4,71_T3,71_T2,71_T1,71_T0,72_T4,72_T3,72_T2,72_T1,72_T0,73_T4,73_T3,73_T2,73_T1,73_T0,74_T4,74_T3,74_T2,74_T1,74_T0,75_T4,75_T3,75_T2,75_T1,75_T0,76_T4,76_T3,76_T2,76_T1,76_T0,77_T4,77_T3,77_T2,77_T1,77_T0,82_T4,82_T3,82_T2,82_T1,82_T0
41_T4,1.0,0.7844313546204202,0.5840710656557327,,,0.14457815905615515,0.15538278265602637,0.14802808046851137,,,0.24806353246367283,0.19432390852532277,0.1424027366745673,,,-0.02396339153098427,-0.017878835892793057,0.015777748093216366,,,0.0829032162151448,0.07062962416480999,0.05156463134948777,,,0.20279620215151117,0.1408937403028672,0.09483622643607349,,,-0.04696073860072785,-0.042280064033504115,-0.009923080500051468,,,-0.25127539545098526,-0.17967722195454344,-0.11896248456113763,,,0.14600058549073566,0.14031412369582613,0.13503630178359172,,,-0.09174096738058427,-0.08571766144881672,-0.04746902678150498,,,-0.14046616017654615,-0.14987503582590173,-0.11521105793967983,,,-0.11772633333602298,-0.1392713019244146,-0.13911059067340237,,,0.057237537840128166,0.07616708984239165,0.08589395910156057,,,0.12965382979180812,0.11560848354091362,0.0927114867124159,,,-0.030738654991737765,-0.04884861087963327,-0.04894697012276228,,,0.042640422846505474,0.036227277457494836,0.03981687889757945,,,0.11148376526959057,0.055184097229762696,0.019105649484739494,,,0.007193194011467691,-0.0026961917153033393,0.0061567716067757955,,,0.07193897009913224,0.053398802238508764,0.05423562069255207,,,0.14433794095753957,0.17863028122020708,0.15016187626065772,,,0.1424034939647144,0.10818813733833817,0.05421483623858457,,,0.04042163339171739,0.036574656163945944,0.0365224299155289,,,0.10672034143740537,0.11040439400103068,0.10079875543158388,,,0.08689386729546758,0.058716621400252,0.023793856567819936,,,0.09392253130731033,0.0937271530540352,0.08129075088314001,,,-0.14184279727208837,-0.12728237502993028,-0.09210618794808892,,,-0.12632129241835022,-0.08672462473022118,-0.0602591975675107,,,-0.04003888140690932,-0.04432071559550133,-0.01882376959940237,,,-0.10327097882279981,-0.1162926681328591,-0.0913942645472205,,,-0.10897700912419343,-0.12278962427859473,-0.10439001476558736,,,-0.028448594506222794,-0.06252419650928982,-0.08763562487242219,,,0.06772720026336027,0.06933690026427314,0.060408202326085535,,,0.10825372178277382,0.13291705214955632,0.14381034539290985,,,-0.014565671778366008,0.003975202580453873,0.010730339776322477,,,0.20655798934478548,0.13483263889102465,0.07727180247643822,,
41_T3,0.7844313546204202,1.0,0.7844313546204202,0.5840710656557327,,0.12511561703417856,0.14457815905615515,0.15538278265602637,0.14802808046851137,,0.21239854441550443,0.24806353246367283,0.19432390852532277,0.1424027366745673,,-0.018586491533733325,-0.02396339153098427,-0.017878835892793057,0.015777748093216366,,0.07374264829546193,0.0829032162151448,0.07062962416480999,0.05156463134948777,,0.19153831320583997,0.20279620215151117,0.1408937403028672,0.09483622643607349,,-0.04631366978612171,-0.04696073860072785,-0.042280064033504115,-0.009923080500051468,,-0.24457648798404621,-0.25127539545098526,-0.17967722195454344,-0.11896248456113763,,0.17793424454488566,0.14600058549073566,0.14031412369582613,0.13503630178359172,,-0.057410215791607974,-0.09174096738058427,-0.08571766144881672,-0.04746902678150498,,-0.07222275214998215,-0.14046616017654615,-0.14987503582590173,-0.11521105793967983,,-0.024439129157255924,-0.11772633333602298,-0.1392713019244146,-0.13911059067340237,,0.09642737675214068,0.057237537840128166,0.07616708984239165,0.08589395910156057,,0.17517467682669255,0.12965382979180812,0.11560848354091362,0.0927114867124159,,0.0016953625466553024,-0.030738654991737765,-0.04884861087963327,-0.04894697012276228,,0.0863308676698307,0.042640422846505474,0.036227277457494836,0.03981687889757945,,0.17431018080995117,0.11148376526959057,0.055184097229762696,0.019105649484739494,,0.028914027752868422,0.007193194011467691,-0.0026961917153033393,0.0061567716067757955,,0.0766701454715069,0.07193897009913224,0.053398802238508764,0.05423562069255207,,0.04370533513733472,0.14433794095753957,0.17863028122020708,0.15016187626065772,,0.12281197908594273,0.1424034939647144,0.10818813733833817,0.05421483623858457,,0.08453618978486703,0.04042163339171739,0.036574656163945944,0.0365224299155289,,0.17525876962651415,0.10672034143740537,0.11040439400103068,0.10079875543158388,,0.09795927845496286,0.08689386729546758,0.058716621400252,0.023793856567819936,,0.09294534569841946,0.09392253130731033,0.0937271530540352,0.08129075088314001,,-0.08560974896540466,-0.14184279727208837,-0.12728237502993028,-0.09210618794808892,,-0.18264169513341233,-0.12632129241835022,-0.08672462473022118,-0.0602591975675107,,0.004157378528841701,-0.04003888140690932,-0.04432071559550133,-0.01882376959940237,,-0.02825867027808071,-0.10327097882279981,-0.1162926681328591,-0.0913942645472205,,-0.06844379689355456,-0.10897700912419343,-0.12278962427859473,-0.10439001476558736,,0.0956747912487759,-0.028448594506222794,-0.06252419650928982,-0.08763562487242219,,0.04037784708252512,0.06772720026336027,0.06933690026427314,0.060408202326085535,,0.11401197860490699,0.10825372178277382,0.13291705214955632,0.14381034539290985,,-0.022515611770824163,-0.014565671778366008,0.003975202580453873,0.010730339776322477,,0.13628971817227906,0.20655798934478548,0.13483263889102465,0.07727180247643822,
41_T2,0.5840710656557327,0.7844313546204202,1.0,0.7842684473082581,0.5835381717227102,0.09336011584417521,0.12511561703417856,0.14394383499440705,0.15630634237131857,0.1505292393381111,0.14934606507478937,0.21239854441550443,0.24729384501883056,0.19464511129806847,0.1433885007191782,0.012525073392171867,-0.018586491533733325,-0.024736171026276614,-0.019374523181066843,0.013318260698882601,0.0642637023877834,0.07374264829546193,0.08183048906544067,0.06847385061696731,0.04622111138336218,0.15830714097402926,0.19153831320583997,0.20357759521804916,0.14074504549262326,0.09712487092543352,-0.06679963660609688,-0.04631366978612171,-0.045554110713340173,-0.039905595142975786,-0.005049651435176137,-0.18959603018272517,-0.24457648798404621,-0.25074829024864287,-0.17983218902471468,-0.12055528871193354,0.17151352414713628,0.17793424454488566,0.1456883979762022,0.14007204363113004,0.13692922782218708,-0.03324809070110126,-0.057410215791607974,-0.09107223802356386,-0.08398563494677831,-0.043864874086138414,-0.042799153710679404,-0.07222275214998215,-0.14005453523495173,-0.15027386706309495,-0.1180392897246905,0.05674056943399726,-0.024439129157255924,-0.1181971310278881,-0.1399118650883999,-0.1403461050589555,0.11349324884875073,0.09642737675214068,0.0583494184788893,0.07710826498768159,0.08397190934539898,0.16491656635509055,0.17517467682669255,0.13014825706558802,0.11721482175867476,0.09341190817873547,0.030336490584648025,0.0016953625466553024,-0.030174308761731772,-0.047866742297200414,-0.04667454100546152,0.1152731322892851,0.0863308676698307,0.043632110667882404,0.036749047254820234,0.03992876756293471,0.1818327371415678,0.17431018080995117,0.11171730907600483,0.055747954846062306,0.02080954263640659,-0.008011412339807235,0.028914027752868422,0.00695506277265001,-0.005048132298850636,0.000431047601662002,0.03020409745762363,0.0766701454715069,0.07045408679186778,0.05337442399826098,0.054753126028860004,-0.07259929855130647,0.04370533513733472,0.14425426035237487,0.17793552173975263,0.14854422128348277,0.07121604910047688,0.12281197908594273,0.14294204542090913,0.10919095487247774,0.054336008621930436,0.14193188924715458,0.08453618978486703,0.04087427580421586,0.038044322568281844,0.04058373531100728,0.18736651214322186,0.17525876962651415,0.10779331541406817,0.10977378524128877,0.09790008648319705,0.05760867425055346,0.09795927845496286,0.08699791585880406,0.059907364214397164,0.026473869128742465,0.09002266827560897,0.09294534569841946,0.0938501729752804,0.09494237938327695,0.08173747206757846,0.000653412683394951,-0.08560974896540466,-0.14180960321435837,-0.12782505960713958,-0.09254580728056741,-0.20132793614262567,-0.18264169513341233,-0.12622956645004152,-0.0869655721571656,-0.05922812643911808,0.027732833512877024,0.004157378528841701,-0.03921038027426701,-0.04300994800875394,-0.01675078635214804,0.014772020884237923,-0.02825867027808071,-0.10329413085982442,-0.11680133694674535,-0.09292261644835023,-0.03929558499955879,-0.06844379689355456,-0.10829710476127588,-0.12178046096377411,-0.10293709018492374,0.15840545904729927,0.0956747912487759,-0.02761879444946247,-0.060641306462418505,-0.08536137308904494,0.0023989678364825084,0.04037784708252512,0.06748400700138993,0.06893858414180042,0.05943100825239802,0.10245634271569183,0.11401197860490699,0.10761679620776984,0.13266390870165468,0.1452661543639343,-0.04455858574059256,-0.022515611770824163,-0.01497849843825094,0.003515904354339306,0.011164104642045055,0.0622438355170845,0.13628971817227906,0.20655236486771467,0.1359797186952623,0.08187047024305505
41_T1,,0.5840710656557327,0.7842684473082581,1.0,0.7842571579656891,,0.09336011584417521,0.1248113658068569,0.14419313352467883,0.15671060687620966,,0.14934606507478937,0.21205273510850614,0.24741345592654415,0.19481042916535765,,0.012525073392171867,-0.019005719304721426,-0.025138680967724994,-0.019833603096073887,,0.0642637023877834,0.07320567103636037,0.08125365651683542,0.06746270340778628,,0.15830714097402926,0.19188475392531362,0.2035778851595603,0.14109705109670936,,-0.06679963660609688,-0.0455886736770756,-0.04491206064502204,-0.039004830222819746,,-0.18959603018272517,-0.24437928239315634,-0.2508365423207296,-0.1801052451871702,,0.17151352414713628,0.17778823842391664,0.14564601848979122,0.14039242982088904,,-0.03324809070110126,-0.05712135504834838,-0.09063801474041029,-0.08335293915000276,,-0.042799153710679404,-0.07210353975412544,-0.14021624144171208,-0.1507706462496813,,0.05674056943399726,-0.024760727699031173,-0.11841563575843808,-0.1401821784707715,,0.11349324884875073,0.09690257659298561,0.05857404590914983,0.07673874844773225,,0.16491656635509055,0.17539156544662904,0.13051947204882758,0.11729953042028485,,0.030336490584648025,0.0019459982728555157,-0.029945101877660207,-0.04748908535636237,,0.1152731322892851,0.08676561218059299,0.04375283365126147,0.03674343405771585,,0.1818327371415678,0.17442397879416316,0.11186135558277559,0.056008434835533555,,-0.008011412339807235,0.028756673367037317,0.006295954377127045,-0.006120217528605657,,0.03020409745762363,0.07591637178931745,0.07047374424616012,0.05346556037162321,,-0.07259929855130647,0.043731791324859805,0.14414983277829893,0.17768426301389548,,0.07121604910047688,0.12309187411317934,0.14320808242544206,0.10918286377991111,,0.14193188924715458,0.08474519317791554,0.04124579370849436,0.03874358362906509,,0.18736651214322186,0.1756582950645678,0.1076135229812524,0.10918409997056058,,0.05760867425055346,0.09802385660519804,0.08730070775215808,0.06034334878320955,,0.09002266827560897,0.09292851146422608,0.09417249994015961,0.09502266937351933,,0.000653412683394951,-0.08565065067658403,-0.14199466720188675,-0.12790594181521936,,-0.20132793614262567,-0.1825892303239393,-0.12630187550465544,-0.0867238736206403,,0.027732833512877024,0.004528106178981435,-0.03889712013096213,-0.04266478863501416,,0.014772020884237923,-0.02833906163881777,-0.10347498634401889,-0.11710612525764792,,-0.03929558499955879,-0.06814794812913136,-0.10806508301854509,-0.12157417509739647,,0.15840545904729927,0.09599693079712986,-0.027196993162717602,-0.06028838401500065,,0.0023989678364825084,0.040280877501637,0.06740426760896419,0.06877741373038963,,0.10245634271569183,0.11368659950104666,0.10757143130024113,0.1329394288217241,,-0.04455858574059256,-0.022724299731353658,-0.015098501062383264,0.003599791815744038,,0.0622438355170845,0.13634778013259383,0.20682662655008474,0.13656429307614038
41_T0,,,0.5835381717227102,0.7842571579656891,1.0,,,0.093028699229175,0.12495053437625943,0.14433227359112924,,,0.14906300474226739,0.212128501396021,0.24748062111335237,,,0.01199826915840132,-0.0192754448655006,-0.025315759538068257,,,0.06367131031412472,0.07280320124424738,0.0808498034724343,,,0.15865002779050116,0.1918929954009885,0.20368692489388643,,,-0.0658805767293681,-0.04514037259505674,-0.04455916715920978,,,-0.18948489904359367,-0.24444258400587573,-0.25092630495146895,,,0.17137176275288243,0.17776000431464653,0.14575768208145465,,,-0.03296859759992966,-0.056853629710989936,-0.09040910929202428,,,-0.042759229826327745,-0.0722378008906279,-0.14038457593827752,,,0.05617999917516155,-0.024940259788983187,-0.11853385110981098,,,0.1139138525371255,0.0970203947695238,0.058417947177027106,,,0.1651478296969138,0.17551739487675777,0.13054797333037163,,,0.03057828445130953,0.002077699013899288,-0.02981810551694225,,,0.11566151281198082,0.08682826210565787,0.043740150863520226,,,0.18197372670804318,0.17450010452585593,0.11195063072701933,,,-0.008200415560608666,0.02824195594446659,0.0058608474165139325,,,0.029475518282912685,0.075934986283409,0.0705173538711009,,,-0.07246705411713322,0.04368975904996918,0.14409220694617328,,,0.07160239036096999,0.1232406096557828,0.14322005073622565,,,0.1421364963176286,0.0849364629330087,0.041491049527553954,,,0.18765799127316296,0.1754977072507678,0.10736178711979177,,,0.057720217374510566,0.09818926636113964,0.08745232602047967,,,0.09004814516278518,0.09310932438886493,0.09421211608792819,,,0.0004758573206906866,-0.0857800356053539,-0.1420503071808082,,,-0.20130966358675323,-0.18262614329236615,-0.12620788526725923,,,0.028092953233035418,0.004706157690167154,-0.03878414240433982,,,0.014589126537216503,-0.028485123026515482,-0.10360224740968521,,,-0.03899520921961249,-0.06801447964229632,-0.10800321928739626,,,0.15865326115314352,0.09617632544760858,-0.02709935256775964,,,0.002325173744062658,0.04023726511794459,0.06735459482201107,,,0.10208237151852333,0.1136583301207021,0.10767515985294372,,,-0.044792015900542145,-0.02280163738235393,-0.015067877959317239,,,0.06246236144661511,0.13647883389574864,0.2069334431034611
42_T4,0.14457815905615515,0.12511561703417856,0.09336011584417521,,,1.0,0.8314309129917208,0.6624478240585959,,,0.02884530434469845,0.016374271108737497,-0.026183001269753505,,,-0.002930376765786681,-0.008658494492601905,0.0033286050873192995,,,0.10580590090861468,0.1306903385086481,0.1263435462622018,,,0.09227381825875275,0.027016798379642874,-0.019312675383160532,,,0.03200930487297552,0.014784885127702692,0.001867157844623047,,,-0.07511314370225573,-0.027715691186844083,0.01589099735068007,,,0.08594034547930668,0.07583630192678453,0.06040733888141503,,,-0.07231580637260218,-0.10425501868569878,-0.12221100154757389,,,-0.0526022034738641,-0.062037846065360266,-0.018798963418705707,,,-0.1068856884985296,-0.1231760299243553,-0.10079917575886642,,,0.04148229979147947,0.037877892233034144,0.028006333137118845,,,0.10881842822651781,0.09099435862209962,0.1024170053385419,,,-0.04193857351343169,-0.047924057968093674,-0.05034203845011643,,,0.07017285469388103,0.06231606131598328,0.0358368093095417,,,0.057771476840232726,0.023599714632314875,0.012462321130902182,,,-0.034627646777107,-0.0544582978973168,-0.024647205188856512,,,0.0393635239899883,0.04218888588028508,0.03359017101606989,,,0.13655593544503825,0.16000565533639002,0.1302196176521046,,,0.031124260277678777,0.03690407530601235,0.08780993743673156,,,0.0747949447404386,0.08655596436735015,0.10383200607059148,,,0.04774011920341422,0.059108712894799444,0.06924233208293501,,,0.06197141403535313,0.04559499639158478,0.018651418570907134,,,0.03608199301467997,0.05270141500065563,0.050950238921530666,,,-0.05068761388083315,-0.03133782362268293,-0.04359855601294013,,,-0.09584008421620982,-0.11121295956328786,-0.1303367748279639,,,-0.024636891125009115,-0.016200941332305582,0.006843792000406425,,,-0.05640597822350133,-0.09397181604711866,-0.11362704481897715,,,-0.12263084010159246,-0.12030396049771198,-0.1042883470618611,,,-0.0746334030667094,-0.10617094444755046,-0.09985961542964486,,,0.08056542470116995,0.07714253314918058,0.05546618084378215,,,0.11972102488796388,0.121652329119555,0.09347788342557382,,,0.013320442473956749,0.0020763127205261052,-0.015730226166524787,,,0.14373247124324634,0.09217440691306679,0.07749122517748075,,
42_T3,0.15538278265602637,0.14457815905615515,0.12511561703417856,0.09336011584417521,,0.8314309129917208,1.0,0.8314309129917208,0.6624478240585959,,0.026890918209981268,0.02884530434469845,0.016374271108737497,-0.026183001269753505,,-0.0006971711179569126,-0.002930376765786681,-0.008658494492601905,0.0033286050873192995,,0.08587927830992252,0.10580590090861468,0.1306903385086481,0.1263435462622018,,0.1388286916308454,0.09227381825875275,0.027016798379642874,-0.019312675383160532,,0.04143882307541379,0.03200930487297552,0.014784885127702692,0.001867157844623047,,-0.11834499974948025,-0.07511314370225573,-0.027715691186844083,0.01589099735068007,,0.08335831034470104,0.08594034547930668,0.07583630192678453,0.06040733888141503,,-0.03392996559129824,-0.07231580637260218,-0.10425501868569878,-0.12221100154757389,,-0.010129346283841385,-0.0526022034738641,-0.062037846065360266,-0.018798963418705707,,-0.0582392893188496,-0.1068856884985296,-0.1231760299243553,-0.10079917575886642,,0.06198898165325909,0.04148229979147947,0.037877892233034144,0.028006333137118845,,0.1432827218459612,0.10881842822651781,0.09099435862209962,0.1024170053385419,,-0.021637711621737513,-0.04193857351343169,-0.047924057968093674,-0.05034203845011643,,0.09282680300183581,0.07017285469388103,0.06231606131598328,0.0358368093095417,,0.10415702993901452,0.057771476840232726,0.023599714632314875,0.012462321130902182,,0.010896815910206952,-0.034627646777107,-0.0544582978973168,-0.024647205188856512,,0.02598354836715658,0.0393635239899883,0.04218888588028508,0.03359017101606989,,0.12139811997317082,0.13655593544503825,0.16000565533639002,0.1302196176521046,,0.03718173718926345,0.031124260277678777,0.03690407530601235,0.08780993743673156,,0.09082596817115117,0.0747949447404386,0.08655596436735015,0.10383200607059148,,0.053229483428311686,0.04774011920341422,0.059108712894799444,0.06924233208293501,,0.07302752060585582,0.06197141403535313,0.04559499639158478,0.018651418570907134,,0.018810062656583505,0.03608199301467997,0.05270141500065563,0.050950238921530666,,-0.017299671069572052,-0.05068761388083315,-0.03133782362268293,-0.04359855601294013,,-0.07155063566734746,-0.09584008421620982,-0.11121295956328786,-0.1303367748279639,,-0.028789534596689727,-0.024636891125009115,-0.016200941332305582,0.006843792000406425,,0.006966251941790631,-0.05640597822350133,-0.09397181604711866,-0.11362704481897715,,-0.12293851968946305,-0.12263084010159246,-0.12030396049771198,-0.1042883470618611,,-0.007689914453617061,-0.0746334030667094,-0.10617094444755046,-0.09985961542964486,,0.07242957142074798,0.08056542470116995,0.07714253314918058,0.05546618084378215,,0.11793140581734689,0.11972102488796388,0.121652329119555,0.09347788342557382,,0.022211601074396795,0.013320442473956749,0.0020763127205261052,-0.015730226166524787,,0.14148393118366695,0.14373247124324634,0.09217440691306679,0.07749122517748075,
42_T2,0.14802808046851137,0.15538278265602637,0.14394383499440705,0.1248113658068569,0.093028699229175,0.6624478240585959,0.8314309129917208,1.0,0.8304108489044255,0.6602011189073802,-0.006721456170600307,0.026890918209981268,0.029130335914445304,0.016127788223044958,-0.026729386347509074,0.01757962782480923,-0.0006971711179569126,-0.002537739644665535,-0.007904108750291704,0.004367193216228415,0.03685470648026554,0.08587927830992252,0.10623308105395758,0.13148780764345622,0.12807995876026795,0.12769308888571584,0.1388286916308454,0.09173610885938012,0.027028198712573042,-0.020392430452032963,0.02641895492145959,0.04143882307541379,0.031315838026731276,0.013644378335236587,-0.00022006138058799115,-0.15325267392696545,-0.11834499974948025,-0.07528317434541812,-0.0275593424290342,0.01669093250813767,0.060460788277179024,0.08335831034470104,0.08603973023397275,0.07588277652977868,0.05937870306271016,-0.024784851038035464,-0.03392996559129824,-0.07259208012480702,-0.10493500389088439,-0.12346878332422874,0.016812701229150535,-0.010129346283841385,-0.05275472730645497,-0.061758607522888365,-0.017384467163023904,-0.00022224782049923357,-0.0582392893188496,-0.10658457172649871,-0.12274655761612044,-0.10005700484140251,0.0789649933662732,0.06198898165325909,0.04086770677597782,0.037354363344319526,0.028726531182284843,0.1271528298184446,0.1432827218459612,0.10849786212668062,0.08999306386868372,0.10198191925894626,-0.01714056063953215,-0.021637711621737513,-0.0421963340478446,-0.04835908856221375,-0.0512260123626945,0.10979387317135655,0.09282680300183581,0.06961744076123373,0.06202611433941225,0.035740351681279064,0.13510878133535428,0.10415702993901452,0.057613964910474345,0.023290825243539936,0.011698247203391686,0.042307638854885296,0.010896815910206952,-0.03450663211715511,-0.05319824299648102,-0.022084904435487152,0.017295627596986433,0.02598354836715658,0.040006225809480815,0.04217129717547169,0.03330465306895883,0.0652281044305729,0.12139811997317082,0.13653984606626335,0.16022239124949197,0.13070142906588655,0.03866433964270906,0.03718173718926345,0.030796726335916392,0.0363266604780399,0.08767705344030308,0.1273024533211904,0.09082596817115117,0.07454070586786825,0.0857293073290526,0.10174519193985136,0.03597689257974492,0.053229483428311686,0.04710864052356684,0.05935243285633575,0.07028377644382733,0.0630712228685749,0.07302752060585582,0.06188739416379697,0.04494227734255592,0.017440606146214066,-0.004113067797494432,0.018810062656583505,0.036087715813144135,0.052003349048533806,0.050663927355608075,-0.0018387149579788954,-0.017299671069572052,-0.05065911397887925,-0.031002268816029462,-0.043308600612551686,0.007912258032293791,-0.07155063566734746,-0.09583873663878298,-0.11103388826966352,-0.1306646121487651,-0.024149341343203404,-0.028789534596689727,-0.025019620885359674,-0.016805246938028956,0.005962634085053679,0.05855259927708594,0.006966251941790631,-0.05635904685022968,-0.09364009975697453,-0.1127879445475459,-0.11460391004021138,-0.12293851968946305,-0.12289354428989988,-0.12068580088464997,-0.10475905589768608,0.050025316793143676,-0.007689914453617061,-0.07499909314062707,-0.10691613720267852,-0.10065512739404561,0.05477838714596002,0.07242957142074798,0.080654444334407,0.07729112473059399,0.05580719812469359,0.09341189997393785,0.11793140581734689,0.11996539810452854,0.12169845934912371,0.09262734056940186,0.026235020955349266,0.022211601074396795,0.013525913194330686,0.002299199804787682,-0.015920467857461453,0.06168576148715329,0.14148393118366695,0.1436229965313741,0.0912890352452298,0.07451314971192616
42_T1,,0.14802808046851137,0.15630634237131857,0.14419313352467883,0.12495053437625943,,0.6624478240585959,0.8304108489044255,1.0,0.8305555366938496,,-0.006721456170600307,0.026306248278184657,0.029410891171646417,0.01647983830780413,,0.01757962782480923,-0.001568102581009416,-0.0032999138734485737,-0.008715031502882477,,0.03685470648026554,0.08481320434708389,0.10519465855049388,0.12967269878369422,,0.12769308888571584,0.13967464784843164,0.09174226211791539,0.027733988545414787,,0.02641895492145959,0.04272057330098961,0.0323536459067721,0.015085577911536568,,-0.15325267392696545,-0.11797203152906682,-0.07547838648512388,-0.02812544423075146,,0.060460788277179024,0.08307695127650773,0.08596152484113397,0.07648138202933595,,-0.024784851038035464,-0.033359300940553754,-0.07183383682963052,-0.10383677210117033,,0.016812701229150535,-0.00990201128441653,-0.05307910405782864,-0.06278280012280447,,-0.00022224782049923357,-0.05887064673262646,-0.10699388391633104,-0.12322305132435146,,0.0789649933662732,0.06306189368557749,0.04128735840134957,0.03673562922093011,,0.1271528298184446,0.14374146455825546,0.10925358553190118,0.0901336838786058,,-0.01714056063953215,-0.021116429848858264,-0.04177127320695601,-0.04770113111936195,,0.10979387317135655,0.09374448175538222,0.06982623091804926,0.061999994131765664,,0.13510878133535428,0.10439373648241702,0.057890217926327106,0.02375820707989436,,0.042307638854885296,0.010582389405024288,-0.03564140979511715,-0.0549447514651148,,0.017295627596986433,0.024609799543555418,0.040042012061764345,0.042326523024929875,,0.0652281044305729,0.1214137027814986,0.13633719896579702,0.1597769441292381,,0.03866433964270906,0.03781886949195268,0.031369855455036524,0.03632315151219896,,0.1273024533211904,0.09124217939073034,0.07520623468642307,0.08690008873669006,,0.03597689257974492,0.054318054035754404,0.04679494850314648,0.05839504335254234,,0.0630712228685749,0.07315091917448743,0.06247182258503845,0.04572142520153511,,-0.004113067797494432,0.018786228175267185,0.03673782133121405,0.05214599292651473,,-0.0018387149579788954,-0.01739298507259333,-0.05103503584339351,-0.03116361754563239,,0.007912258032293791,-0.07145239372922242,-0.09596665559264098,-0.11059266819777973,,-0.024149341343203404,-0.0280120908512928,-0.024457835533926237,-0.01621949959386876,,0.05855259927708594,0.006794295519243769,-0.056706480792041804,-0.09418483474377645,,-0.11460391004021138,-0.12230694357622011,-0.12246076917054126,-0.12031200945248474,,0.050025316793143676,-0.006943525490639554,-0.07419859104136574,-0.10627292370227853,,0.05477838714596002,0.07221353003947147,0.08049719513249583,0.0769974104511995,,0.09341189997393785,0.11727466620521863,0.11986587085926648,0.12218069740140432,,0.026235020955349266,0.021767908446295028,0.013298518670140595,0.0024451121442788,,0.06168576148715329,0.14157322233774555,0.14421360375441675,0.09246770942539903
42_T0,,,0.1505292393381111,0.15671060687620966,0.14433227359112924,,,0.6602011189073802,0.8305555366938496,1.0,,,-0.007753581688710652,0.026774079602547313,0.029732310093695886,,,0.015296967786113067,-0.00286375244627782,-0.0039569647149979735,,,0.03451853629536869,0.08323489537061128,0.10391019231748191,,,0.13006662548052692,0.13966746159201388,0.09227965787058108,,,0.02961119559915461,0.04433801161802105,0.03341886846784941,,,-0.15267136339846213,-0.1183162203206229,-0.0759549832422764,,,0.05986100746404273,0.08293395379621551,0.0864177069797507,,,-0.023578751682823824,-0.032271867279767254,-0.07109318346297859,,,0.016957519442549588,-0.010593569150411172,-0.05394696473174818,,,-0.0023956550366153583,-0.059677580956315625,-0.10744954586851212,,,0.08140442510341421,0.06365319172314966,0.04075718689504652,,,0.12832320891091842,0.14485455188320587,0.10933364054878754,,,-0.016002589630211665,-0.020500285143892957,-0.04131590524175916,,,0.1119283518716785,0.09400799338751495,0.06976171169880109,,,0.13571544357823687,0.10477878149648308,0.058231445086101966,,,0.041418421545969274,0.008517585433201217,-0.0370762127937543,,,0.014305985765041744,0.024692095709349608,0.04019475219422079,,,0.06568788404123292,0.12117426835338425,0.13611000316985125,,,0.040584255290284796,0.03873671774240818,0.031416544383825414,,,0.12823527766253226,0.09227239559070763,0.07610465651724671,,,0.03860746449508662,0.05371282130669718,0.046027879811654286,,,0.06351752556090726,0.07406565676958632,0.06307103144971812,,,-0.003972814695441388,0.01985919721752672,0.036880200515894655,,,-0.0026143738808525633,-0.018072514853307752,-0.05124639701006735,,,0.00793350990088927,-0.07162126541907564,-0.09563470772096601,,,-0.02243943488541477,-0.02717416489037947,-0.024063815511306774,,,0.05769142447935556,0.006093365301665809,-0.057215071131930154,,,-0.11318251206107999,-0.12167876619230691,-0.12221649528994738,,,0.051416247844096596,-0.005836540305187306,-0.07383124612498591,,,0.05439464324536492,0.0719887327108025,0.0803031084128837,,,0.09185804086663828,0.1171062090592258,0.12023894934788512,,,0.0251117617117922,0.021397277342002412,0.013400642984529232,,,0.06271267824286365,0.14251724626054538,0.1451325747806571
