Filtered Pattern, Confidence-Frequence
Total number of input patterns: 3033
[[[['QuasiVuota_T0_0,Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_3,Vuota_T0_0,Vuota_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_3,Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_0,Vuota_T1_2,Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_2'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_0,Vuota_T0_2,Vuota_T0_2'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['1.0 - 1']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_0'], ['QuasiVuota_T2_0']]], ['1.0 - 1']]
[[[['QuasiVuota_T0_3,Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_1'], ['Vuota_T2_0']]], ['1.0 - 1']]
[[[['QuasiVuota_T0_3,Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 1']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2'], ['Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9807692307692307 - 51']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9782608695652174 - 45']]
[[[['QuasiVuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_2,Vuota_T1_0'], ['Vuota_T2_0']]], ['0.975609756097561 - 40']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.972972972972973 - 36']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['Vuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9696969696969697 - 32']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9696969696969697 - 32']]
[[[['QuasiVuota_T0_3,Vuota_T0_0'], ['QuasiVuota_T1_2,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9666666666666667 - 29']]
[[[['QuasiVuota_T0_0,Vuota_T0_2'], ['Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9622641509433962 - 51']]
[[[['QuasiVuota_T0_0,Vuota_T0_0'], ['Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.96 - 48']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,Vuota_T0_2'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9583333333333334 - 46']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_1,Vuota_T0_2'], ['Vuota_T1_0']]], ['0.9583333333333334 - 23']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9555555555555556 - 86']]
[[[['QuasiVuota_T0_0,Vuota_T0_1'], ['Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9545454545454546 - 105']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9545454545454546 - 63']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_1,Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9545454545454546 - 42']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1'], ['Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9545454545454546 - 42']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['Vuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9545454545454546 - 21']]
[[[['QuasiVuota_T0_0,Vuota_T0_1'], ['Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9545454545454546 - 21']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_0,Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.95 - 19']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3,Vuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.95 - 19']]
[[[['QuasiVuota_T0_0,Vuota_T0_1,Vuota_T0_1'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9444444444444444 - 17']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Vuota_T0_3'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9444444444444444 - 17']]
[[[['QuasiVuota_T0_0,Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9387755102040817 - 92']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1'], ['Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9385964912280702 - 107']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_3,Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9375 - 15']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_3,Vuota_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9354838709677419 - 29']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['0.935251798561151 - 130']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_1,Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9351851851851852 - 101']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_0,Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9333333333333333 - 14']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_0,Vuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9333333333333333 - 14']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,Vuota_T0_1'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9320388349514563 - 96']]
[[[['QuasiVuota_T0_0,Vuota_T0_1'], ['QuasiVuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9263157894736842 - 88']]
[[[['QuasiVuota_T0_0,Vuota_T0_1'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9230769230769231 - 120']]
[[[['QuasiVuota_T0_3,Vuota_T0_0'], ['Vuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9230769230769231 - 36']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.9215686274509803 - 47']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2'], ['Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9176470588235294 - 78']]
[[[['QuasiVuota_T0_0,Vuota_T0_0'], ['QuasiVuota_T1_2,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9166666666666666 - 22']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,Vuota_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9166666666666666 - 22']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_2'], ['Vuota_T1_1'], ['Vuota_T2_0']]], ['0.9166666666666666 - 22']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9156626506024096 - 76']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_3,Vuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9142857142857143 - 32']]
