Filtered Pattern, Confidence-Frequence
Total number of input patterns: 2934
[[[['QuasiVuota_T0_3,QuasiVuota_T0_3,Vuota_T0_0,Vuota_T0_2'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_3,QuasiVuota_T0_3,Vuota_T0_0,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_3,QuasiVuota_T0_3,Vuota_T0_0'], ['Vuota_T1_2'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_3,Vuota_T1_2,Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_3,Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_2'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_3,Vuota_T0_0,Vuota_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_1'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Vuota_T0_1,Vuota_T0_3'], ['QuasiVuota_T1_2'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_2,Vuota_T1_1'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_3,Vuota_T1_2'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_2,Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_2,Vuota_T1_1,Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_1,Vuota_T0_3'], ['Vuota_T1_0']]], ['1.0 - 1']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_1,Vuota_T0_3'], ['Vuota_T2_0']]], ['1.0 - 1']]
[[[['QuasiVuota_T0_1,Vuota_T0_0'], ['QuasiVuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['1.0 - 1']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['1.0 - 1']]
[[[['QuasiVuota_T0_0,Vuota_T0_2,Vuota_T0_2'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['1.0 - 1']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9772727272727273 - 43']]
[[[['QuasiVuota_T0_0,Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9767441860465116 - 84']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Vuota_T0_1,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.9767441860465116 - 42']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9761904761904762 - 82']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_1,Vuota_T0_2'], ['Vuota_T1_0']]], ['0.9705882352941176 - 33']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Vuota_T0_3'], ['Vuota_T1_1'], ['QuasiVuota_T2_0']]], ['0.96 - 24']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.9583333333333334 - 69']]
[[[['QuasiVuota_T0_0,Vuota_T0_0'], ['Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9583333333333334 - 46']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_3,Vuota_T1_1'], ['QuasiVuota_T2_0']]], ['0.9565217391304348 - 22']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9538461538461539 - 62']]
[[[['QuasiVuota_T0_0,Vuota_T0_1,Vuota_T0_1,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.9506172839506173 - 77']]
[[[['QuasiVuota_T0_0,Vuota_T0_1'], ['Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9491525423728814 - 112']]
[[[['QuasiVuota_T0_0,Vuota_T0_2'], ['Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9473684210526315 - 54']]
[[[['QuasiVuota_T0_0,Vuota_T0_1,Vuota_T0_1'], ['QuasiVuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.9473684210526315 - 36']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9444444444444444 - 17']]
[[[['Vuota_T0_0'], ['Vuota_T1_0,Vuota_T1_2,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9444444444444444 - 17']]
