TIME SLOT: extraction/30min Pattern, Confidence-Frequence
Total number of input patterns: 29371
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Normal_T1_1'], ['Normal_T2_1']]], ['0.8436018957345972 - 356']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.8422619047619048 - 283']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['Normal_T1_0']]], ['0.8421052631578947 - 128']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.8419055649241147 - 1997']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Normal_T1_1'], ['Normal_T2_1']]], ['0.8416666666666667 - 404']]
[[[['Normal_T0_0'], ['Normal_T1_2,Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8416666666666667 - 202']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_1'], ['QuasiPiena_T2_2']]], ['0.8413461538461539 - 350']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_3'], ['Normal_T1_2'], ['Normal_T2_2']]], ['0.8412698412698413 - 318']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0,Normal_T1_1'], ['Normal_T2_0']]], ['0.8412698412698413 - 318']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0,QuasiPiena_T1_1'], ['Normal_T2_0']]], ['0.8407643312101911 - 264']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_2'], ['Normal_T1_1'], ['Normal_T2_1']]], ['0.8403755868544601 - 358']]
[[[['Normal_T0_0,QuasiPiena_T0_2'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.8386075949367089 - 530']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['Normal_T1_0']]], ['0.8378378378378378 - 62']]
[[[['Normal_T0_0,QuasiPiena_T0_2'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8375184638109305 - 567']]
[[[['Normal_T0_0'], ['Normal_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_2'], ['Normal_T2_2']]], ['0.8372827804107424 - 530']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['Normal_T1_0,Normal_T1_2'], ['Normal_T2_2']]], ['0.8368869936034116 - 785']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0,Normal_T1_1'], ['Normal_T2_0']]], ['0.8351063829787234 - 314']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_2'], ['QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.834307992202729 - 856']]
