Filtered Pattern, Confidence-Frequence
Total number of input patterns: 6322
[[[['Normal_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_0,Normal_T1_1'], ['Normal_T2_0']]], ['0.762051282051282 - 2229']]
[[[['Normal_T0_0'], ['Normal_T1_3'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7618320610687023 - 2994']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_3'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.761484557487672 - 2934']]
[[[['Normal_T0_0,Normal_T0_3'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7612018977332631 - 2888']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_0,Normal_T1_1,Normal_T1_3'], ['Normal_T2_0']]], ['0.7607830126078301 - 2293']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_3'], ['Normal_T1_0']]], ['0.760670731707317 - 3992']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_1,Normal_T0_3'], ['Normal_T1_0']]], ['0.760389367278173 - 4062']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_1,QuasiPiena_T0_3'], ['Normal_T1_0']]], ['0.7603857566765578 - 4100']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['Normal_T1_0']]], ['0.759825327510917 - 2088']]
[[[['Normal_T0_0,Normal_T0_3'], ['QuasiPiena_T1_0,Normal_T1_1'], ['Normal_T2_0']]], ['0.7597728032074841 - 2274']]
[[[['Normal_T0_0'], ['Normal_T2_0,QuasiPiena_T2_0,Normal_T2_1'], ['Normal_T3_0']]], ['0.7597066436583262 - 3522']]
[[[['Normal_T0_0'], ['QuasiPiena_T2_2,Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7584456780333069 - 4782']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_0,Normal_T1_1,QuasiPiena_T1_3'], ['Normal_T2_0']]], ['0.7579617834394905 - 2261']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_1,Normal_T0_3'], ['Normal_T1_0']]], ['0.7571012381646031 - 4158']]
[[[['QuasiPiena_T0_0'], ['Normal_T2_0,QuasiPiena_T2_0,QuasiPiena_T2_3'], ['Normal_T3_0']]], ['0.7570314346490191 - 3203']]
[[[['QuasiPiena_T0_0'], ['Normal_T2_0,QuasiPiena_T2_0,QuasiPiena_T2_1'], ['Normal_T3_0']]], ['0.7561024409763906 - 3779']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_1'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7543352601156069 - 3393']]
[[[['QuasiPiena_T0_0'], ['Normal_T2_0,QuasiPiena_T2_0,Normal_T2_3'], ['Normal_T3_0']]], ['0.7533736621684505 - 3238']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.752990851513019 - 3210']]
[[[['QuasiPiena_T0_0,Normal_T0_3'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7528195488721805 - 3204']]
[[[['Normal_T0_0'], ['Normal_T2_2,Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7524940617577197 - 4752']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_2'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7518133081046988 - 4768']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_3,Normal_T0_3'], ['Normal_T1_0']]], ['0.750514050719671 - 2190']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_1,Normal_T1_3'], ['Normal_T2_0']]], ['0.75 - 2232']]
[[[['Normal_T0_0'], ['Normal_T1_1'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7493478260869565 - 3447']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_0'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.749046113594244 - 13742']]
[[[['Normal_T0_0'], ['Normal_T1_2'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7488482922954726 - 4714']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_3'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7487517022242397 - 3299']]
