Filtered Pattern, Confidence-Frequence
Total number of input patterns: 3491
[[[['QuasiPiena_T0_0'], ['Piena_T1_0,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.8333333333333334 - 10']]
[[[['Piena_T0_0,Piena_T0_2'], ['Piena_T1_1,Piena_T1_1'], ['Piena_T2_0']]], ['0.8181818181818182 - 9']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_0']]], ['0.8181818181818182 - 9']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_2,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.8125 - 13']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_0']]], ['0.8070175438596491 - 46']]
[[[['QuasiPiena_T0_0,Piena_T0_1,Piena_T0_1,Piena_T0_3'], ['QuasiPiena_T1_0']]], ['0.8 - 12']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_3'], ['Piena_T1_1'], ['Piena_T2_0']]], ['0.8 - 8']]
[[[['QuasiPiena_T0_1,Piena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_0']]], ['0.7931034482758621 - 23']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_0']]], ['0.7924528301886793 - 42']]
[[[['QuasiPiena_T0_2,Piena_T0_0,Piena_T0_1'], ['Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.7894736842105263 - 15']]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_1,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.7857142857142857 - 11']]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_0']]], ['0.782608695652174 - 36']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_0'], ['QuasiPiena_T2_0']]], ['0.782608695652174 - 36']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_0']]], ['0.7777777777777778 - 7']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T2_0']]], ['0.7777777777777778 - 7']]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_1,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.775 - 31']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1,Piena_T0_3'], ['QuasiPiena_T1_0']]], ['0.7727272727272727 - 119']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.7692307692307693 - 20']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_2,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.7692307692307693 - 10']]
[[[['QuasiPiena_T0_2,Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.7692307692307693 - 10']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_1,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.7692307692307693 - 10']]
[[[['QuasiPiena_T0_2,Piena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_0']]], ['0.7692307692307693 - 10']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['Piena_T1_0'], ['QuasiPiena_T2_0']]], ['0.7666666666666667 - 23']]
[[[['Piena_T0_0'], ['Piena_T1_0,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_0']]], ['0.76 - 19']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_0']]], ['0.759493670886076 - 60']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_0,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_0']]], ['0.7586206896551724 - 22']]
[[[['Piena_T0_0,Piena_T0_1,Piena_T0_3'], ['Piena_T1_1'], ['QuasiPiena_T2_0']]], ['0.7586206896551724 - 22']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_0'], ['QuasiPiena_T2_0']]], ['0.7560975609756098 - 31']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_1'], ['Piena_T1_0'], ['QuasiPiena_T2_0']]], ['0.75 - 45']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_1'], ['QuasiPiena_T2_0']]], ['0.75 - 21']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_0,Piena_T1_1,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.75 - 21']]
[[[['QuasiPiena_T0_0,Piena_T0_1,Piena_T0_3'], ['Piena_T1_0'], ['Piena_T2_0']]], ['0.75 - 18']]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_3'], ['Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.75 - 12']]
[[[['QuasiPiena_T0_0,Piena_T0_1,Piena_T0_3'], ['Piena_T1_2'], ['QuasiPiena_T2_0']]], ['0.75 - 12']]
[[[['Piena_T0_0'], ['Piena_T1_0,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.75 - 6']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_0']]], ['0.7454545454545455 - 41']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_0']]], ['0.7441860465116279 - 32']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_0']]], ['0.7419354838709677 - 23']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_0']]], ['0.7413793103448276 - 129']]
[[[['QuasiPiena_T0_1,Piena_T0_0,Piena_T0_2,Piena_T0_3'], ['QuasiPiena_T2_0']]], ['0.7391304347826086 - 17']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_3'], ['QuasiPiena_T1_1'], ['QuasiPiena_T2_0']]], ['0.7391304347826086 - 17']]
[[[['QuasiPiena_T0_2,Piena_T0_0'], ['Piena_T1_1,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.7368421052631579 - 14']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_0']]], ['0.7358490566037735 - 39']]
[[[['QuasiPiena_T0_2,Piena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_0']]], ['0.7358490566037735 - 39']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_0']]], ['0.7352941176470589 - 125']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['QuasiPiena_T1_0']]], ['0.7307692307692307 - 95']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Piena_T1_0,Piena_T1_3'], ['Piena_T2_0']]], ['0.7307692307692307 - 57']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T2_0']]], ['0.7297297297297297 - 27']]
[[[['QuasiPiena_T0_2,Piena_T0_0,Piena_T0_1,Piena_T0_1'], ['QuasiPiena_T1_0']]], ['0.7272727272727273 - 40']]
