,2_T4,2_T3,2_T2,2_T1,2_T0,3_T4,3_T3,3_T2,3_T1,3_T0,4_T4,4_T3,4_T2,4_T1,4_T0,5_T4,5_T3,5_T2,5_T1,5_T0,6_T4,6_T3,6_T2,6_T1,6_T0,7_T4,7_T3,7_T2,7_T1,7_T0,8_T4,8_T3,8_T2,8_T1,8_T0,9_T4,9_T3,9_T2,9_T1,9_T0,10_T4,10_T3,10_T2,10_T1,10_T0,11_T4,11_T3,11_T2,11_T1,11_T0,12_T4,12_T3,12_T2,12_T1,12_T0,13_T4,13_T3,13_T2,13_T1,13_T0,14_T4,14_T3,14_T2,14_T1,14_T0,16_T4,16_T3,16_T2,16_T1,16_T0,80_T4,80_T3,80_T2,80_T1,80_T0,84_T4,84_T3,84_T2,84_T1,84_T0
2_T4,1.0,0.9985538376250501,0.9980044770435067,0.9973008639100268,0.9968087124379362,0.09476876668130144,0.09606838712979154,0.09554202087434087,0.09539245193942394,0.09462686079512422,-0.20544464203310933,-0.20341366002333208,-0.20216323843167558,-0.20128996996649873,-0.20010689444163288,-0.1036066244363271,-0.10516901785027308,-0.10474860403367045,-0.10468726910348286,-0.10452698848764286,-0.21271803188867439,-0.2127098245706597,-0.21310267460417892,-0.21313202373798118,-0.21301511674573448,0.023714301867953213,0.024311231241934794,0.023851082740505597,0.023548169677308703,0.023695878593870758,-0.0849636492320501,-0.08459535526476429,-0.08342476874928806,-0.08298113542084548,-0.08200174242473451,-0.01181124455530676,-0.012641356528262015,-0.013609350405561441,-0.014433519966422828,-0.014538335575905552,-0.011374283818799128,-0.012416620273959143,-0.012041535106422837,-0.011988536916317075,-0.011555567791562128,-0.19000436089575054,-0.19137498779371598,-0.19101368995821474,-0.1910528442866823,-0.19101670870721488,0.002855005558778114,0.0038783641136720067,0.0032828015497642945,0.002956890213699915,0.002408909126640265,-0.1308988679847822,-0.13194661115267883,-0.13273344707774468,-0.13323385784315922,-0.13339629249511234,0.07130824106861103,0.0699976463669256,0.06943374101249995,0.06974546227202014,0.06965433661831365,-0.08032001238164335,-0.08145394082096982,-0.08023988450029529,-0.0793280969575396,-0.07859134442834555,-0.0508580775427451,-0.05086349518661766,-0.04956882576841229,-0.049229077434487505,-0.04875584360549577,-0.14666597162174538,-0.14756409099515055,-0.14811038237583063,-0.14764056386732477,-0.14744860891838885
2_T3,0.9985538376250501,1.0,0.9985538708221869,0.9980045278902662,0.9973009397916207,0.09555546600562481,0.09473278226532382,0.09602874195035116,0.095498483981551,0.09534425113089261,-0.20502010287639683,-0.20548328314319664,-0.20345652743946474,-0.20221051435278364,-0.20134247990067353,-0.10390210875633422,-0.1035809750754965,-0.10514077290619406,-0.1047175772864138,-0.10465286895876999,-0.21329376215507606,-0.21272139427506936,-0.2127134689476462,-0.213106643291219,-0.2131363996863327,0.024242537447738795,0.02367816741649148,0.02427143084096008,0.02380734412547431,0.023499685548762365,-0.08382009978443936,-0.08485876532221384,-0.08448031455214249,-0.08329867024076879,-0.08284143937230709,-0.010607470091049676,-0.011847599036069502,-0.012681428612966787,-0.013653427932622995,-0.014482480977048535,-0.010990211840892498,-0.011379183836323227,-0.012415117294516689,-0.012043158524087626,-0.011980067210379796,-0.18992665330487046,-0.18997440300824048,-0.19134193121526621,-0.19097730024072987,-0.19101658213499867,0.0028483778483475368,0.0028324251575357405,0.0038535590910690467,0.0032555980325424884,0.0029267606371547613,-0.13103204410008407,-0.13093462925728414,-0.1319859156500931,-0.13277657514192973,-0.1332815869052183,0.070888521086122,0.07119565246332073,0.06987455333666627,0.06929873233154335,0.06959578608926824,-0.07979931329554883,-0.08033187273686226,-0.08146708042725298,-0.08025444167439448,-0.07934433692295591,-0.05030563994094382,-0.05084747162407656,-0.05085186913205335,-0.0495561042191954,-0.049214993578929084,-0.14807125310096853,-0.1465948231826035,-0.14748613703810476,-0.1480245592416714,-0.14754542388031575
2_T2,0.9980044770435067,0.9985538708221869,1.0,0.9985539040094313,0.9980045787204951,0.0960635239218734,0.09551598506524112,0.09469680867542618,0.09598910980113701,0.09545496282715528,-0.20492757084539073,-0.2050627534836653,-0.20552190960492048,-0.20349937706547722,-0.20225776867213718,-0.10374273116627986,-0.10387400133759747,-0.10355533277535818,-0.10511253645578847,-0.10468656080279033,-0.21404458107114321,-0.21329742764823295,-0.21272475583729838,-0.21271711234968688,-0.21311061081058272,0.024145253724986545,0.02420290565998325,0.023642044128384807,0.024231643873699027,0.023763621751498862,-0.08288335900929616,-0.08370551637470205,-0.08475394923985485,-0.0843653548885424,-0.0831726693128556,-0.009634460262768395,-0.010647377348362026,-0.011883942089539544,-0.01272148692410277,-0.013697488782198322,-0.010490039842168753,-0.010995659452136841,-0.011377884384248365,-0.012416648601036027,-0.012035597336088007,-0.18981161481892223,-0.18989387186823725,-0.18994445351179354,-0.19130888475602248,-0.19094469986427315,0.002364517565201153,0.002823593872236384,0.0028098509363396968,0.003828761482143836,0.0032284034570891395,-0.1311702327501137,-0.13107127327812848,-0.13097037860692354,-0.1320252058375127,-0.1328196859408009,0.07059374880469386,0.07076525124194426,0.07108314486132965,0.06975155657549507,0.06916383958341789,-0.07913392672687355,-0.07981231469222594,-0.0803437300408861,-0.0814802163382509,-0.0802689943425691,-0.04937226300098481,-0.050294002411383154,-0.050836868984712666,-0.05084024700398661,-0.0495433873967444,-0.14978784539154658,-0.1479931568157261,-0.1465237093204221,-0.1474082244239037,-0.14793878618119094
2_T1,0.9973008639100268,0.9980045278902662,0.9985539040094313,1.0,0.9985539371869012,0.09678729173994889,0.09601988694959053,0.09547651709466655,0.09466084590669005,0.09594949067569143,-0.20519516850622563,-0.20497477055866403,-0.20510538636122977,-0.20556052142709963,-0.20354220891308095,-0.10375736472851975,-0.10371168408601543,-0.10384590236636977,-0.10352969753298653,-0.10508430849522499,-0.2142281453937717,-0.2140485994648265,-0.2133010921608434,-0.21272811657567928,-0.21272075477714328,0.02422495184714821,0.024101477270992634,0.024163287240310933,0.023605931998418803,0.024191870333300707,-0.08242753520205813,-0.08275700032349834,-0.08359101373261707,-0.08464920090959342,-0.08425047617589493,-0.00902020763807805,-0.009678591006131946,-0.010687270909640167,-0.011920273721153039,-0.012761531468842818,-0.010345517064424204,-0.010496148869176028,-0.010994309597826565,-0.011379342281189463,-0.012409825602607599,-0.18966048696018603,-0.18977544843016148,-0.18986110045361795,-0.18991451240290264,-0.1912792814200116,0.0018109029113296626,0.002337138698985801,0.002798817304396077,0.0027872828926515966,0.0038039712835722336,-0.1311703957447098,-0.1312136182961941,-0.13111048817269277,-0.1310061160397725,-0.13206448172291305,0.07000572838938891,0.07045767713944581,0.0706420781812704,0.07097071816042737,0.06962865595145204,-0.0787672520052754,-0.07914829408518004,-0.07982531243673872,-0.08035558429490548,-0.08149334855552395,-0.04894194725873309,-0.04935941251412502,-0.0502823688118553,-0.05082626962313087,-0.050828628800422916,-0.1506371722371532,-0.14970127436242434,-0.14791510196346946,-0.14645263000951597,-0.14733035311905987
2_T0,0.9968087124379362,0.9973009397916207,0.9980045787204951,0.9985539371869012,1.0,0.09642775761550877,0.09673857347485579,0.09597626575750295,0.09543706208747685,0.09462489395421744,-0.2050547731630743,-0.2052478505238287,-0.20502194867216547,-0.20514800152078036,-0.2055991186184938,-0.1031535924222623,-0.10372271977037616,-0.10368064727867685,-0.10381781183884731,-0.1035040693454857,-0.21439467780996932,-0.21423261961987472,-0.2140526166756509,-0.213304755693298,-0.2127314764905087,0.024160195438388293,0.02417610913840326,0.024057717070382907,0.02412368218190634,0.023569831021383478,-0.08190231793563223,-0.08228667928468335,-0.08263073961296455,-0.08347659176035825,-0.08454452025617948,-0.008103896675769705,-0.009069446483382686,-0.009722705079341728,-0.010727150782002674,-0.011956593936351395,-0.01029927197810766,-0.010352434059505363,-0.010494744733687136,-0.010995982869880301,-0.011373208971360852,-0.18912950847923019,-0.1896202145118442,-0.1897392942107868,-0.18982833905640906,-0.1898876971494221,0.0012685722715688615,0.0017803236592492527,0.002309768843592526,0.002774048141506637,0.0027647210239369626,-0.13103904124893068,-0.13121885373017245,-0.13125698644759726,-0.13114968879171687,-0.1310418415619172,0.06953199960070873,0.06985407023516675,0.07032172298751563,0.07051900177084487,0.07085837225859982,-0.07811102944123119,-0.07878326740051864,-0.07916265699985511,-0.0798383065306258,-0.08036743550009054,-0.048317302596764214,-0.0489275919697999,-0.04934656680695162,-0.05027073914035826,-0.050815673537799075,-0.15152089653884354,-0.15054044947016598,-0.1496147539165063,-0.14783708851059707,-0.14638158522421874
3_T4,0.09476876668130144,0.09555546600562481,0.0960635239218734,0.09678729173994889,0.09642775761550877,1.0,0.9970698470493253,0.9944046272854928,0.9916709245776919,0.9890479040948392,-0.11497120095242694,-0.11464486481098767,-0.11405732127684452,-0.11391485463979635,-0.11327517605883414,-0.19292322060334824,-0.19328823067252776,-0.19333271903389665,-0.19316355555085907,-0.19313248418193601,-0.05327224892206907,-0.052760071517137665,-0.05188184139916762,-0.05098221976348836,-0.05042312496655251,0.06606339696464907,0.06681800313429212,0.0678013486642901,0.06878743802640598,0.07004069805107434,-0.17650872862643932,-0.1749264133036492,-0.1732143740919716,-0.17203391729738035,-0.17183097529169253,0.08372753050533543,0.08404562047563613,0.08414052784021875,0.08340686087862656,0.08344089308392495,-0.18235505252155898,-0.182277434115887,-0.18190689762704393,-0.18174260962135322,-0.181385229466009,-0.1026054048008229,-0.10298393698499395,-0.10337217980162279,-0.10361727425457971,-0.10355458240523044,0.05298801107237298,0.05259456656684797,0.05147077281053802,0.05055567937412722,0.049774079081469316,-0.04560795588052846,-0.045326676664120734,-0.045019311591030245,-0.04429741986762031,-0.0436564018319474,0.061946721224555176,0.06147124794978494,0.061454936196858406,0.061675203223111624,0.06181567157928185,-0.1422499777599071,-0.14397500943116437,-0.1452058532639325,-0.1460702906672747,-0.14704674375247523,-0.06399838144586328,-0.0641135573027692,-0.06398784887977894,-0.0643776964803674,-0.06433128367065356,-0.11778866392948936,-0.11850515488423854,-0.1197983933363303,-0.12104913282254037,-0.12218658420927313
3_T3,0.09606838712979154,0.09473278226532382,0.09551598506524112,0.09601988694959053,0.09673857347485579,0.9970698470493253,1.0,0.9970700097684807,0.9944049687543326,0.9916714881126196,-0.11750556795558918,-0.1148712854110628,-0.11453575705713545,-0.11393732213203431,-0.1137815792794467,-0.19261544149916865,-0.19295208563751515,-0.19331969472329655,-0.19336729913078918,-0.19320196154127509,-0.05418451219961462,-0.05326187326575683,-0.052748822499450614,-0.05186955537391963,-0.0509686536795182,0.06492159683809011,0.06611468807969717,0.06687395517233874,0.0678628148895272,0.06885562321252416,-0.17707561797096197,-0.1766090210906639,-0.17503614750041638,-0.17333540049342802,-0.17216863075745104,0.0839833130400234,0.08378022649065371,0.08410325816752949,0.0842040047263719,0.08347760110730296,-0.18269009170438652,-0.18234245739868635,-0.18227446889951207,-0.18189858013502078,-0.18174907706878868,-0.102231732300834,-0.10264058521251833,-0.1030223836148058,-0.10341450536540138,-0.10365943225715361,0.053243379015053154,0.05302117277384366,0.05263067172843025,0.05151044955038997,0.05059974778820509,-0.04623429691764423,-0.04553781002772721,-0.04525020532685792,-0.04493531468178847,-0.04420432080786118,0.06203151519494193,0.062081442996400754,0.06161809100314304,0.06161624434691255,0.06185412122420729,-0.1408799874726084,-0.14222544592866884,-0.14394798827024533,-0.14517594244383314,-0.14603690279721313,-0.06356659108183163,-0.06401057682769144,-0.06412684651022652,-0.0640024088128148,-0.06439382316434993,-0.11894223501306643,-0.11787536497268998,-0.11859964999748566,-0.11990212441306483,-0.12116411537941896
3_T2,0.09554202087434087,0.09602874195035116,0.09469680867542618,0.09547651709466655,0.09597626575750295,0.9944046272854928,0.9970700097684807,1.0,0.9970701724289853,0.9944053100878826,-0.11721483780886281,-0.11739548327281168,-0.11477141335645426,-0.11442670115180638,-0.11381738574564255,-0.19228140943752972,-0.19264693521623816,-0.19298094189103393,-0.19335114833115757,-0.1934018666028105,-0.05487609285775235,-0.05417316743364734,-0.053251500557170484,-0.05273757696889753,-0.05185727353786622,0.06392142566910605,0.06497763963710776,0.06616596182431472,0.0669298865307956,0.06792425612329592,-0.17735076665371455,-0.17718489996727005,-0.17670925276120106,-0.17514580913310474,-0.17345633884524617,0.08557443826891563,0.08404080018159078,0.08383290432759918,0.08416087417793533,0.08426745532902348,-0.18283424225973555,-0.1826762207093149,-0.18233965717756873,-0.18226680304347775,-0.1819042855550957,-0.10165164963225026,-0.10227007961518576,-0.10267575472167804,-0.10306081723853666,-0.10345235879663489,0.053683528871343526,0.05327960455617118,0.05305432441411624,0.05266676494189209,0.051550111850069504,-0.04702748737437321,-0.046157670388390255,-0.04546768997177199,-0.04517376466501678,-0.04485135482321733,0.06266322335638717,0.06217854717221591,0.062216069957967496,0.061764821590839215,0.06177741678836507,-0.13923317541581914,-0.14085326920228894,-0.14220092121588437,-0.14392097566917225,-0.14514604205071055,-0.06286451585995326,-0.06357994472793074,-0.06402276808728125,-0.06414013081650377,-0.06401696283921042,-0.11952521089203359,-0.1190367622463307,-0.11796202005792732,-0.11869409046994295,-0.12000578951877051
3_T1,0.09539245193942394,0.095498483981551,0.09598910980113701,0.09466084590669005,0.09543706208747685,0.9916709245776919,0.9944049687543326,0.9970701724289853,1.0,0.9970703350308995,-0.11680973015817374,-0.11709396864864831,-0.11728545113230864,-0.11467158475945945,-0.11431769705704925,-0.1924009413806739,-0.1923160320369942,-0.1926784184804161,-0.19300978936792781,-0.19338259150132409,-0.05584288766027648,-0.054863618914917846,-0.05416182618527061,-0.05324113079504181,-0.05272633492382494,0.06300142587437373,0.06398307181231684,0.06503366172587578,0.06621721820732655,0.06698579722113365,-0.17806561293890305,-0.17747081646384624,-0.1772941097430281,-0.17680942370076777,-0.17525539828333062,0.08727961287766575,0.08563748123818139,0.08409826572011826,0.08388556402556119,0.08421846851909397,-0.18293670313164845,-0.1828188627668964,-0.18267304549289426,-0.18233254831817491,-0.18227189296604318,-0.10131638889919355,-0.10169376631005621,-0.1023084139659018,-0.10271091333337544,-0.10309518637944264,0.05399186063385887,0.05372333120455826,0.053315818101818284,0.05308746599778678,0.05270284621318867,-0.04784002081584641,-0.04694316012289769,-0.04608107461428177,-0.04539759569836365,-0.04509735466005117,0.06275073742522211,0.06282465033879442,0.062325466222766066,0.062350602224676144,0.06191143986175414,-0.13811052194902967,-0.13920388448104862,-0.14082655939120955,-0.14217640361843595,-0.14389397162383602,-0.06248114770521692,-0.06287922344953004,-0.0635932934471756,-0.06403495522675244,-0.06415341022435268,-0.1195872552957074,-0.11962914738538524,-0.11913123480281215,-0.11804862922185617,-0.11878847634917492
3_T0,0.09462686079512422,0.09534425113089261,0.09545496282715528,0.09594949067569143,0.09462489395421744,0.9890479040948392,0.9916714881126196,0.9944053100878826,0.9970703350308995,1.0,-0.11638676118902007,-0.11667589575156864,-0.1169731629031592,-0.11717547149541807,-0.11457179959091847,-0.19272020373359075,-0.19243933700291832,-0.19235064199706708,-0.19270989129695185,-0.19303862807220235,-0.05662360157354273,-0.05582901384698791,-0.05485114922681932,-0.05415048845282347,-0.05323076397808751,0.06207082352194919,0.06306984502462841,0.06404469290110198,0.06508966311587912,0.0662684572375488,-0.17890304735008394,-0.1781985180235409,-0.17759077901818465,-0.17740324737941407,-0.17690953397197173,0.08919852767156776,0.08734933277196262,0.08570049815483144,0.08415570966779322,0.08393820559390693,-0.1836677917918702,-0.18291949785984982,-0.1828152459762462,-0.1826651657838071,-0.18233713122071196,-0.10116016184859934,-0.10136302764966702,-0.10173586733139758,-0.1023467353595694,-0.10274234951932305,0.05520693984434473,0.05403605202723751,0.05376311904051931,0.05335201965797247,0.053120597529444556,-0.048923976821727125,-0.04774638767470756,-0.04685887010683991,-0.046004509576711,-0.0453275271932085,0.06320312218217372,0.0629297855148361,0.0629859409936346,0.06247227249662795,0.062485039911745976,-0.13732636623900715,-0.13807812525267116,-0.1391746037456134,-0.14079985803532016,-0.14215189313318735,-0.06227532742216205,-0.062497514499029926,-0.06289392506869243,-0.06360663724233806,-0.06404713824822555,-0.11962861252532049,-0.11970268330452931,-0.11973301772901042,-0.11922565273010165,-0.11813519250111011
