,34_T4,34_T3,34_T2,34_T1,34_T0,35_T4,35_T3,35_T2,35_T1,35_T0,36_T4,36_T3,36_T2,36_T1,36_T0,37_T4,37_T3,37_T2,37_T1,37_T0,38_T4,38_T3,38_T2,38_T1,38_T0
34_T4,1.0,0.9960967967636093,0.9924129968543872,0.9899902905974942,0.9880488651975287,-0.18028681225958826,-0.18044053659753037,-0.18076007995365703,-0.18096006918323146,-0.18004869406740137,-0.3530412389538753,-0.35272790043186597,-0.35269348236248,-0.3524783373322351,-0.3518611924077812,-0.2415240534135182,-0.24149464127969894,-0.24054259704929215,-0.2401100603705892,-0.23876475102099104,-0.1858801846326229,-0.18517143053751778,-0.1840851759319828,-0.18360885247964787,-0.18309353425661729
34_T3,0.9960967967636093,1.0,0.9960974188941202,0.9924142935089915,0.9899921328178816,-0.17976689276480062,-0.18025636919604285,-0.18040825049308118,-0.18072561047997457,-0.18092303492358552,-0.35320094702414195,-0.35309318142580653,-0.35278323825433333,-0.35275262069659935,-0.35254191742885965,-0.2394369070790241,-0.24149242448680183,-0.24139919298120144,-0.24046258070089005,-0.2400590151992285,-0.18569675760504478,-0.185668360906637,-0.18494541624697355,-0.18384305607217602,-0.18334808324922194
34_T2,0.9924129968543872,0.9960974188941202,1.0,0.9960980407127451,0.9924155894671441,-0.1785146124529999,-0.17973442316870297,-0.18022593691811206,-0.18037597659375418,-0.1806911549696932,-0.3529297340285162,-0.35325646403748107,-0.3531451054613438,-0.35283855513912776,-0.3528117350806127,-0.2370545874147587,-0.23940335363097456,-0.24140348160169678,-0.24132477966315125,-0.24041527065236964,-0.18547630470868712,-0.18547050059863515,-0.18545665024595873,-0.18471953073061947,-0.18360108410618334
34_T1,0.9899902905974942,0.9924142935089915,0.9960980407127451,1.0,0.9960986622200837,-0.17767694039527834,-0.17847992736266427,-0.17970196586788917,-0.1801955154196467,-0.18034371489208345,-0.35266407872797606,-0.35298939493316944,-0.35331196000242765,-0.353197011070662,-0.3528938510986007,-0.23455114496259474,-0.23701887741097058,-0.23930859682846833,-0.24133419566973527,-0.24128084042184034,-0.18489448612755158,-0.1852337771389,-0.1852443725077692,-0.18524505255943916,-0.18449377387765953
34_T0,0.9880488651975287,0.9899921328178816,0.9924155894671441,0.9960986622200837,1.0,-0.17708947332368968,-0.1776397248994847,-0.1784452563591531,-0.17966952085481327,-0.18016510469445168,-0.35232653792012725,-0.352728517438123,-0.3530490315716003,-0.35336743493139827,-0.35324889826390815,-0.23190739662205562,-0.2345130388885345,-0.2369175548956032,-0.23923482771690358,-0.24129339094944355,-0.18406901268831113,-0.1846335284638544,-0.18499139765329095,-0.18501837322153522,-0.18503356775604574
35_T4,-0.18028681225958826,-0.17976689276480062,-0.1785146124529999,-0.17767694039527834,-0.17708947332368968,1.0,0.98635559078769,0.9744123744939084,0.9643975051004172,0.9564474054044408,-0.02215598017421096,-0.021538057731734242,-0.019619923082401205,-0.01744722066686835,-0.015016187404497545,-0.18110620121749743,-0.18170438391490926,-0.18094565912771673,-0.17858427329166987,-0.17778290493428134,-0.081964507530991,-0.08323614861198832,-0.08418289948719201,-0.08511291572616944,-0.0858142026231741
35_T3,-0.18044053659753037,-0.18025636919604285,-0.17973442316870297,-0.17847992736266427,-0.1776397248994847,0.98635559078769,1.0,0.9863556179467079,0.9744124284804542,0.9643975854079463,-0.02221530535579537,-0.02216523160102044,-0.021547902381812742,-0.019630478695641575,-0.01745860547969975,-0.17898946628885876,-0.18110440300862543,-0.1816930971191543,-0.18093731531907606,-0.1785804895698948,-0.08028472210226804,-0.08193563172758435,-0.08320522082453465,-0.08414967032900796,-0.08507705135557685
35_T2,-0.18076007995365703,-0.18040825049308118,-0.18022593691811206,-0.17970196586788917,-0.1784452563591531,0.9744123744939084,0.9863556179467079,1.0,0.9863556451008537,0.9744124824559829,-0.021445624750293567,-0.022225069276477948,-0.022174480968712412,-0.021557744695824152,-0.019641031626150034,-0.17703090297559182,-0.1789875871622245,-0.1810939044013279,-0.1816853404270609,-0.18093380099856257,-0.07852219713786737,-0.0802543530272106,-0.08190676796946705,-0.0831743068281193,-0.08411645707567587
35_T1,-0.18096006918323146,-0.18072561047997457,-0.18037597659375418,-0.1801955154196467,-0.17966952085481327,0.9643975051004172,0.9744124284804542,0.9863556451008537,1.0,0.9863556722496701,-0.020949263310709784,-0.02145604136714488,-0.022234830879080566,-0.022183728277993933,-0.021567584674613866,-0.1756263731894419,-0.17702892064230646,-0.17897653560623955,-0.1810866982544192,-0.18168208888052664,-0.0770553071550602,-0.07849006185716739,-0.08022399745092097,-0.08187791624819647,-0.08314340661239074
35_T0,-0.18004869406740137,-0.18092303492358552,-0.1806911549696932,-0.18034371489208345,-0.18016510469445168,0.9564474054044408,0.9643975854079463,0.9744124824559829,0.9863556722496701,1.0,-0.02087259351629414,-0.020960462584891107,-0.021466455332831685,-0.022244590164446503,-0.022192973529565008,-0.17513353730538717,-0.17562426617795926,-0.17701719703491098,-0.1789689552606934,-0.18108369631996102,-0.07582275712787213,-0.07702102381739755,-0.07845794185759436,-0.08019365536327677,-0.08184907655532789
36_T4,-0.3530412389538753,-0.35320094702414195,-0.3529297340285162,-0.35266407872797606,-0.35232653792012725,-0.02215598017421096,-0.02221530535579537,-0.021445624750293567,-0.020949263310709784,-0.02087259351629414,1.0,0.9938559591533164,0.9901136350293169,0.9870149361964736,0.984164727963989,-0.03908273610637114,-0.03883724436381998,-0.03802856576924205,-0.03647749423892196,-0.03472803331442634,0.12148908021885609,0.12185454493598998,0.1218476775606291,0.12177941825078112,0.12200259568941194
36_T3,-0.35272790043186597,-0.35309318142580653,-0.35325646403748107,-0.35298939493316944,-0.352728517438123,-0.021538057731734242,-0.02216523160102044,-0.022225069276477948,-0.02145604136714488,-0.020960462584891107,0.9938559591533164,1.0,0.9938562935505137,0.9901142106015323,0.9870157494716514,-0.03953693362787967,-0.03908958731103961,-0.03887786132184641,-0.03806062982846518,-0.03649299463830167,0.12249036286129115,0.12136882552188197,0.12172598766347831,0.12170964000787503,0.12163042030282213
36_T2,-0.35269348236248,-0.35278323825433333,-0.3531451054613438,-0.35331196000242765,-0.3530490315716003,-0.019619923082401205,-0.021547902381812742,-0.022174480968712412,-0.022234830879080566,-0.021466455332831685,0.9901136350293169,0.9938562935505137,1.0,0.9938566278502335,0.990114785994178,-0.03927687155810472,-0.03954415402779047,-0.03912734665679604,-0.03890753313880715,-0.0380748795523364,0.12400113126353447,0.12236214801271363,0.12124862390058774,0.12159749098654375,0.12157167224796281
36_T1,-0.3524783373322351,-0.35275262069659935,-0.35283855513912776,-0.353197011070662,-0.35336743493139827,-0.01744722066686835,-0.019630478695641575,-0.021557744695824152,-0.022183728277993933,-0.022244590164446503,0.9870149361964736,0.9901142106015323,0.9938566278502335,1.0,0.9938569620526433,-0.039577511459179475,-0.03928454542763796,-0.03958429481336032,-0.03915487926681482,-0.038920629595358476,0.1250505543636785,0.1238638436727262,0.12223399349399201,0.12112847531748899,0.12146905485949794
36_T0,-0.3518611924077812,-0.35254191742885965,-0.3528117350806127,-0.3528938510986007,-0.35324889826390815,-0.015016187404497545,-0.01745860547969975,-0.019641031626150034,-0.021567584674613866,-0.022192973529565008,0.984164727963989,0.9870157494716514,0.990114785994178,0.9938569620526433,1.0,-0.040658120667247825,-0.03958568525217063,-0.039327435837612994,-0.03961354368781838,-0.039166923014269515,0.12565159079107294,0.1249028091944621,0.12372662524070852,0.12210589925969308,0.12100837973514665
