,34_T4,34_T3,34_T2,34_T1,34_T0,35_T4,35_T3,35_T2,35_T1,35_T0,36_T4,36_T3,36_T2,36_T1,36_T0,37_T4,37_T3,37_T2,37_T1,37_T0,38_T4,38_T3,38_T2,38_T1,38_T0
34_T4,1.0,0.9951411706187102,0.9897280331989071,0.9844701093884437,0.9781525534857325,-0.18061038071151675,-0.1800883619114156,-0.1793780117594151,-0.17866454983911548,-0.17779747290828893,-0.33100654785811773,-0.3322669605298816,-0.3323009031050056,-0.3320195121262933,-0.3314706804307951,-0.27648370154140384,-0.2739045356351891,-0.2704835552856338,-0.2673897863046943,-0.264480993865702,-0.21851309424259083,-0.2187467066683916,-0.21680884107269696,-0.21378713697437204,-0.2091741724658605
34_T3,0.9951411706187102,1.0,0.9951417908359073,0.9897304076923832,0.9844692014364484,-0.1828660216344981,-0.18057158773184873,-0.1800462917626184,-0.1792248290216504,-0.17855738445073474,-0.3312084886129832,-0.33106759739604347,-0.3323748061657305,-0.33242849693915244,-0.3321583079295729,-0.27010642323717016,-0.27643235816684675,-0.27384906464784325,-0.2704237269946942,-0.2674065502014896,-0.21363869208217637,-0.2183121051487255,-0.21852891177760378,-0.21657283062120986,-0.21353034937492713
34_T2,0.9897280331989071,0.9951417908359073,1.0,0.9951432479990071,0.989731656815646,-0.18283838255776586,-0.18281808633166327,-0.18052711505322555,-0.17988994833810276,-0.17911506981342587,-0.3311192267307248,-0.33127639372663414,-0.3311746813487021,-0.33250118795544376,-0.33256517198114083,-0.26566687569894953,-0.2700457506606662,-0.27637306414597534,-0.27378506744254305,-0.2704367832061104,-0.20746743867665118,-0.21340593497514537,-0.21809121397354206,-0.2182897010568989,-0.2163137618891171
34_T1,0.9844701093884437,0.9897304076923832,0.9951432479990071,1.0,0.9951423763976114,-0.18200716031673134,-0.18278621877965373,-0.18276938305747006,-0.1803807819515249,-0.17978721173670367,-0.3307008968213771,-0.3311924581034449,-0.331391355616966,-0.33129303432701407,-0.3326285157181151,-0.2611659231671459,-0.26560228768864697,-0.2699840463937519,-0.276312767020649,-0.27379670695009,-0.20042004905654418,-0.20721882008455494,-0.21317065002180793,-0.21786791862287663,-0.21804791406830476
34_T0,0.9781525534857325,0.9844692014364484,0.989731656815646,0.9951423763976114,1.0,-0.1801486843160215,-0.18193785381406663,-0.18272150552304783,-0.18258607878195976,-0.18026782388885756,-0.3303019525298228,-0.33078377101747897,-0.3313277279756755,-0.33153073796483695,-0.3314237683544921,-0.2561690237475456,-0.2610802933082659,-0.265521108515666,-0.26990652108386154,-0.276318840525796,-0.19244147848941046,-0.20011383710955533,-0.20693011844549644,-0.21289743701633165,-0.21760864562724855
35_T4,-0.18061038071151675,-0.1828660216344981,-0.18283838255776586,-0.18200716031673134,-0.1801486843160215,1.0,0.9892152803979577,0.980790103044314,0.973497772870281,0.9670868215953856,-0.034676453350399206,-0.033813531897064694,-0.03301081756099785,-0.03298949418228672,-0.03337622645762442,-0.1764604325404634,-0.17500020564801083,-0.1737926506788347,-0.17181096910446805,-0.16962495010982553,-0.07717896495259322,-0.07569753291036843,-0.07376102386876716,-0.07139257783934262,-0.06981836787720867
35_T3,-0.1800883619114156,-0.18057158773184873,-0.18281808633166327,-0.18278621877965373,-0.18193785381406663,0.9892152803979577,1.0,0.9892152958345524,0.9807719320262959,0.9734931740986605,-0.03394122518231205,-0.03468380145770335,-0.03382458629639981,-0.033023679149809,-0.03300351284662458,-0.17640084206054119,-0.17645871284890324,-0.1749983508901353,-0.17379065202859298,-0.17181438373232816,-0.0778429020647819,-0.07716201223557,-0.07567924235530683,-0.07374131004814236,-0.07137130403570442
35_T2,-0.1793780117594151,-0.1800462917626184,-0.18052711505322555,-0.18276938305747006,-0.18272150552304783,0.980790103044314,0.9892152958345524,1.0,0.9891979770567819,0.9807675334146896,-0.03335566524972256,-0.033949061189264065,-0.034693877198689334,-0.033836333822891106,-0.03303653655957879,-0.17578338963317397,-0.17639912093316767,-0.176456993456971,-0.17499649647710983,-0.1737937704767702,-0.07893077257473685,-0.07782494741713303,-0.07714506463848042,-0.07566095769536832,-0.07372160303910064
35_T1,-0.17866454983911548,-0.1792248290216504,-0.17988994833810276,-0.1803807819515249,-0.18258607878195976,0.973497772870281,0.9807719320262959,0.9891979770567819,1.0,0.9891938177932175,-0.03329869367899967,-0.03341005040475352,-0.034022075048765914,-0.03476736221578626,-0.03391520197197063,-0.17514753017324505,-0.17576922546665869,-0.17638572340246908,-0.17644391571098753,-0.1750137027547159,-0.08018662245038656,-0.07883956320271045,-0.07773944312025573,-0.0770645451824364,-0.0755747096872203
35_T0,-0.17779747290828893,-0.17855738445073474,-0.17911506981342587,-0.17978721173670367,-0.18026782388885756,0.9670868215953856,0.9734931740986605,0.9807675334146896,0.9891938177932175,1.0,-0.033335321411079845,-0.03333270361018537,-0.0334551120757524,-0.03406719098319312,-0.03480958159433368,-0.17419475812217852,-0.17513989157465334,-0.1757620821315135,-0.1763789499118619,-0.17645396624776546,-0.08168861113800782,-0.0801279055265,-0.07878480894474205,-0.07768808459223725,-0.07701615486213237
