,34_T4,34_T3,34_T2,34_T1,34_T0,35_T4,35_T3,35_T2,35_T1,35_T0,36_T4,36_T3,36_T2,36_T1,36_T0,37_T4,37_T3,37_T2,37_T1,37_T0,38_T4,38_T3,38_T2,38_T1,38_T0
34_T4,1.0,0.9941093879471792,0.987261140896028,0.9811154896229078,0.9748697599482831,-0.20854139806735483,-0.20930250106829937,-0.20945721300313141,-0.20886001577583055,-0.20868236297216655,-0.29876150880980357,-0.2960728496053824,-0.29497293371047023,-0.2941264696688908,-0.29236933897092343,-0.2710311499703571,-0.2698596002986436,-0.2676466587001365,-0.2625773035953388,-0.2566708706396069,-0.22585479777187337,-0.2245648720827538,-0.2228812036864767,-0.22185236635797986,-0.21969387503920124
34_T3,0.9941093879471792,1.0,0.9941120821089383,0.987267387939984,0.9811191265721515,-0.2111514557117927,-0.20859274773274794,-0.20935859220101122,-0.20951933428801034,-0.2089300328367326,-0.2996712169557027,-0.29893840364788876,-0.2962666632272036,-0.2951863692105334,-0.29436374458809095,-0.27189871568592316,-0.27092887318508335,-0.26974863258947757,-0.26745355988765523,-0.2622709206341692,-0.22587626758077806,-0.22551214716436635,-0.2241932964405753,-0.22247483187781872,-0.2214032926432842
34_T2,0.987261140896028,0.9941120821089383,1.0,0.9941146654698506,0.9872678259096117,-0.2126871971552049,-0.21120651235391094,-0.20864407118043563,-0.20941465212507243,-0.20958141748276632,-0.29970160051319095,-0.2998635658579361,-0.2991151591386799,-0.2964603104629249,-0.2953996034375634,-0.2724872243477878,-0.27178629796959924,-0.2708266749386488,-0.2695723915973175,-0.26717563703712166,-0.22604614080114724,-0.22550131355467035,-0.22516978360485457,-0.22382205907710168,-0.22206886562381237
34_T1,0.9811154896229078,0.987267387939984,0.9941146654698506,1.0,0.9941133027329975,-0.2136762633359342,-0.21274684338195687,-0.21126133834048993,-0.2086951547484536,-0.2094704431853234,-0.29969859456379266,-0.2999093902967315,-0.3000527220352452,-0.2992889810326338,-0.29665070278043415,-0.27197147763963,-0.27236680434360905,-0.2716774229623363,-0.27066881305464807,-0.26932488518044,-0.22650755506352244,-0.2256410057631225,-0.22513474820269422,-0.22483506132113065,-0.22345914788306842
34_T0,0.9748697599482831,0.9811191265721515,0.9872678259096117,0.9941133027329975,1.0,-0.21388671114924054,-0.213739140474448,-0.21280414020287175,-0.21131389106891846,-0.20874397177588896,-0.29958114265529506,-0.2999033569403725,-0.3000940037266705,-0.30022071711918535,-0.2994432950945679,-0.27115378402725543,-0.27186399753635754,-0.2722699001251337,-0.27153353442419687,-0.2704764392143152,-0.22749940887209835,-0.2261194728740382,-0.22529283341677128,-0.22481976028547337,-0.22454746509918266
35_T4,-0.20854139806735483,-0.2111514557117927,-0.2126871971552049,-0.2136762633359342,-0.21388671114924054,1.0,0.9804071655614339,0.952992225115815,0.9270465539034449,0.9031500903172301,-0.01508020707208188,-0.013226244225985473,-0.010393894339934266,-0.007232177628813,-0.003906370459460739,-0.15135171224930555,-0.15338169095459797,-0.15347906378820123,-0.15254813089394492,-0.15004701447156948,-0.07088040908764404,-0.06708835300019866,-0.0626484745331934,-0.05873824284543431,-0.0552301614874746
35_T3,-0.20930250106829937,-0.20859274773274794,-0.21120651235391094,-0.21274684338195687,-0.213739140474448,0.9804071655614339,1.0,0.980407648629928,0.9529935008056107,0.9270487501639836,-0.01485761075229626,-0.015017401952818678,-0.013158020817069311,-0.010319298812029795,-0.007150101963320738,-0.14824985116708614,-0.15135999444334214,-0.15339070630369,-0.15350305321954852,-0.152590386493813,-0.07271816742426501,-0.07093700372866622,-0.06715018139464397,-0.06271670392002103,-0.05881394647913908
35_T2,-0.20945721300313141,-0.20935859220101122,-0.20864407118043563,-0.21126133834048993,-0.21280414020287175,0.952992225115815,0.980407648629928,1.0,0.9804081315541856,0.9529947760763576,-0.014453540920844785,-0.014789077424741032,-0.014954623122064378,-0.01308982859027982,-0.010244740796433739,-0.14557025353073913,-0.14825904796864156,-0.1513682745317647,-0.1534125170861594,-0.15354128862215324,-0.07485623957289972,-0.07278000896570402,-0.07099357444208197,-0.0672119812892484,-0.06278489872044442
35_T1,-0.20886001577583055,-0.20951933428801034,-0.20941465212507243,-0.2086951547484536,-0.21131389106891846,0.9270465539034449,0.9529935008056107,0.9804081315541856,1.0,0.980408614334236,-0.014453484901217164,-0.014378079256713437,-0.014720575350689661,-0.014891870562341477,-0.013021667522974775,-0.143531404207506,-0.14558048455065895,-0.14826824221600057,-0.15138834191958192,-0.15344733905030292,-0.07714607126291563,-0.07492447935654754,-0.0728418219383633,-0.07105012124410579,-0.06727375270506061
35_T0,-0.20868236297216655,-0.2089300328367326,-0.20958141748276632,-0.2094704431853234,-0.20874397177588896,0.9031500903172301,0.9270487501639836,0.9529947760763576,0.980408614334236,1.0,-0.014420131671305686,-0.014369291217947625,-0.014302655385046307,-0.014652104507517067,-0.014829144256193619,-0.1401813870080234,-0.14354281909079794,-0.14559071244112806,-0.14829037871981407,-0.15142042485642646,-0.0798572426681063,-0.07722226507268953,-0.07499268439515139,-0.07290360636339842,-0.07110664415094121
