Filtered Pattern, Confidence-Frequence
Total number of input patterns: 3528
[[[['Normal_T0_0,QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_3'], ['Normal_T1_0']]], ['0.6831322163382239 - 15738']]
[[[['Normal_T0_0,QuasiVuota_T0_0,QuasiVuota_T0_2,Normal_T0_3'], ['Normal_T1_0']]], ['0.6808948315762406 - 15888']]
[[[['Normal_T0_0,Normal_T0_1'], ['QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6799252258801537 - 6547']]
[[[['Normal_T0_0,QuasiVuota_T0_0,Normal_T0_3,QuasiVuota_T0_3'], ['Normal_T1_0']]], ['0.6797008373302984 - 16722']]
[[[['Normal_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6790404301520008 - 6567']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_1,QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.679021121039805 - 6687']]
[[[['Normal_T0_0,QuasiVuota_T0_0,QuasiVuota_T0_3'], ['Normal_T1_0']]], ['0.6785406301824213 - 20458']]
[[[['Normal_T0_0,QuasiVuota_T0_1'], ['QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6783498759305211 - 6561']]
[[[['Normal_T0_0'], ['Normal_T1_1,QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.6775742137748604 - 6916']]
[[[['Normal_T0_0,QuasiVuota_T0_3'], ['Normal_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6772523643603783 - 6803']]
[[[['Normal_T0_0,QuasiVuota_T0_0,Normal_T0_2,Normal_T0_1'], ['Normal_T1_0']]], ['0.6771648093029695 - 19566']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6767223116685027 - 7986']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_0,Normal_T1_3,Normal_T1_3'], ['Normal_T2_0']]], ['0.6764312267657993 - 4549']]
[[[['Normal_T0_0,QuasiVuota_T0_0,Normal_T0_3'], ['Normal_T1_0']]], ['0.67620832256397 - 20930']]
