,2_T4,2_T3,2_T2,2_T1,2_T0,3_T4,3_T3,3_T2,3_T1,3_T0,4_T4,4_T3,4_T2,4_T1,4_T0,5_T4,5_T3,5_T2,5_T1,5_T0,6_T4,6_T3,6_T2,6_T1,6_T0,7_T4,7_T3,7_T2,7_T1,7_T0,8_T4,8_T3,8_T2,8_T1,8_T0,9_T4,9_T3,9_T2,9_T1,9_T0,10_T4,10_T3,10_T2,10_T1,10_T0,11_T4,11_T3,11_T2,11_T1,11_T0,12_T4,12_T3,12_T2,12_T1,12_T0,13_T4,13_T3,13_T2,13_T1,13_T0,14_T4,14_T3,14_T2,14_T1,14_T0,16_T4,16_T3,16_T2,16_T1,16_T0,80_T4,80_T3,80_T2,80_T1,80_T0,84_T4,84_T3,84_T2,84_T1,84_T0
2_T4,1.0,0.9984491601200418,0.9978170667696463,0.9975325271308922,0.9972787981429758,0.094620736216405,0.09565839046716919,0.09593284818648476,0.09563689470193291,0.09542134183625402,-0.2054610160742004,-0.2041512033225538,-0.20326558770273284,-0.202678145997112,-0.20203086576569124,-0.10349637101097206,-0.10466337290704275,-0.10507844953387904,-0.10484559472942336,-0.10465338353702325,-0.21250313119417802,-0.21262229309895772,-0.21251945879230782,-0.21257134746211245,-0.21290312490738408,0.023719566684681313,0.024133237106698135,0.024324763622637007,0.024067664739811957,0.023863535090263406,-0.08464350318354444,-0.08455803505295308,-0.08422122279765008,-0.08363172116033074,-0.08302609214633329,-0.01200897823803625,-0.012304386667400696,-0.012864397184552718,-0.01334075423825548,-0.01384404988796869,-0.011392287913176397,-0.012103267525908389,-0.012449277281209717,-0.01222648356000896,-0.012046375640389078,-0.18978672320564283,-0.19068786539397106,-0.19118158213303804,-0.19104248619721287,-0.19079947395761532,0.0027886014895107092,0.003452692609090668,0.0037721744608862065,0.003276781485738392,0.0031800033485561907,-0.13087985537181246,-0.13150360148084353,-0.13194076608788058,-0.132315680256174,-0.13273810439764813,0.07100339861899849,0.07014863268670442,0.06967927603206875,0.06936000243670108,0.06908411180164094,-0.08021349904050763,-0.08122109756975628,-0.08136957293942752,-0.0807038681433699,-0.08012279832814465,-0.050812121078577153,-0.05097197109241153,-0.050801826084720364,-0.05017066629744193,-0.049521011945770126,-0.14637258278742138,-0.14696712386710253,-0.14723057460015998,-0.14750390970984992,-0.14775490105045863
2_T3,0.9984491601200418,1.0,0.9984491770504559,0.997817091828626,0.9975325569537516,0.09517037296112711,0.09460277884896878,0.09563950663902641,0.0959130634572405,0.09561618584728288,-0.20549677218236106,-0.20548030670516534,-0.2041715852565386,-0.2032869978520847,-0.20270060164822126,-0.10373938386317452,-0.10348356062840625,-0.10464990441303441,-0.1050643420131912,-0.10483082752183326,-0.21281279897531427,-0.21250481061908483,-0.21262403883437045,-0.21252127901409668,-0.2125732485872663,0.024069573407507178,0.02370152396844896,0.024114271378948608,0.02430488932958414,0.024046856565100885,-0.08410271947407914,-0.08459116190659521,-0.0845031444274344,-0.08416381723760094,-0.08357169843907325,-0.01143361294822514,-0.012027129171681375,-0.01232347859601851,-0.012884406406574577,-0.013361717447843318,-0.011046758382058463,-0.011394047164979035,-0.012102927966553026,-0.01244435054150135,-0.01222449217187253,-0.189853517733117,-0.18977177031542702,-0.19067213003204644,-0.19116508184450332,-0.19102875144606662,0.002687340827212855,0.002777347316641767,0.0034408753571752476,0.0037598109402371535,0.0032638530800596704,-0.13089447291544923,-0.1308977072414253,-0.13152235034088672,-0.13196038747981764,-0.13233620798999257,0.07076297700595795,0.07094725243287571,0.0700898863741396,0.06961788761239593,0.06929580126045845,-0.08004870755755801,-0.08021941699052824,-0.08122733359229856,-0.08137612948271297,-0.08071076460921822,-0.05054836584951745,-0.05080682577984391,-0.05096642336800607,-0.050796021467432735,-0.05016460062254167,-0.14709760185645815,-0.14633705525679128,-0.14692990525095345,-0.14719164960452738,-0.14746311454937935
2_T2,0.9978170667696463,0.9984491770504559,1.0,0.9984491939785684,0.9978171168840024,0.095413552482725,0.09515156795920965,0.0945848241815744,0.09562062577678392,0.09589328197783356,-0.20486914559173347,-0.2055170320334866,-0.20549959368170978,-0.20419196315155866,-0.20330840356084762,-0.10380021509338229,-0.10372598070606957,-0.10347075200873171,-0.10463643785511739,-0.10505023661331284,-0.21305849305043223,-0.21281454953255374,-0.21250648983819562,-0.2126257843464915,-0.2125230989924482,0.024253483378450437,0.024050684541078195,0.023683484038361572,0.02409530871039234,0.024285018389506516,-0.08344211342252253,-0.08404804581384508,-0.08453883754221668,-0.08444827229723872,-0.08410643188461982,-0.01078874224210052,-0.01145262158220544,-0.012045277253442536,-0.012342567389544206,-0.012904412190654175,-0.011007887183991543,-0.011048621907051652,-0.011393743472241962,-0.012098239221826037,-0.012442464131268186,-0.18970560261144373,-0.18983788422454845,-0.18975681951871698,-0.19065639697188766,-0.1911519801684399,0.0027693123449456093,0.0026755633374958994,0.002766094683002561,0.0034290597933151153,0.0037474492661830595,-0.13100384543500712,-0.1309131645467406,-0.13091555613663852,-0.13154109593829333,-0.1319800053016915,0.07053584957003096,0.0707042604722386,0.07089112641327522,0.07003116203491788,0.06955652316266651,-0.07964698588518562,-0.08005490111859075,-0.08022533417950845,-0.08123356877681955,-0.0813826851042694,-0.05023311147758897,-0.05054282676607972,-0.05080153129959129,-0.05096087653928482,-0.05079021783015481,-0.14773380911968495,-0.14706041382336504,-0.14630153635727938,-0.14689269607375058,-0.14715273492871278
2_T1,0.9975325271308922,0.997817091828626,0.9984491939785684,1.0,0.9984492109041077,0.09560049535143679,0.09539385000595173,0.09513276590942701,0.09456687221361704,0.0956017478797196,-0.20484220323121347,-0.20489044623166872,-0.2055372878670799,-0.20551887700495267,-0.20421233700886457,-0.10368783409502673,-0.10378617729726015,-0.10371257947447494,-0.10345794515157435,-0.10462297323287706,-0.21339761676659022,-0.21306032384096227,-0.21281629986589917,-0.21250816885152796,-0.21262752963533452,0.024220804158437713,0.024233694878801285,0.024031798719856834,0.023665446893764503,0.024076349100275816,-0.08285704013452648,-0.08338494079851837,-0.08399339057984477,-0.08448653008101586,-0.08439341865165002,-0.010275275223020516,-0.010808667207962006,-0.011471627098003047,-0.012063422484002117,-0.012361653048754317,-0.01077016833182973,-0.011009853578184172,-0.011048326417681983,-0.011389300644918492,-0.01209645268234102,-0.1896806973761693,-0.18968924085645847,-0.18982225300063293,-0.18974187081505411,-0.19064390665398023,0.0024326400769579246,0.002756960277571943,0.0026637875295387765,0.0027548435882776153,0.0034172459171490314,-0.1311520815850807,-0.13102342828930313,-0.1309318529260911,-0.13093340205821924,-0.1315598382739391,0.07047361240767304,0.07047438699830762,0.07064556595298595,0.070835020547496,0.06997245965462127,-0.07925765313504533,-0.07965347321078921,-0.08006109384806746,-0.08023125060759453,-0.08123980312348693,-0.04991500621302163,-0.05022730155055616,-0.05053728857656323,-0.05079623763762538,-0.05095533060602078,-0.1485467847999359,-0.14769481510106017,-0.14702323522067218,-0.14626602608565564,-0.14685549633185307
2_T0,0.9972787981429758,0.9975325569537516,0.9978171168840024,0.9984492109041077,1.0,0.09591066131121218,0.09557981349107808,0.0953741507639341,0.09511396681107852,0.0945489229444779,-0.20476344399199317,-0.20486457863449062,-0.20491174244627278,-0.20555753968432608,-0.20553815667594688,-0.10363752698739913,-0.103673100876647,-0.10377214161022957,-0.10369918016797953,-0.10344514005657447,-0.2138366479259337,-0.21339953142820398,-0.21306215438663353,-0.21281804997538556,-0.21250984765912423,0.024166133519927215,0.024200033587800922,0.02421390971543303,0.024012915943101655,0.023647412534013427,-0.08247203288546355,-0.08279709364935078,-0.08332778830939201,-0.08393875376139585,-0.08443423951359996,-0.009850487431585599,-0.010296199619557495,-0.010828588755705974,-0.011490629496393512,-0.012081564864039858,-0.010520302729074886,-0.010772250200643782,-0.011009558012827787,-0.011043699553425788,-0.011387619720481886,-0.18959959954794728,-0.18966353430869448,-0.1896728816017775,-0.18980662406087148,-0.18973000786054417,0.0022354514029049263,0.002419675354341126,0.002744610055265629,0.0026520134029802897,0.002743594032151528,-0.1311532727500068,-0.1311726444444991,-0.13104300758035284,-0.13095053805434817,-0.13095124500692557,0.07021557610271494,0.07040911047422471,0.07041294851593716,0.07058689343371691,0.0707789348228417,-0.07903358867593821,-0.0792644605983495,-0.07965995962545476,-0.08006728574615718,-0.08023716627493357,-0.04930598597453484,-0.04990890190167345,-0.050221492604338384,-0.05053175128075293,-0.050790944793755816,-0.14942242914615925,-0.14850578121311817,-0.14765583142414077,-0.14698606604475387,-0.14623052443872914
3_T4,0.094620736216405,0.09517037296112711,0.095413552482725,0.09560049535143679,0.09591066131121218,1.0,0.9971648596491,0.9955387281455171,0.9942938301550202,0.9928893587106888,-0.11471726904403781,-0.11480781661571836,-0.11438892546769053,-0.11380552125255863,-0.11379682687398632,-0.19283606975328454,-0.1931846380105582,-0.1932134044490766,-0.19326405471940836,-0.19327125778458992,-0.0532111645521732,-0.05280426649102673,-0.05268717339504316,-0.0524098593459601,-0.05180708534461545,0.06604625842978006,0.0664298746728715,0.06680600536043844,0.06731499523540267,0.06777478596449871,-0.17660528691001864,-0.1758052400756817,-0.17506822513208098,-0.17414025851984716,-0.1733792564294498,0.08382120672197832,0.08388257332308739,0.084223074012163,0.08437339850882312,0.08428486749070946,-0.18199266107523696,-0.1819809915731462,-0.18190477997292362,-0.18171531560003404,-0.18155477137583195,-0.10255133535448796,-0.10282544942463473,-0.1029183157811973,-0.10313703923200987,-0.10328151066559184,0.05295365874473576,0.05282865916515473,0.05257994234378689,0.0519414476064976,0.051456718909846225,-0.04536070595327994,-0.04512245670696422,-0.04509700777438667,-0.04489457808615146,-0.04478613921340521,0.06216000477479145,0.06183741498372617,0.061722870139862544,0.061576822400485995,0.06173837031895577,-0.14195480138394787,-0.14309449909228847,-0.14366557520573817,-0.14426750412010458,-0.14494725541033743,-0.06395705532853882,-0.06400914393952772,-0.0640866245164007,-0.06401743295879853,-0.06393186857704737,-0.11794888285887067,-0.11840790016509564,-0.11870990650370111,-0.1193537298673638,-0.12000837636649603
3_T3,0.09565839046716919,0.09460277884896878,0.09515156795920965,0.09539385000595173,0.09557981349107808,0.9971648596491,1.0,0.9971649347856092,0.9955388517634024,0.9942939957089708,-0.11629770635694552,-0.11466741152625333,-0.11475574200792825,-0.11433448022207265,-0.11374850685517407,-0.19275321473688672,-0.19285048651974473,-0.19319967491716702,-0.19322911888907582,-0.19328050704810276,-0.05364922671255735,-0.053205987601432254,-0.05279888538963888,-0.052681560707292886,-0.05240399394026584,0.06547105732739342,0.06607186297482665,0.06645659458866399,0.0668339364810025,0.06734423227201074,-0.17696021272101436,-0.17665533747158377,-0.175857556789352,-0.1751229824373148,-0.1741976948210781,0.08362635833145063,0.08384751330248205,0.0839100716099385,0.08425184751252301,0.08440355703912722,-0.18220676714144027,-0.1819874807630944,-0.18197900195371303,-0.18190957019545903,-0.1817156167726698,-0.10247480390483948,-0.10256889505371049,-0.10284379240136862,-0.10293750560929224,-0.10315289193766808,0.05296212383653395,0.052970183805504126,0.052845889576827565,0.0525979345079929,0.051960285305276466,-0.045740360620982475,-0.0453257083742813,-0.04508594403754082,-0.04505885346883393,-0.04485464599522268,0.06217546096475718,0.06222719293171696,0.06190751128603976,0.061796101401750035,0.06165348978693991,-0.14148385030511207,-0.1419425688602207,-0.14308166361598276,-0.14365210124801667,-0.14425334095898806,-0.06376749398484535,-0.06396314369440205,-0.0640154896951884,-0.06409325862728342,-0.06402437019890048,-0.11850896001662718,-0.11799216660905475,-0.11845305671723333,-0.11875708036419796,-0.11940309634774944
3_T2,0.09593284818648476,0.09563950663902641,0.0945848241815744,0.09513276590942701,0.0953741507639341,0.9955387281455171,0.9971649347856092,1.0,0.9971650099091184,0.9955389753589886,-0.11724967033430216,-0.11624534684627219,-0.11461756485070995,-0.1147036792225518,-0.11428004790386101,-0.19253857885099177,-0.1927682577768796,-0.1928649010942241,-0.19321470943776742,-0.19324483072221274,-0.054094029764666964,-0.05364382114292615,-0.053200811385766066,-0.052793505085657694,-0.0526759488891282,0.06493923399433663,0.06549780007499481,0.06609746318632446,0.0664833097844815,0.06686186244248492,-0.17720746034592855,-0.17701239920971648,-0.17670537287490903,-0.17590985696922054,-0.1751777216517652,0.08398055452091648,0.08365382319861633,0.08387381535502582,0.08393756495436264,0.08428061560324315,-0.18230451186553412,-0.18220132432913316,-0.18198555200166452,-0.18198356447749736,-0.18190982993381405,-0.10215999595109723,-0.10249311703667936,-0.10258645203332853,-0.10286213241247744,-0.10295262782203285,0.053181786762529965,0.052979374072895546,0.052986706361241934,0.052863117262967246,0.05261592369727245,-0.04599733220196595,-0.045703807460769505,-0.04529071722633518,-0.04504943836934648,-0.0450207068107262,0.06225929980472375,0.06224559675708852,0.06229435748113126,0.06197758192129489,0.06186930465963593,-0.1405753033041799,-0.14147108973068348,-0.14193033811043082,-0.14306883008284432,-0.14363862942346703,-0.06352558881238367,-0.06377385340448918,-0.0639692310316832,-0.06402183433202563,-0.06409989151528668,-0.11911265079073435,-0.11855411201334048,-0.11803543889190332,-0.11849820078429271,-0.11880424059088784
3_T1,0.09563689470193291,0.0959130634572405,0.09562062577678392,0.09456687221361704,0.09511396681107852,0.9942938301550202,0.9955388517634024,0.9971650099091184,1.0,0.9971650850197267,-0.11711817906025898,-0.1171947382538104,-0.11619299925768589,-0.11456772901379088,-0.11465162825546604,-0.1924979029441149,-0.1925543074219617,-0.19278329843007272,-0.19287931347721662,-0.19322974157299905,-0.0543660450183373,-0.05408837023378229,-0.05363841637436849,-0.05319563590502397,-0.05278812557891664,0.06440616060751374,0.0649672076917021,0.06552453809881133,0.06612305906538775,0.06651002026159299,-0.17738109882410869,-0.17726198857336325,-0.17706456921228603,-0.17675539312782648,-0.1759621406241845,0.08481875781636254,0.08400925469424567,0.08368128313206612,0.08390011288077501,0.08396505335770439,-0.18230135553393723,-0.18229879702943858,-0.18219927643150877,-0.18198990132609688,-0.18198379331557565,-0.10188233213016339,-0.10217913563758138,-0.10251142720899264,-0.1026040062939616,-0.10287658258612889,0.053393697859201665,0.05319983822319778,0.052996621580154175,0.05300322641250512,0.052880342224245536,-0.04634317522988939,-0.04595910303580673,-0.04566726131163124,-0.04525573250766247,-0.0450129397003663,0.06257099769689999,0.062332618314619496,0.06231570682492618,0.062361498437391985,0.06204762690574661,-0.1397465438607094,-0.14056198182693233,-0.14145833108743855,-0.141918109134187,-0.14305599849247785,-0.06316115007574744,-0.06353225507242362,-0.06378021170276787,-0.06397531734064453,-0.06402817785032905,-0.11946792454857666,-0.1191598386483119,-0.11859925152610118,-0.11807869971198696,-0.11854333237148969
3_T0,0.09542134183625402,0.09561618584728288,0.09589328197783356,0.0956017478797196,0.0945489229444779,0.9928893587106888,0.9942939957089708,0.9955389753589886,0.9971650850197267,1.0,-0.1169479822041445,-0.1170606797799239,-0.11713981927371121,-0.11614066358696729,-0.11451790401185248,-0.19220452618166547,-0.19251437357356752,-0.19257003338369644,-0.19279833669700264,-0.19289372366922744,-0.054801183662657876,-0.054360118178894634,-0.054082711579918924,-0.053633012406709334,-0.05319046115903865,0.06389669342081476,0.06443546986453148,0.06499517622294093,0.06555127140010461,0.06614865061310449,-0.17751219159020062,-0.1774381861593239,-0.17731649879718725,-0.1771167227375816,-0.17680539823812347,0.08572257286067198,0.08484877794337885,0.08403794947739696,0.08370873813312181,0.08392640588090447,-0.18246931247278553,-0.18229534549411075,-0.18229663272022187,-0.18220378310482407,-0.18199009825493292,-0.10159032666327422,-0.10190236844170757,-0.10219827209047874,-0.1025297344225098,-0.1026178347246412,0.053641903189977705,0.05341260054404128,0.05321788669733762,0.053013866358965815,0.05301974395987868,-0.04678373547497028,-0.04630311764604463,-0.045920881536320464,-0.04563072217154273,-0.04522075421648704,0.06291986547315544,0.06264774081107759,0.062405908711152654,0.06238579118458359,0.06242861581482862,-0.13891958922579417,-0.13973261671719614,-0.1405486624575211,-0.1414455743749347,-0.1419058819311061,-0.06279906655529294,-0.06316814671282482,-0.06353892010319218,-0.06378656887999193,-0.0639814026215528,-0.11971742259696162,-0.11951735069570092,-0.11920701286401642,-0.11864437856012883,-0.11812194907388349
