,2_T4,2_T3,2_T2,2_T1,2_T0,3_T4,3_T3,3_T2,3_T1,3_T0,4_T4,4_T3,4_T2,4_T1,4_T0,5_T4,5_T3,5_T2,5_T1,5_T0,6_T4,6_T3,6_T2,6_T1,6_T0,7_T4,7_T3,7_T2,7_T1,7_T0,8_T4,8_T3,8_T2,8_T1,8_T0,9_T4,9_T3,9_T2,9_T1,9_T0,10_T4,10_T3,10_T2,10_T1,10_T0,11_T4,11_T3,11_T2,11_T1,11_T0,12_T4,12_T3,12_T2,12_T1,12_T0,13_T4,13_T3,13_T2,13_T1,13_T0,14_T4,14_T3,14_T2,14_T1,14_T0,16_T4,16_T3,16_T2,16_T1,16_T0,80_T4,80_T3,80_T2,80_T1,80_T0,84_T4,84_T3,84_T2,84_T1,84_T0
2_T4,1.0,0.9817096060218856,0.9528813410447184,0.9202406896686108,0.8878034730470689,0.07450602026703078,0.07297314624425907,0.0728658692021569,0.07364323756140553,0.0744847589633653,-0.25630097050939094,-0.23999010871371934,-0.21461050604825227,-0.18957439520873598,-0.16722444921662677,-0.1424670275712871,-0.14076813904256283,-0.1351092250169018,-0.1268508894267715,-0.11765374451145987,-0.2341417010150709,-0.22137511866174403,-0.20469294949130432,-0.18509481677081277,-0.16595187577612067,0.015596704377053157,0.012469879243017372,0.008288909557137474,0.00335061319237559,-0.0009124000747151279,-0.06651719014216197,-0.07237203361903319,-0.07936504662266539,-0.08652893793338688,-0.0928335077913575,-0.019410800813200617,-0.02182302937316866,-0.024418777542742874,-0.027533299844109415,-0.027862247012342887,-0.06956643845333046,-0.06516806711099978,-0.05775381294586925,-0.04794939521904438,-0.037747097915077917,-0.18542778208926336,-0.18677402335628585,-0.18716202472828294,-0.18666233167761856,-0.18109319215509626,-0.04312534122846444,-0.040367020560288375,-0.034402710646279165,-0.027110314665362567,-0.021019906558110354,-0.1305175900130062,-0.13505820134205443,-0.13598082245178866,-0.13552367542503735,-0.1330344537739827,0.04267490716661004,0.045586124374956176,0.04986289840485716,0.055982990118259614,0.06175178507609231,-0.04915689573129063,-0.05579113710292757,-0.062211659856604366,-0.0674398740398778,-0.06828769382377683,-0.03896152705094573,-0.04036546589679373,-0.03979860147636508,-0.03820818955251115,-0.035444992099966904,-0.0904642824998847,-0.10223436720034995,-0.1178933266765456,-0.13594120922723454,-0.1505838684707667
2_T3,0.9817096060218856,1.0,0.9817015590824879,0.952876843722147,0.9202373447055812,0.07767358234497905,0.07449732464019683,0.07296447912508659,0.07285722601647743,0.0736345750599248,-0.25394027921169104,-0.2563358997085037,-0.24002399347803016,-0.21463669579813804,-0.18960246509361267,-0.14139216957297485,-0.14244668618794132,-0.14069747175427613,-0.13501217449402972,-0.1267254042065058,-0.23959644041051645,-0.2340942537335441,-0.22132762974688566,-0.2046458658670945,-0.18504860944612994,0.0220247299346479,0.015552676544730396,0.012425497769096388,0.008244469050866633,0.0033063570793864495,-0.0608065269777643,-0.06642234151773586,-0.0722734107929998,-0.07927710627676877,-0.08644755732408756,-0.019687699703430643,-0.01945523429859507,-0.021867757514100635,-0.024463549397849466,-0.027577929057616423,-0.07209167286027153,-0.0695661607487016,-0.0651759928455425,-0.05775576917408304,-0.04795873365267593,-0.18399737608503006,-0.18543494476946848,-0.18677705024153402,-0.18716522090189053,-0.18666571789297096,-0.03612940216074605,-0.043148571062685034,-0.04040300774019051,-0.034427659255574825,-0.02713615905756109,-0.12431510127223522,-0.13054883893960864,-0.135089729310336,-0.13601262364369396,-0.13555578182771044,0.03810967529299799,0.04257821161786966,0.04548630664084506,0.0497598541292313,0.05587639383447374,-0.05106370343914681,-0.04918016465770071,-0.05581432178298951,-0.0622346244473073,-0.06746254467332423,-0.038088256186499796,-0.03893743133663426,-0.04033594400815989,-0.03976884770509067,-0.038178325514754315,-0.08440548952082187,-0.09043758699346208,-0.10222126765070826,-0.11788609009649816,-0.13593195704159902
2_T2,0.9528813410447184,0.9817015590824879,1.0,0.9817011093533045,0.9528760305808199,0.08325482378513621,0.07767222460095913,0.07449609283397501,0.07296357940997586,0.0728567480068725,-0.24356281510331068,-0.2539328009666313,-0.25633051940573975,-0.24002176791788354,-0.21463279319683656,-0.13918343234951908,-0.1413881418854992,-0.14242831173973391,-0.1406718676460584,-0.1349800296237583,-0.2417063472714216,-0.239582427290617,-0.2340817315647972,-0.22131679197845314,-0.20463736338737457,0.030528904186836178,0.022016847807131402,0.015545789434572223,0.012420474885732252,0.008241954855561319,-0.05621840141786907,-0.060783504917876104,-0.06640021504579838,-0.07225690659707752,-0.07926529638217207,-0.018253453965454046,-0.019694097311356948,-0.019460982109345874,-0.02187150242024961,-0.024464655483328372,-0.072673601181821,-0.07209165642910481,-0.06956724469647615,-0.06517620389479686,-0.057756114326643515,-0.1785521763876367,-0.18399846098867373,-0.18543554022703113,-0.186777456361691,-0.1871653536892007,-0.02640982129898255,-0.036132714029463914,-0.04315265215526321,-0.04040504350787517,-0.03442841564647263,-0.1158171931311025,-0.12431718491409288,-0.1305504296331519,-0.1350895401054811,-0.1360102087512304,0.03410487136498544,0.03808871305435383,0.04255819784867033,0.04546878970349316,0.04974574343739059,-0.052009997304832,-0.05106695936364708,-0.04918308175012954,-0.055816123646414376,-0.06223499487995566,-0.035067662877981846,-0.038083782210636574,-0.03893232585489726,-0.04033185150996118,-0.039766145975890926,-0.07711990705845397,-0.08440195512376594,-0.09043632224883173,-0.10222097530220006,-0.11788599875192847
2_T1,0.9202406896686108,0.952876843722147,0.9817011093533045,1.0,0.9817011111645412,0.09069153205913075,0.08325199192395118,0.07766963773316471,0.07449370732013243,0.0729614803347721,-0.2312699336821402,-0.2435644161353381,-0.25393458807722435,-0.25633395778486057,-0.24002430971132668,-0.13533899373609745,-0.13917563064384164,-0.14135900548722913,-0.1423896457256624,-0.140621046110145,-0.2394843787834191,-0.24168408127379096,-0.23956244543804703,-0.23406367602706135,-0.22130013840881824,0.03787898814630472,0.030512590935259723,0.022002370650693624,0.015532735386951189,0.012408912634041463,-0.05361960767051903,-0.056180433148784,-0.06074774884103814,-0.06637162606019434,-0.07223268688146812,-0.018359610339581334,-0.01826827110836616,-0.019707429553061383,-0.01947319664562644,-0.021882102176457943,-0.07117758536615987,-0.07267333880644865,-0.07209389348073188,-0.06956769962378075,-0.06517826765230139,-0.17071244487634557,-0.1785547404311742,-0.18399970172020233,-0.185436738089208,-0.18677854139476505,-0.01602256161327965,-0.026417264388452974,-0.0361428251528416,-0.04315905283823597,-0.040410803009396166,-0.11135531965091491,-0.11582563298156302,-0.12432462729821687,-0.1305571184566977,-0.1350948105339661,0.030559708247480118,0.03406812219902447,0.03805425817615309,0.042525478127804196,0.045437639001059245,-0.05387239825816055,-0.052017782989540566,-0.051073949279923675,-0.049189448290335336,-0.055821560104701066,-0.030541008332859974,-0.03505892303607462,-0.038074023970332896,-0.038923273956322266,-0.040323584149261904,-0.07183002912588689,-0.07711278009041349,-0.08439940953899992,-0.09043555274347323,-0.10221999310502386
2_T0,0.8878034730470689,0.9202373447055812,0.9528760305808199,0.9817011111645412,1.0,0.0988436211055889,0.09068831984022521,0.08324916063218243,0.07766705135060596,0.07449132222554827,-0.2170043679802037,-0.2312737168107519,-0.24356737746910673,-0.2539384851514107,-0.2563373955269255,-0.130932256138858,-0.13532993149268027,-0.13914365528119765,-0.1413169560465989,-0.14233719092277147,-0.23298003783044222,-0.2394589586642846,-0.2416618215991389,-0.23954246882781882,-0.2340456248920016,0.042199049099021384,0.037860021620738656,0.030496282474857608,0.02198789743543038,0.015519684651220108,-0.053057228396011534,-0.05357772370061805,-0.05614248671280813,-0.0607177541418926,-0.06634656538300146,-0.020693037164901524,-0.018376642310066395,-0.018283083830663294,-0.019720758110486233,-0.019485408035637128,-0.06653138876752081,-0.07117706605478806,-0.07267561119056339,-0.0720942213048143,-0.06956991255447251,-0.160382816306101,-0.17071530722639017,-0.1785560291004401,-0.18400094222078453,-0.1854379357423829,-0.0075063225961938115,-0.016030933406012075,-0.026428472980630106,-0.036149683823546164,-0.04316545225910508,-0.10822089316456081,-0.1113652259504395,-0.11583407074303102,-0.12433206796978767,-0.13056380584171723,0.027091461705391354,0.0305191183469989,0.03403139548245726,0.038019823098033464,0.04249277617935332,-0.057081149345290794,-0.05388140206719625,-0.052025566899657386,-0.05108093771719744,-0.049195813573642534,-0.02357423454907596,-0.030531137633024476,-0.03504833578185299,-0.03806426820795883,-0.038914224203358966,-0.07037383324697567,-0.07182279301877183,-0.07711055761344132,-0.08439896824859767,-0.09043478342922857
3_T4,0.07450602026703078,0.07767358234497905,0.08325482378513621,0.09069153205913075,0.0988436211055889,1.0,0.9907170451073799,0.9788348815635357,0.9671229700350692,0.9556539105989978,-0.06356628851038393,-0.06465790189306587,-0.06604237618562965,-0.06820112060709539,-0.07104165827874165,-0.17978115050315635,-0.17846200860403838,-0.17718747659117826,-0.17591181125374525,-0.17508744517728694,-0.07443194373104917,-0.0763357404176871,-0.0791038496706121,-0.08303517759116694,-0.08733467565273445,0.07777465018155255,0.07789718493623894,0.07759504731476334,0.07680956792537487,0.0763013964856593,-0.14438269365196787,-0.14257054462504268,-0.14075373315090076,-0.13928340905151934,-0.13768392727038953,0.08261036540892201,0.08146435264515131,0.0804077477878159,0.0790502944612882,0.07610931668808962,-0.17435481555452756,-0.17470568472573691,-0.17488673557558052,-0.17413550272519354,-0.17389939603493648,-0.09383628326058265,-0.0930734364675567,-0.09227123772723705,-0.09191051661770491,-0.09194104394115186,0.03287843657815301,0.03022601626241521,0.026495344349763816,0.021347646605019262,0.015970410579645718,-0.022627477443124926,-0.021005248351033644,-0.01950653981931064,-0.01788290959353872,-0.016105942405619102,0.07198956881024779,0.07066666063606314,0.0692732215978831,0.06802824080684144,0.06666656965890591,-0.11300471258375484,-0.11075909889738264,-0.10774178068419826,-0.10456323405502523,-0.10085568858463291,-0.06130280228620997,-0.060759428663339804,-0.06025631657068151,-0.05966121570251308,-0.059908140908701404,-0.08404959088896352,-0.08141378717234195,-0.07750009023490392,-0.07257834947325309,-0.0665554094060063
3_T3,0.07297314624425907,0.07449732464019683,0.07767222460095913,0.08325199192395118,0.09068831984022521,0.9907170451073799,1.0,0.9907170689468593,0.9788349382234385,0.9671230637897993,-0.06203052312546434,-0.06354504055559702,-0.06463778692526996,-0.06602843623161016,-0.06818564405063654,-0.17776962722699843,-0.17978549866684937,-0.17846844438496637,-0.17719106692783831,-0.17590947900118128,-0.0731200066597825,-0.07444188056388268,-0.07634615548213801,-0.07911471924167703,-0.08304646310846618,0.0776360868899457,0.07778555473986673,0.07790869982758972,0.07760721182021618,0.07682244901324588,-0.14697451480204635,-0.14438834391985045,-0.14257677417069273,-0.1407623449213935,-0.1392934506770921,0.08455199464703754,0.08262146341972544,0.08147612510514365,0.08042021620746542,0.07906353350558808,-0.1717465093210191,-0.1743544172572234,-0.17470218022291964,-0.17488553342820712,-0.17413111676103274,-0.0924390025878623,-0.09383279790261641,-0.09307144835744537,-0.09226911451064149,-0.0919082408127962,0.03526908541996909,0.03288588615029042,0.030237830666421175,0.026504087059299283,0.021357194195706728,-0.024358232080157388,-0.02261487449044998,-0.020991934330357034,-0.019492459801428795,-0.01786792892480576,0.07463063633574295,0.07200654656834346,0.07068497401271633,0.06929296372018748,0.06804950066742882,-0.11413455699289848,-0.11299518121485747,-0.11074918716053714,-0.10773149671295368,-0.10455255266005503,-0.06034242347091772,-0.061310565605825644,-0.06076920442992408,-0.0602666332557828,-0.059672103508120335,-0.08742009131669583,-0.08405965563460428,-0.0814188077239874,-0.07750260028725095,-0.07258192360924186
3_T2,0.0728658692021569,0.07296447912508659,0.07449609283397501,0.07766963773316471,0.08324916063218243,0.9788348815635357,0.9907170689468593,1.0,0.9907170927816779,0.9788349948719267,-0.059943913891249485,-0.06200868418276257,-0.06352646414436,-0.06462504547538374,-0.06601449981074833,-0.17564857003420734,-0.17777427907700374,-0.17979143535172828,-0.17847167086199897,-0.1771887241712465,-0.07095439711134166,-0.07313049037186418,-0.0744518151364287,-0.0763565680348214,-0.07912558602560135,0.07720124785441095,0.07764745656381176,0.07779645665707752,0.0779202117597269,0.07761937299678004,-0.14934254503006036,-0.14697960140500144,-0.14439399467943143,-0.14258474348251352,-0.1407717221390742,0.08667721223949715,0.08456348036172975,0.08263255868126085,0.08148789447006247,0.080432681137134,-0.16953448201481805,-0.17174628001818462,-0.17435125058496506,-0.17470118688315683,-0.17488162740442129,-0.09228688235752787,-0.09243544668673329,-0.09383093648430724,-0.09306946061882711,-0.09226699171908903,0.03817418543123877,0.03527662471067325,0.03289682534772861,0.030245885838812867,0.026512827777099266,-0.026818447981105945,-0.024345175842884197,-0.02260227445206616,-0.02097862358549037,-0.019478383484677737,0.0776187890182641,0.07464760532040712,0.07202351768030106,0.0707032796702129,0.06931269685711988,-0.11449841538505783,-0.11412434849676041,-0.11298565175785305,-0.11073927753394407,-0.10772121507439136,-0.05980474245206786,-0.06035068335669746,-0.06131983416991011,-0.060778977733869234,-0.06027694716378383,-0.09052620875652816,-0.08743007888952342,-0.08406379158992265,-0.0814204516456336,-0.07750510961403484
3_T1,0.07364323756140553,0.07285722601647743,0.07296357940997586,0.07449370732013243,0.07766705135060596,0.9671229700350692,0.9788349382234385,0.9907170927816779,1.0,0.9907171166121373,-0.05790791975699494,-0.05992139535295171,-0.06198962716269792,-0.06351475797526487,-0.06461230701229019,-0.17454936718082376,-0.17565358342841872,-0.1777802765821552,-0.1797942666719096,-0.17846924914937043,-0.06852976992496979,-0.07096560405398195,-0.07314097152702832,-0.07446174744947358,-0.07636697807667445,0.0768104180348535,0.07721321414478857,0.07765882329796436,0.07780735593418761,0.07793172073385247,-0.15225090578089695,-0.14934713235386002,-0.14698468906484308,-0.14440132385858573,-0.14259344544217856,0.08816304622700291,0.08668918277398728,0.08457496304009778,0.08264365119460035,0.08149966074118889,-0.16835664349485305,-0.16953443871506124,-0.17174319498127238,-0.17435042184042002,-0.17469768344576264,-0.09356733321538904,-0.09228324026385257,-0.09243358330471987,-0.09382907539199191,-0.09306747325160394,0.04262679134904859,0.03818184679642033,0.035287779329772874,0.03290427150094319,0.03025393930394084,-0.03090646659524136,-0.026804800189109777,-0.02433212280697752,-0.022589677326937098,-0.02096531611519544,0.08046543434919999,0.07763578550027875,0.07466456745199637,0.07204048215109143,0.0707215776147465,-0.11489259159018772,-0.11448740034548828,-0.11411414219577401,-0.11297612421216609,-0.11072937001692222,-0.06049980178504758,-0.05981360488132512,-0.06036050919459423,-0.06132910054036108,-0.060788748576099456,-0.09261516754574357,-0.09053608293146317,-0.0874338248842838,-0.08406472602426733,-0.08142209512488688
3_T0,0.0744847589633653,0.0736345750599248,0.0728567480068725,0.0729614803347721,0.07449132222554827,0.9556539105989978,0.9671230637897993,0.9788349948719267,0.9907171166121373,1.0,-0.05624287512110864,-0.05788442759177055,-0.05990178914711242,-0.06197772208955998,-0.06350305435883216,-0.17324349930985758,-0.174554831569147,-0.17565971766436556,-0.17778283181985613,-0.17979168509314147,-0.06676131771274921,-0.06854199057981693,-0.07097680804692479,-0.07315145012625894,-0.07447167750382733,0.07683434662669676,0.07682322447752923,0.07722517711561624,0.07767018709360676,0.07781825257220362,-0.15592872968763066,-0.15225509849003097,-0.14935172137025032,-0.14699172100113903,-0.14440936510849547,0.08911421637267343,0.08817575581342788,0.08670114991602186,0.08458644268342974,0.08265474096082552,-0.16780177253747006,-0.16835681072633465,-0.1695314309427476,-0.17174252205802626,-0.17434725606313337,-0.09614264735693702,-0.09356356462711113,-0.0922813782733989,-0.0924317202705083,-0.09382721462558959,0.047222503190807064,0.042634659014094835,0.03819327787261075,0.035295314947665045,0.03291171617935209,-0.03469099958785476,-0.030891850849344506,-0.0267911559624786,-0.024319072971226506,-0.02257708311402721,0.08352315404099059,0.08048277539357468,0.07765277491490057,0.07468152273576638,0.07205743998565275,-0.11495949414039697,-0.11488056542193771,-0.11447638785747517,-0.11410393808922507,-0.11296659857721608,-0.06283767305234784,-0.06050943748662029,-0.059824105803313765,-0.06037033254396022,-0.06133836471796535,-0.09406588064397993,-0.09262498148756193,-0.0905393180319359,-0.08743418523402344,-0.08406566022353187
