,34_T4,34_T3,34_T2,34_T1,34_T0,35_T4,35_T3,35_T2,35_T1,35_T0,36_T4,36_T3,36_T2,36_T1,36_T0,37_T4,37_T3,37_T2,37_T1,37_T0,38_T4,38_T3,38_T2,38_T1,38_T0
34_T4,1.0,0.9989845923661719,0.9988039360822226,0.9985915196721757,0.9983784675943125,-0.19064864262888392,-0.19129698473616422,-0.19155282423810033,-0.1916078963929324,-0.19172994890886033,-0.3557518918997237,-0.35572589631318996,-0.3555240729138518,-0.35547030539519797,-0.3553240345614125,-0.2547301902486528,-0.25401109430649627,-0.25373061910096595,-0.2533213700461451,-0.25265277621809884,-0.18346779706764776,-0.1831371785700208,-0.18267629793568305,-0.18212016715896806,-0.18124759044332076
34_T3,0.9989845923661719,1.0,0.9989846167520691,0.9988039675515721,0.9985915606986127,-0.19064846729721216,-0.19063382148544253,-0.19128665875969417,-0.19154150891443408,-0.19159538663998255,-0.3551606590460855,-0.35577432965627426,-0.3557503923363521,-0.35555106104597395,-0.35550029171484043,-0.25502525240623247,-0.2546334286787854,-0.2539054826751582,-0.2536142610311522,-0.2531920963344314,-0.18322620112871857,-0.18335952087392698,-0.18301907465979472,-0.18254641157986695,-0.18197598955981686
34_T2,0.9988039360822226,0.9989846167520691,1.0,0.9989846411307272,0.9988039990105501,-0.1906623298800902,-0.19063228544718214,-0.19062428972728215,-0.1912763356547504,-0.19153019705342683,-0.3547605573160473,-0.3551851680383519,-0.3557967604865772,-0.35577488010843267,-0.35557803917498076,-0.25526379576910635,-0.2549196982040274,-0.25453671357919316,-0.25379992641715804,-0.25349797013971426,-0.1828184905012337,-0.18310820455187424,-0.18325130632812445,-0.18290104409808539,-0.18241661392678288
34_T1,0.9985915196721757,0.9988039675515721,0.9989846411307272,1.0,0.9989846655021277,-0.19040914920575355,-0.1906445384704241,-0.19062187381083626,-0.19061476039803502,-0.19126601542015936,-0.354635055802454,-0.3547875182391967,-0.3552096687733175,-0.35581918439387206,-0.3557993596336267,-0.25531020989738096,-0.2551477768689418,-0.2548141993087409,-0.25444004491400657,-0.2536944254858029,-0.18312349022822635,-0.18268892940554823,-0.1829902812433133,-0.1831431533719867,-0.1827830868092945
34_T0,0.9983784675943125,0.9985915606986127,0.9988039990105501,0.9989846655021277,1.0,-0.19028528812021,-0.19038936430427236,-0.19063309011222593,-0.19061146506908094,-0.19060523349675737,-0.354481075341413,-0.3546649739179238,-0.35481446916721193,-0.3552341612551816,-0.35584160138136894,-0.25507914027695044,-0.2551815288497219,-0.2550318248337237,-0.2547087556737697,-0.2543434226473891,-0.18312563838799567,-0.18297963873258383,-0.1825594567726983,-0.18287243112753346,-0.1830350619473377
35_T4,-0.19064864262888392,-0.19064846729721216,-0.1906623298800902,-0.19040914920575355,-0.19028528812021,1.0,0.9960323964417501,0.9942537373681104,0.9929187103320116,0.9919543655529056,-0.0181659444543669,-0.018581526034874875,-0.018920668694684516,-0.01879992387308352,-0.019511678827818114,-0.18852081437578916,-0.18859863215792944,-0.18839237360566977,-0.1881946315383816,-0.18834704585852688,-0.07838051329384818,-0.07850768735898549,-0.07850592803438489,-0.0785097229233268,-0.07869814410534577
35_T3,-0.19129698473616422,-0.19063382148544253,-0.19063228544718214,-0.1906445384704241,-0.19038936430427236,0.9960323964417501,1.0,0.9960318025730434,0.9942530777442914,0.9929179617749135,-0.017624715949709147,-0.018186168276698916,-0.018603604061626696,-0.01894495495297107,-0.018826973554793465,-0.18798053331074724,-0.1884635728257815,-0.1885360520940691,-0.18832343651735448,-0.18811790863900046,-0.0787718586024695,-0.07832515699696459,-0.07844721042748759,-0.07843937953628889,-0.07843564872951928
35_T2,-0.19155282423810033,-0.19128665875969417,-0.19062428972728215,-0.19062187381083626,-0.19063309011222593,0.9942537373681104,0.9960318025730434,1.0,0.9960318124740034,0.9942530931592178,-0.018104378186783423,-0.017637514507289787,-0.018197999211739133,-0.018616525488848092,-0.018959169343813153,-0.18745656562776145,-0.18793518434397408,-0.18842172284789738,-0.18849028280750263,-0.18827301614982303,-0.07958507624845097,-0.07873119073603463,-0.07828766091168096,-0.07840622407873829,-0.07839427411308662
35_T1,-0.1916078963929324,-0.19154150891443408,-0.1912763356547504,-0.19061476039803502,-0.19061146506908094,0.9929187103320116,0.9942530777442914,0.9960318124740034,1.0,0.996031822372351,-0.0180784934182504,-0.01811835523774172,-0.017650308942790183,-0.01820982665660074,-0.018629442757570072,-0.1867602550926818,-0.18740693714988824,-0.18788985939433353,-0.18837989317179388,-0.1884445377612534,-0.07991905183145043,-0.07954042352517593,-0.0786905478339776,-0.07825018590582508,-0.0783652628633384
35_T0,-0.19172994890886033,-0.19159538663998255,-0.19153019705342683,-0.19126601542015936,-0.19060523349675737,0.9919543655529056,0.9929179617749135,0.9942530931592178,0.996031822372351,1.0,-0.018752760644153228,-0.018093916977779373,-0.018132327334694817,-0.017663099258247442,-0.018221650612863738,-0.18642886048927204,-0.18670546718791123,-0.18735733758701406,-0.18784455844123588,-0.18833808378155303,-0.07996920353085073,-0.0798696146704364,-0.07949580097199366,-0.07864992987049338,-0.07821273195943675
