,34_T4,34_T3,34_T2,34_T1,34_T0,35_T4,35_T3,35_T2,35_T1,35_T0,36_T4,36_T3,36_T2,36_T1,36_T0,37_T4,37_T3,37_T2,37_T1,37_T0,38_T4,38_T3,38_T2,38_T1,38_T0
36_T3,-0.2842395440594844,-0.2854097847558027,-0.2829922671801988,-0.27750180977530026,-0.2730814428935107,-0.04232243870347434,-0.0447374398772392,-0.04343818442295405,-0.040010281249674415,-0.037978440199760675,0.9828483885866437,1.0,0.9828531966464635,0.9615669503175517,0.9434363491357485,-0.05914621374605754,-0.05907731071023565,-0.061487480507797544,-0.06140709684150686,-0.05774593284283854,0.12095985881853796,0.12211409655202735,0.1237495128578562,0.1261875116064141,0.1303550928236025
36_T2,-0.28069798489572384,-0.28453783015492257,-0.2856705320214534,-0.28329238191219014,-0.27785697683880534,-0.03618334908674843,-0.04233801741314181,-0.04475126155314342,-0.043453016934364624,-0.04002717215536853,0.9615543566156947,0.9828531966464635,1.0,0.9828580001300748,0.9615795300225779,-0.0592389250067576,-0.05910332071181707,-0.05904712547533183,-0.06139586053884386,-0.061298972172010496,0.11762567526148276,0.1206235845735781,0.12182005687569819,0.12341257844441374,0.12579358018789089
36_T1,-0.2778697197676593,-0.28104668873274263,-0.284835727267124,-0.28593098114181775,-0.28359210297716575,-0.027961568000878338,-0.036203054166358356,-0.042353586448625066,-0.04476507575626744,-0.04346784030926629,0.9434141456633567,0.9615669503175517,0.9828580001300748,1.0,0.9828627990439656,-0.0595758484690247,-0.05918943290588945,-0.05906902327090008,-0.05896790148882342,-0.061304305265249166,0.11584823470784643,0.11723515065492089,0.12028764403285007,0.12152627221916437,0.12307597830718411
36_T0,-0.2783095989810417,-0.2782869368338225,-0.2813948640716537,-0.2851332361892061,-0.2861911326506152,-0.019786246281986733,-0.027988047486225114,-0.03622274470427133,-0.04236914581977186,-0.044778882493237825,0.9279817626642057,0.9434363491357485,0.9615795300225779,0.9828627990439656,1.0,-0.05805067036311554,-0.05951762347102395,-0.0591499139591226,-0.058978821764644376,-0.05888872637570489,0.11748822005525128,0.11538187336512376,0.11684507766335457,0.11995203669947925,0.12123274225051368
37_T4,-0.3117172079088729,-0.3098937893946559,-0.3074803436159443,-0.3024454794326353,-0.2948977280891591,-0.1629529158245552,-0.1575751520297314,-0.14835071808607603,-0.14240060302789426,-0.13620327561148027,-0.05911503172809471,-0.05914621374605754,-0.0592389250067576,-0.0595758484690247,-0.05805067036311554,1.0,0.9755068170227519,0.9480329739826279,0.9233342870034864,0.9012754966426684,-0.06425270054176398,-0.06479454157847632,-0.06478938411467933,-0.06537835796105657,-0.06772879229849066
37_T3,-0.30889175739889474,-0.3116720331767803,-0.30984165726443824,-0.30741851775526924,-0.3023703753070738,-0.15779374230312385,-0.16295488316951195,-0.1575772708421618,-0.14835307833281622,-0.1424033310203838,-0.061522901388025734,-0.05907731071023565,-0.05910332071181707,-0.05918943290588945,-0.05951762347102395,0.9755068170227519,1.0,0.9755067949826932,0.9480287608713973,0.9233292299291801,-0.06329281347259176,-0.06427607700430213,-0.0648208607214152,-0.06481943713811648,-0.06541310941786853
37_T2,-0.30466967131652717,-0.3088298718484914,-0.3116155984512081,-0.3097766656465026,-0.30734171625626505,-0.1542456284132399,-0.1577954658376839,-0.1629563925481625,-0.15757889688143303,-0.14835488480550615,-0.06151531081032862,-0.061487480507797544,-0.05904712547533183,-0.05906902327090008,-0.0591499139591226,0.9480329739826279,0.9755067949826932,1.0,0.9755014360335668,0.9480226083596754,-0.059857354399702696,-0.06331119407325901,-0.06429150133630007,-0.06483811551611068,-0.06483898935331835
37_T1,-0.2988894117850784,-0.30469778559885774,-0.3088505602634881,-0.3116315778972266,-0.30979448346712796,-0.1536188262102754,-0.15425086676731461,-0.15779975302736798,-0.16296020994524107,-0.15758299206374052,-0.05787682620991057,-0.06140709684150686,-0.06139586053884386,-0.05896790148882342,-0.058978821764644376,0.9233342870034864,0.9480287608713973,0.9755014360335668,1.0,0.9755020181723034,-0.05673445921946556,-0.059949082714900064,-0.06338831283667007,-0.06435824048279615,-0.06491384479936758
37_T0,-0.29013796177649964,-0.29892913054900055,-0.30472590637392,-0.30887125813299693,-0.3116475672152013,-0.15062734154329563,-0.1536255413506895,-0.1542561025938024,-0.15780403844768348,-0.16296402596530402,-0.05343219727096563,-0.05774593284283854,-0.061298972172010496,-0.061304305265249166,-0.05888872637570489,0.9012754966426684,0.9233292299291801,0.9480226083596754,0.9755020181723034,1.0,-0.057481365713382616,-0.056847026031229445,-0.06004073413733094,-0.06346537626122001,-0.06442493778126095
38_T4,-0.2427259388687944,-0.2416053256294946,-0.23895603918421338,-0.23499889390487538,-0.2312357528368559,-0.07343176833511333,-0.07669681755392838,-0.08180874562625338,-0.08445340835626985,-0.08792060867467555,0.12240839158062808,0.12095985881853796,0.11762567526148276,0.11584823470784643,0.11748822005525128,-0.06425270054176398,-0.06329281347259176,-0.059857354399702696,-0.05673445921946556,-0.057481365713382616,1.0,0.9925550744925975,0.9812422912041415,0.9692537433926217,0.9588203174371206
38_T3,-0.2397953197189249,-0.24221361383795822,-0.24101823035278147,-0.23826995260366945,-0.23417348240056327,-0.06888605044831586,-0.07340070535993677,-0.07666205874249485,-0.0817684223407357,-0.08440520333631009,0.12408678204616534,0.12211409655202735,0.1206235845735781,0.11723515065492089,0.11538187336512376,-0.06479454157847632,-0.06427607700430213,-0.06331119407325901,-0.059949082714900064,-0.056847026031229445,0.9925550744925975,1.0,0.9925574629693917,0.9812492902490049,0.9692674917068447
38_T2,-0.23771979605195384,-0.23921350043178627,-0.24170191560286142,-0.24043195908633594,-0.23758499470077615,-0.06426349003170187,-0.06885185469363544,-0.07336966320970018,-0.07662732666804212,-0.08172813533472308,0.12658189971199174,0.1237495128578562,0.12182005687569819,0.12028764403285007,0.11684507766335457,-0.06478938411467933,-0.0648208607214152,-0.06429150133630007,-0.06338831283667007,-0.06004073413733094,0.9812422912041415,0.9925574629693917,1.0,0.9925598489796585,0.9812562808782105
38_T1,-0.23738065363971608,-0.23704662860911438,-0.23863249125299363,-0.24119084297749208,-0.23984651004029944,-0.057634753223058645,-0.0642239565504252,-0.06881768513221659,-0.07333864186175186,-0.07659262129725297,0.13083031902047695,0.1261875116064141,0.12341257844441374,0.12152627221916437,0.11995203669947925,-0.06537835796105657,-0.06481943713811648,-0.06483811551611068,-0.06435824048279615,-0.06346537626122001,0.9692537433926217,0.9812492902490049,0.9925598489796585,1.0,0.9925622325272342
38_T0,-0.23681358077878933,-0.2365781916504651,-0.2363745481880114,-0.23805229043986567,-0.24068039477893993,-0.05379593338154057,-0.05758743852565636,-0.0641844582317193,-0.06878354173148987,-0.07330764129348191,0.1351747667495308,0.1303550928236025,0.12579358018789089,0.12307597830718411,0.12123274225051368,-0.06772879229849066,-0.06541310941786853,-0.06483898935331835,-0.06491384479936758,-0.06442493778126095,0.9588203174371206,0.9692674917068447,0.9812562808782105,0.9925622325272342,1.0
