,27_T4,27_T3,27_T2,27_T1,27_T0,28_T4,28_T3,28_T2,28_T1,28_T0,29_T4,29_T3,29_T2,29_T1,29_T0,30_T4,30_T3,30_T2,30_T1,30_T0,31_T4,31_T3,31_T2,31_T1,31_T0,32_T4,32_T3,32_T2,32_T1,32_T0,33_T4,33_T3,33_T2,33_T1,33_T0
27_T4,1.0,0.9885449927402516,0.9766913674545532,0.9600882318319988,,-0.3816929731212311,-0.38123711481059125,-0.3806196473332731,-0.3820469256100478,,-0.026155713290000077,-0.022697181226571633,-0.020261639865136835,-0.016241635045130886,,-0.038997069491691995,-0.03722359951766035,-0.03449164254963184,-0.028616739541353617,,0.059857574764494256,0.059532261849135425,0.058688778235796865,0.05575131300928487,,-0.021284444578158746,-0.01708759710763393,-0.011507098807687506,-0.01202056594558549,,0.1343960965299234,0.13229698070371462,0.12844574777157658,0.13010397298103307,
27_T3,0.9885449927402516,1.0,0.9885451567643033,0.9766917923973419,0.9600584108025588,-0.372955276750268,-0.38168934865458687,-0.3812414924505147,-0.3806256885778399,-0.3820569728258157,-0.028923679477992986,-0.0260872899979617,-0.0226070286776526,-0.020131665954990757,-0.01600511450696027,-0.04109054826708388,-0.03907786223596334,-0.03733112517344875,-0.034647506517129056,-0.028905307262046615,0.06201504180128759,0.05982019925654552,0.05948055133989234,0.05861107926964869,0.05548574102243316,-0.021579157779792996,-0.021232656666383527,-0.016994691708283043,-0.01136454283212269,-0.011760329937395914,0.13620289926843668,0.13439649733687734,0.1322965374888636,0.12844383443146348,0.13009901926390768
27_T2,0.9766913674545532,0.9885451567643033,1.0,0.9885453206341507,0.9766779065466782,-0.36682668223818116,-0.37295081075905856,-0.38169264759669314,-0.3812464935449678,-0.38063172141542806,-0.02974322706924065,-0.02882869325857639,-0.026018937924714436,-0.02251700177013644,-0.02000196460047161,-0.041291404216924996,-0.04120260943465088,-0.039158543459908,-0.03743845156519784,-0.03480293551471971,0.06306408720947643,0.06196512383410632,0.05978285742757815,0.05942890328590694,0.05846994203826403,-0.02441343924060331,-0.02150482502297309,-0.021159668112114137,-0.016892575637240118,-0.011222294493997571,0.1410187039080093,0.13620430302437575,0.1343968978694521,0.13229609469368997,0.12844192376558677
27_T1,0.9600882318319988,0.9766917923973419,0.9885453206341507,1.0,0.9885364082073075,-0.3576020373876934,-0.36682086101019357,-0.37295590861290073,-0.3816964215383519,-0.3812514899848393,-0.03159977099533367,-0.029600787885558786,-0.02873383827405053,-0.02595065695381709,-0.022427100228661748,-0.04083886485222688,-0.041460032628215196,-0.04131446534521348,-0.03923911342659333,-0.0375455793246946,0.06174212437548854,0.06299267498842986,0.061915265685659665,0.05974554923206448,0.059333688106158716,-0.025166214729950755,-0.024295535157611105,-0.021401243687496463,-0.021079597141870757,-0.01679060856253389,0.14105719340729928,0.14102248143767335,0.1362057054843143,0.1343972981279291,0.13229565231759952
27_T0,,0.9600584108025588,0.9766779065466782,0.9885364082073075,1.0,,-0.3575551421721089,-0.366829537303512,-0.37296196427221634,-0.38169999913942776,,-0.031066791910177183,-0.029330351818209744,-0.0285526960790745,-0.025816954298443263,,-0.04154481949480908,-0.041818129740318184,-0.04155369931495191,-0.039416122256814214,,0.06150846107631253,0.06286716669344519,0.061827360717584455,0.059622439468102494,,-0.02474245040909017,-0.024013486388520196,-0.02120329892060447,-0.02093744737553,,0.14107147748648177,0.14102636495443996,0.13620617519053674,0.1343964294166335
28_T4,-0.3816929731212311,-0.372955276750268,-0.36682668223818116,-0.3576020373876934,,1.0,0.9885518683674989,0.9756971684056334,0.9621418143676397,,-0.024940207830299124,-0.02735463334878705,-0.02989514820236947,-0.03288456800220295,,-0.25786551061354623,-0.2527176598571681,-0.24799208434938166,-0.2503243365324446,,-0.13365996380592376,-0.1293220041838961,-0.1260618683090586,-0.12309754429654335,,-0.1531138316214525,-0.1489666632290586,-0.1416403522141457,-0.12879848488009213,,-0.09311744340390408,-0.09566364616539201,-0.0976354472490921,-0.09502359315124417,
28_T3,-0.38123711481059125,-0.38168934865458687,-0.37295081075905856,-0.36682086101019357,-0.3575551421721089,0.9885518683674989,1.0,0.9885491774017434,0.975693900499853,0.9621346275286585,-0.02273161139418659,-0.024929367746859225,-0.027342702632557395,-0.029880531078156615,-0.03283487593442423,-0.25484750740595014,-0.25777868092621053,-0.2525981560552437,-0.24780845499789367,-0.24997663695817202,-0.13484244462160067,-0.13366621249474392,-0.12932900119542834,-0.12607030590522278,-0.12312184300540568,-0.14614314102636544,-0.15309100595541159,-0.1489235383601704,-0.14157537297243927,-0.1286614233789713,-0.09013110562539522,-0.09311730331142838,-0.09566360074646178,-0.09763546325937691,-0.09502386785690609
28_T2,-0.3806196473332731,-0.3812414924505147,-0.38169264759669314,-0.37295590861290073,-0.366829537303512,0.9756971684056334,0.9885491774017434,1.0,0.9885492334566756,0.9756939705596321,-0.02089015418694878,-0.022769770768957573,-0.024957810041933405,-0.0273835282507582,-0.029945494109904526,-0.2538047437004041,-0.2546558906638214,-0.257632766485474,-0.25239949546037577,-0.2475059755151035,-0.13660705533937817,-0.13482947336191872,-0.13365594741994216,-0.1293128591055338,-0.12601094198724325,-0.1329498924072427,-0.14614459739707558,-0.15308782137721866,-0.14892146839841666,-0.1415794292815245,-0.08318696894092277,-0.09013218800874413,-0.09311777708369348,-0.09566370239358996,-0.09763474502375757
28_T1,-0.3820469256100478,-0.3806256885778399,-0.3812464935449678,-0.3816964215383519,-0.37296196427221634,0.9621418143676397,0.975693900499853,0.9885492334566756,1.0,0.9885492847143592,-0.019111914577477657,-0.020944936138807303,-0.0228120335593501,-0.024989359020312043,-0.027428508226421826,-0.2546613555514704,-0.25352463408811776,-0.2544583379589996,-0.2574823097710762,-0.25219486434113453,-0.13964270683514812,-0.13659053362775206,-0.13481477624591423,-0.13364434160937505,-0.12927341466499218,-0.12586891351748955,-0.13295040971709204,-0.14614413745833277,-0.15308551676374632,-0.1489231502740488,-0.07576605342437762,-0.08318936048391384,-0.09013335520289392,-0.09311828103145997,-0.09566379030677712
28_T0,,-0.3820569728258157,-0.38063172141542806,-0.3812514899848393,-0.38169999913942776,,0.9621346275286585,0.9756939705596321,0.9885492847143592,1.0,,-0.019211266772973617,-0.020999609613474392,-0.022854240171638056,-0.02502087645328033,,-0.2541241472079736,-0.25324545511384966,-0.25426122264230333,-0.2573321046304915,,-0.1396169346507095,-0.13657404087549885,-0.13480009640245932,-0.13361770393435426,,-0.12586227751861187,-0.1329425731026066,-0.14614142180614673,-0.15308321716570544,,-0.07577188028307788,-0.08319174873881281,-0.09013452132666244,-0.09311878463285954
29_T4,-0.026155713290000077,-0.028923679477992986,-0.02974322706924065,-0.03159977099533367,,-0.024940207830299124,-0.02273161139418659,-0.02089015418694878,-0.019111914577477657,,1.0,0.994465906780635,0.9878850648079622,0.9805248854055479,,-0.025619060000532802,-0.022671428185263697,-0.02160918491045677,-0.022307432151300946,,-0.25740248390945897,-0.25855901422604377,-0.2581789572494395,-0.2558689116107489,,-0.0056895638969826886,-0.008082295521046825,-0.011377739338955833,-0.012960679654409989,,0.10151821086584026,0.10606801514533563,0.11195190558763318,0.11552950468805176,
29_T3,-0.022697181226571633,-0.0260872899979617,-0.02882869325857639,-0.029600787885558786,-0.031066791910177183,-0.02735463334878705,-0.024929367746859225,-0.022769770768957573,-0.020944936138807303,-0.019211266772973617,0.994465906780635,1.0,0.9944683107200696,0.987892802836873,0.9805491202070254,-0.025765712530102087,-0.026106383458917238,-0.023321617686534134,-0.022581170084441826,-0.024237601833347604,-0.2506072319110404,-0.25749014891976385,-0.258683753506436,-0.25837544503135146,-0.25667418272095804,-0.0019311589732928197,-0.005478719869625512,-0.0077019222981250255,-0.01077164652467146,-0.0117838419663643,0.10232199711851966,0.10150764996536446,0.10604793486421908,0.11191288041513499,0.11544082014566626
29_T2,-0.020261639865136835,-0.0226070286776526,-0.026018937924714436,-0.02873383827405053,-0.029330351818209744,-0.02989514820236947,-0.027342702632557395,-0.024957810041933405,-0.0228120335593501,-0.020999609613474392,0.9878850648079622,0.9944683107200696,1.0,0.9944707103826821,0.987900520438481,-0.026774663215608806,-0.026417638014126478,-0.026592846431787276,-0.02397027395191096,-0.02354971896087961,-0.24129877841095973,-0.2507202821665116,-0.25757770974991123,-0.25880829361656776,-0.25877573497971906,0.0038159498442380782,-0.001638366029065547,-0.00518420068687044,-0.007285046011327527,-0.010167299127932022,0.10160891196635155,0.10231208868420226,0.10149710266293703,0.10602788679460803,0.1118739455070633
29_T1,-0.016241635045130886,-0.020131665954990757,-0.02251700177013644,-0.02595065695381709,-0.0285526960790745,-0.03288456800220295,-0.029880531078156615,-0.0273835282507582,-0.024989359020312043,-0.022854240171638056,0.9805248854055479,0.987892802836873,0.9944707103826821,1.0,0.994473105779865,-0.03282720630379556,-0.027753816498860596,-0.027068031036874902,-0.027078451258992723,-0.02461740255772852,-0.2325863336303601,-0.24145895738667209,-0.2508331537285662,-0.25766516659229904,-0.2590706648690332,0.009678445072831936,0.004274615960262181,-0.0012336800078224996,-0.0048621275380462126,-0.00686898111104793,0.10005154797605267,0.10160288188819518,0.1023021990444843,0.10148656893257021,0.10600787085810982
29_T0,,-0.01600511450696027,-0.02000196460047161,-0.022427100228661748,-0.025816954298443263,,-0.03283487593442423,-0.029945494109904526,-0.027428508226421826,-0.02502087645328033,,0.9805491202070254,0.987900520438481,0.994473105779865,1.0,,-0.03477048295529057,-0.028729525177343174,-0.0277168971346081,-0.02756320027169245,,-0.23288258696769787,-0.2416187591468069,-0.2509458470369947,-0.25785758006491877,,0.010626228076420633,0.004900521624078137,-0.0007923513120479974,-0.004540530605981809,,0.10005702746940015,0.10159687630472458,0.10229232814860052,0.10147604874834525
30_T4,-0.038997069491691995,-0.04109054826708388,-0.041291404216924996,-0.04083886485222688,,-0.25786551061354623,-0.25484750740595014,-0.2538047437004041,-0.2546613555514704,,-0.025619060000532802,-0.025765712530102087,-0.026774663215608806,-0.03282720630379556,,1.0,0.9897087890021691,0.9780717551610019,0.9693674562370651,,-0.03893958366329165,-0.04160034307464918,-0.04274692293749449,-0.0351578718223993,,-0.13054602695395673,-0.12642377063004473,-0.12109420715849872,-0.12003554324626117,,0.02756953744097575,0.024983828183042924,0.02252853356902296,0.023516771005279654,
30_T3,-0.03722359951766035,-0.03907786223596334,-0.04120260943465088,-0.041460032628215196,-0.04154481949480908,-0.2527176598571681,-0.25777868092621053,-0.2546558906638214,-0.25352463408811776,-0.2541241472079736,-0.022671428185263697,-0.026106383458917238,-0.026417638014126478,-0.027753816498860596,-0.03477048295529057,0.9897087890021691,1.0,0.9897190300680058,0.9781043350514668,0.9694572115004528,-0.04103231938933633,-0.03871973920252049,-0.04129410719552302,-0.04227368497696935,-0.03353973220166531,-0.13438416180211166,-0.13078047181025804,-0.12686965631233618,-0.12181504243826763,-0.12144026671890693,0.02729827221549818,0.027549548695467527,0.024966664785641007,0.022516193203806403,0.023506129084702093
