,27_T4,27_T3,27_T2,27_T1,27_T0,28_T4,28_T3,28_T2,28_T1,28_T0,29_T4,29_T3,29_T2,29_T1,29_T0,30_T4,30_T3,30_T2,30_T1,30_T0,31_T4,31_T3,31_T2,31_T1,31_T0,32_T4,32_T3,32_T2,32_T1,32_T0,33_T4,33_T3,33_T2,33_T1,33_T0
27_T4,1.0,0.9361532978593061,0.8590590990566458,0.7975290240120684,,-0.39175813214696004,-0.34767338300905076,-0.3001354702024773,-0.2617413861714456,,-0.08486858012821737,-0.05670072015499415,-0.02607653620086041,-0.02397406922414871,,-0.0743740752801427,-0.03827316302814083,-0.020476923174505494,-0.029978018657451887,,0.08075075126199753,0.06326948331644067,0.03764858269469648,0.02049052276001234,,-0.006996762794057765,-0.01689457292065899,-0.03822550984128461,-0.07007175737027992,,0.09833605440688835,0.14049995082464978,0.16432666491160594,0.1684753178568881,
27_T3,0.9361532978593061,1.0,0.9361522975675661,0.8590538276927854,0.7974361991825651,-0.3382049529376373,-0.3917357558639134,-0.3476707659826644,-0.30016337967543943,-0.26176504655798644,-0.08238722427766643,-0.08492702380056574,-0.05675742539687137,-0.026149046721166705,-0.02406008802620668,-0.085289200663841,-0.07429157012169696,-0.03816388928523872,-0.02023392707811154,-0.029211411028316592,0.06153328203107156,0.08079148749255727,0.06330443885877131,0.03769060145517074,0.020529147158382815,-0.020560280687268558,-0.007060868191945486,-0.016941734932671655,-0.038284062741899334,-0.07027125977150249,0.08990859538830026,0.09832951215073149,0.14048788374586668,0.16431950889507269,0.1686197207251108
27_T2,0.8590590990566458,0.9361522975675661,1.0,0.9361519445531239,0.85896408146572,-0.34002398216664276,-0.3381614077182813,-0.3917328388713213,-0.34769113419162384,-0.30015485381360946,-0.09788945828151013,-0.08247353171868367,-0.08498690160402507,-0.05680881924809018,-0.026184159662197903,-0.051962477975347435,-0.08515334151839295,-0.07415892658441232,-0.037953191693624454,-0.01987943810685138,0.048772739766715485,0.061590204636328826,0.0808334613274225,0.06333541607673002,0.03769606358366818,-0.016715267053882835,-0.020666918982280347,-0.00712145689006902,-0.01700016903718554,-0.03842692647392529,0.08645701460386543,0.08990555383598132,0.09832200050345538,0.14048767278039906,0.1643908312850252
27_T1,0.7975290240120684,0.8590538276927854,0.9361519445531239,1.0,0.9360664877821666,-0.3583132090784387,-0.33996100843792937,-0.3381496338297849,-0.3917545326004348,-0.34768263183219317,-0.11442912669885186,-0.09804328926195162,-0.08255784478670115,-0.08503795280022168,-0.05683090510571656,-0.021141098307960356,-0.05168891590265092,-0.08494802191724908,-0.07391716513471934,-0.03766188281172634,0.03043579020211517,0.048878717162621994,0.06164559114031728,0.08086716729403705,0.06333488344382633,-0.024882831664367295,-0.01691764945280232,-0.020763042097958453,-0.0071913290656829875,-0.017151727151134315,0.08970460099022531,0.08646702425606556,0.08990148186651974,0.09832682153614782,0.14055030032625707
27_T0,,0.7974361991825651,0.85896408146572,0.9360664877821666,1.0,,-0.3583290906237631,-0.3399397017477476,-0.33806481816595096,-0.39174588144468264,,-0.11420508460256779,-0.09786884232087811,-0.08244001808973282,-0.08499495145726116,,-0.021408417186043475,-0.05197832047018062,-0.08525561996063308,-0.07423695814566578,,0.0302614806026379,0.048740118986026246,0.06155262278531813,0.08086814727669855,,-0.024578950527792912,-0.016686900296226048,-0.02054065524333449,-0.006702047653150134,,0.08967340549396761,0.08645236746767537,0.08987601064517214,0.09811327444368466
28_T4,-0.39175813214696004,-0.3382049529376373,-0.34002398216664276,-0.3583132090784387,,1.0,0.9237446188086432,0.8727800073759358,0.8727845091445521,,-0.01016813394778874,-0.03364188988339324,-0.026615232766750218,-0.01045097840007281,,-0.27685996731782586,-0.288101934239932,-0.24603421984829568,-0.22808554623833222,,-0.12212362688594867,-0.09080995213624754,-0.0895485867880881,-0.10390625036239139,,-0.20677252759707143,-0.15812147528470155,-0.13721516432699332,-0.12816385431352167,,-0.09531156553591676,-0.1194831298443517,-0.09592715133419179,-0.07741042951973198,
28_T3,-0.34767338300905076,-0.3917357558639134,-0.3381614077182813,-0.33996100843792937,-0.3583290906237631,0.9237446188086432,1.0,0.9237337823876127,0.8726938676750245,0.8727506279988279,-0.01683039319586097,-0.010204080743684753,-0.03370606352801619,-0.026680006539064976,-0.010498016690603736,-0.23200721989297504,-0.2767902057950882,-0.28791741679304544,-0.24556782601828406,-0.22680275731039384,-0.10769320280047875,-0.12209397955816174,-0.09075178646629477,-0.08948972238730851,-0.10388609663068349,-0.17329406817131127,-0.20678404927167965,-0.15816493009351149,-0.13725788328339059,-0.12790687490439262,-0.08421875752422991,-0.09531396359483961,-0.1194926213258996,-0.09593089879168325,-0.07720941010639785
28_T2,-0.3001354702024773,-0.3476707659826644,-0.3917328388713213,-0.3381496338297849,-0.3399397017477476,0.8727800073759358,0.9237337823876127,1.0,0.9237029856613347,0.8726923824373299,-0.02229369622892818,-0.01682654567495667,-0.010196700247357755,-0.033711189399054806,-0.026673286068180698,-0.22930513657064802,-0.2319737820466801,-0.2767382641875265,-0.2876615038135884,-0.24512180447504556,-0.09583883925665679,-0.1076975537822346,-0.12210073031731968,-0.09074799157889028,-0.08949242882743812,-0.13717095138317761,-0.17324814223136026,-0.20674935916665946,-0.1581388833456604,-0.1368664042535651,-0.07492197830394923,-0.08421873451014177,-0.0953133075400221,-0.11949242711448207,-0.09591643255638077
28_T1,-0.2617413861714456,-0.30016337967543943,-0.34769113419162384,-0.3917545326004348,-0.33806481816595096,0.8727845091445521,0.8726938676750245,0.9237029856613347,1.0,0.9236716153775926,-0.008430892810600797,-0.022127509867299985,-0.016718591606585925,-0.0101197654522042,-0.03367199949160354,-0.23117886429828968,-0.22945875656427828,-0.2320839267720167,-0.27680182835347555,-0.2876115793520818,-0.07914052980359154,-0.09595632439635648,-0.10777528723862038,-0.12215883722345804,-0.09074456482935574,-0.1207758787220505,-0.13688933972522388,-0.17307225382102112,-0.20659201105307232,-0.1574775423476637,-0.06610061063766108,-0.07493210465856458,-0.08421405639452621,-0.09531921816079637,-0.11962439557751545
28_T0,,-0.26176504655798644,-0.30015485381360946,-0.34768263183219317,-0.39174588144468264,,0.8727506279988279,0.8726923824373299,0.9236716153775926,1.0,,-0.008309944554285357,-0.022140875283472264,-0.016731277280118917,-0.01012256695147115,,-0.2311811644739103,-0.22927480563534644,-0.23181171535888317,-0.2764406623005243,,-0.07924937471221846,-0.0959514490187337,-0.10776881254436507,-0.12215877502554003,,-0.1205091494321049,-0.13685906932010108,-0.17304688558967304,-0.20636125166511027,,-0.06611746372222699,-0.07493082811270589,-0.08421098640250146,-0.09528199812567137
