,27_T4,27_T3,27_T2,27_T1,27_T0,28_T4,28_T3,28_T2,28_T1,28_T0,29_T4,29_T3,29_T2,29_T1,29_T0,30_T4,30_T3,30_T2,30_T1,30_T0,31_T4,31_T3,31_T2,31_T1,31_T0,32_T4,32_T3,32_T2,32_T1,32_T0,33_T4,33_T3,33_T2,33_T1,33_T0
27_T4,1.0,0.9996206110013239,0.9993238320208826,0.9990387362171834,0.9988838843048458,-0.3715549301554939,-0.37158878106751414,-0.3716391553398674,-0.37184145456571105,-0.37219977433619034,-0.04612961683470325,-0.04648516365223079,-0.046898711554671575,-0.046967148187013696,-0.04700318025081758,-0.04359610550798316,-0.04375830609019305,-0.04426177782818595,-0.04463740782632864,-0.04438984401034338,0.07832544147533087,0.07945209403027831,0.080369347082151,0.08068953473208733,0.08080022077849565,-0.023364810293994145,-0.023089275071451153,-0.02301246044103133,-0.02280732828641786,-0.022858251238279968,0.13439985647112546,0.13458666126292412,0.13461795303674154,0.1345391551077058,0.13469107923928172
27_T3,0.9996206110013239,1.0,0.9996206132347177,0.9993238363974712,0.999038743117988,-0.37139551240780344,-0.3715521575163785,-0.37158578258343705,-0.37163589517677087,-0.3718378479196676,-0.04646888926131419,-0.046145396901996955,-0.04650239420397341,-0.04691764594162085,-0.0469881874496447,-0.043668185879483866,-0.04356709789775715,-0.04372660772668763,-0.044226900894512464,-0.04459864108493186,0.07920050411195408,0.07833354072770882,0.0794609632570103,0.08037910801802528,0.0807004018771557,-0.023128875364454626,-0.023379590502996105,-0.02310542313758802,-0.023030182872552832,-0.022827015358034383,0.1350625673384559,0.1344019767022579,0.13458686749545776,0.1346227267180616,0.1345420083573155
27_T2,0.9993238320208826,0.9996206132347177,1.0,0.9996206154674945,0.9993238407727617,-0.37098643917683904,-0.37139251107213256,-0.37154938552952316,-0.3715827848690784,-0.3716326359344305,-0.046762681404702626,-0.04648608738433749,-0.04616117244484928,-0.04651961936415331,-0.04693657380834781,-0.043554481329100746,-0.0436364947447371,-0.0435381009010943,-0.04369492202209772,-0.0441920392877275,0.08005327307825451,0.07920930335886638,0.07834163753002817,0.07946982955439343,0.08038886540496722,-0.02293372338547191,-0.023144968048960875,-0.02339436555676678,-0.023121565060658298,-0.023047897890390166,0.13563359494850843,0.13506488947534281,0.13440215493973262,0.13459120204172198,0.13462529259752393
27_T1,0.9990387362171834,0.9993238363974712,0.9996206154674945,1.0,0.9996206176997687,-0.3709163685829481,-0.37098313567398544,-0.3713895105068802,-0.3715466141947432,-0.37157978792418506,-0.04684844247027476,-0.04678157198285476,-0.046503280127937974,-0.046176943465232316,-0.04653683913534042,-0.043396991508616055,-0.043519657351136574,-0.043604816273082735,-0.04350911451185856,-0.04366324896843171,0.08049209597217913,0.08006290196821973,0.07921809970147944,0.07834973188340215,0.07947869292388725,-0.022841296828826733,-0.022951377782902644,-0.023161054608286102,-0.023409135458050106,-0.02313770084423763,0.13594764841683094,0.1356361576640171,0.13506509386305576,0.13440611408242378,0.13459352704673266
27_T0,0.9988838843048458,0.999038743117988,0.9993238407727617,0.9996206176997687,1.0,-0.37085964619965006,-0.3709126907923224,-0.3709798331041046,-0.3713865107117884,-0.3715438435117821,-0.046926066377380414,-0.04686940206555078,-0.046800456061288694,-0.04652046749467981,-0.04619270996512458,-0.043406465067609604,-0.04335835656092985,-0.043484848677921406,-0.043573150456522186,-0.04348013872391192,0.08048327952522438,0.08050274322827147,0.08007252736164278,0.07922689314122863,0.07835782378894565,-0.022896898841567495,-0.022860873905328677,-0.022969024785685205,-0.023177135045991552,-0.023423900209597445,0.13601976616055114,0.13595049423123776,0.13563639258037277,0.13506942055206908,0.1344082328185883
28_T4,-0.3715549301554939,-0.37139551240780344,-0.37098643917683904,-0.3709163685829481,-0.37085964619965006,1.0,0.9989017186963361,0.9979938736192415,0.9976363811352446,0.9972524777861809,-0.0026056604609375057,-0.0024184050474036845,-0.0025327096338370807,-0.002746489832011487,-0.003216727716402161,-0.25437114441665964,-0.25465737089798396,-0.25432598429309383,-0.2544040840138295,-0.25459376836726966,-0.13263936015278582,-0.13293490840717676,-0.13271512030413418,-0.1320766543974772,-0.13139169593365413,-0.1438463525424039,-0.1430058201931453,-0.14219643624495187,-0.1413621480045526,-0.14006845195473,-0.09768628087381627,-0.09781192208627122,-0.09787101104038541,-0.09771349732903874,-0.0976513576607417
28_T3,-0.37158878106751414,-0.3715521575163785,-0.37139251107213256,-0.37098313567398544,-0.3709126907923224,0.9989017186963361,1.0,0.9989017192979883,0.9979938746808952,0.9976363823375186,-0.0017035117693050786,-0.0026109084134210104,-0.0024240750299995787,-0.00253896581260271,-0.0027534702633812552,-0.2527155440972343,-0.2543468898152384,-0.25463097158235615,-0.25429693902922007,-0.2543717704137002,-0.1341162805375637,-0.13263696563986233,-0.13293233522612805,-0.13271227370707356,-0.13207346318655944,-0.14405441119418871,-0.14384244690133546,-0.1430015031947228,-0.14219174079470884,-0.14135703718471315,-0.09841874958285016,-0.09768540102520178,-0.0978117059318461,-0.09786905137960615,-0.09771231773140404
28_T2,-0.3716391553398674,-0.37158578258343705,-0.37154938552952316,-0.3713895105068802,-0.3709798331041046,0.9979938736192415,0.9989017192979883,1.0,0.9989017198994712,0.9979938757421263,-0.0008401130352806268,-0.00170917683613803,-0.002616154879454031,-0.0024297432598065446,-0.002545219862766673,-0.2511142759744454,-0.25268927697928545,-0.2543226448452152,-0.2546045837133773,-0.25426790762005647,-0.1357090149273556,-0.1341137092339564,-0.1326345718662691,-0.13292976291337558,-0.13270942816777379,-0.14447857952253812,-0.14405003300747657,-0.1438385428022497,-0.14299718804966807,-0.14218704756116748,-0.09919702535143046,-0.09841779826858067,-0.09768520420119979,-0.09780993312061358,-0.09786799535598381
28_T1,-0.37184145456571105,-0.37163589517677087,-0.3715827848690784,-0.3715466141947432,-0.3713865107117884,0.9976363811352446,0.9979938746808952,0.9989017198994712,1.0,0.9989017205008281,-0.0008585009921088164,-0.0008462755049324394,-0.001714840151711118,-0.0026213998596790328,-0.0024354097376526385,-0.25097974532878287,-0.25108566581955266,-0.2526630212572647,-0.25429840950065563,-0.2545782072833295,-0.1362233912370677,-0.13570623053916758,-0.13411113879738967,-0.13263217883165665,-0.13292719146847443,-0.14493381266412367,-0.14447362232850655,-0.14404565670150749,-0.1438346402442461,-0.14299287475679148,-0.09942434627757879,-0.09919598893716969,-0.09841758305216257,-0.09768356810355558,-0.09780897933952573
28_T0,-0.37219977433619034,-0.3718378479196676,-0.3716326359344305,-0.37157978792418506,-0.3715438435117821,0.9972524777861809,0.9976363823375186,0.9979938757421263,0.9989017205008281,1.0,-0.0010836588335364785,-0.0008652996989825257,-0.0008524358781464897,-0.0017205017168500354,-0.002626643354737964,-0.2509537611000157,-0.2509480521854742,-0.2510570693208699,-0.25263677692346653,-0.25427418377555666,-0.13679026645892886,-0.13622032985209478,-0.13570344718491684,-0.13410856922742104,-0.1326297865356873,-0.1454120089968366,-0.1449282113615933,-0.1444686674714003,-0.1440412822750636,-0.14383073922639572,-0.09952822291766622,-0.09942320104931815,-0.09919575219324944,-0.098415815178993,-0.09768268886336313
