,27_T4,27_T3,27_T2,27_T1,27_T0,28_T4,28_T3,28_T2,28_T1,28_T0,29_T4,29_T3,29_T2,29_T1,29_T0,30_T4,30_T3,30_T2,30_T1,30_T0,31_T4,31_T3,31_T2,31_T1,31_T0,32_T4,32_T3,32_T2,32_T1,32_T0,33_T4,33_T3,33_T2,33_T1,33_T0
27_T4,1.0,0.9755072283902512,0.9301956413866656,0.8906403729066903,0.8516815596178725,-0.39308822893745843,-0.37657519090740105,-0.346100316532047,-0.321934696237726,-0.296717814979352,-0.08495213405947656,-0.07239462912784511,-0.055832283361497724,-0.040319953085866445,-0.025891534663138798,-0.0741723728974892,-0.05369698290591464,-0.03770023836494466,-0.02709705021326676,-0.01998883118391656,0.08038249054319234,0.07214869423070193,0.06230782962377967,0.05184306692312986,0.037440178810409404,-0.004830628948082105,-0.007805293671449709,-0.014849040937616425,-0.024089956915026866,-0.03838885431014571,0.09691777468980478,0.11848661619491042,0.13937882521020772,0.1523505863451078,0.16347028453969115
27_T3,0.9755072283902512,1.0,0.9755072829213901,0.9301757014074574,0.8905643357055523,-0.36900807194917906,-0.3930954487227941,-0.37658718510571,-0.34608991553378027,-0.321936027091426,-0.08486138019529929,-0.0849810581396483,-0.07241566094061237,-0.055847572290299755,-0.04032761015444483,-0.082115672342213,-0.07408397770522096,-0.05355659862422113,-0.037567773466314056,-0.026934615538956177,0.07562034951136529,0.08040263993911008,0.07216110516232385,0.06231144953568292,0.0518395214985953,-0.010922392157657099,-0.004862424937049547,-0.007839407889568741,-0.014928636742011822,-0.02415816304818361,0.0900643778577207,0.09691144258031875,0.11849567726778906,0.1394093804254101,0.1523813072019365
27_T2,0.9301956413866656,0.9755072829213901,1.0,0.9754848382422405,0.9301029919370767,-0.3353280466807831,-0.36901568170287774,-0.3931085593060064,-0.37657669975002195,-0.346090875701172,-0.082539226022737,-0.08489551527108972,-0.0850026165175267,-0.0724309249108967,-0.05585404472084243,-0.08600042029774194,-0.08200693475270826,-0.07393014954813024,-0.053413348807360705,-0.037411414035915296,0.06205880928243425,0.07564350764367918,0.08041575502852158,0.07216446053603155,0.06230713671942623,-0.019163938296292836,-0.010962406483737983,-0.004900087087232962,-0.0079349615253996,-0.015002014343985442,0.08745164497675628,0.09005808529239635,0.09692203640371655,0.11853261917313997,0.1394411720291192
27_T1,0.8906403729066903,0.9301757014074574,0.9754848382422405,1.0,0.9754755270112315,-0.3286340920284802,-0.33531466460850257,-0.36898293798455434,-0.39311212478667135,-0.37656893658511675,-0.08240397435270903,-0.08250118890550007,-0.08487014395498992,-0.08498573207086599,-0.07242126145650649,-0.07606416432665607,-0.08605603845227333,-0.08207438443834972,-0.07399918206381816,-0.053538864647430774,0.05230494736367434,0.06202414926244035,0.07562232367382812,0.08040992278758642,0.0721733724654228,-0.018103837857205606,-0.019103736815205802,-0.010900766272143234,-0.004743618877107899,-0.007744599717122879,0.08430017865670086,0.08745466413880175,0.09004435492185593,0.09686134879933661,0.11844037245206578
27_T0,0.8516815596178725,0.8905643357055523,0.9301029919370767,0.9754755270112315,1.0,-0.3354297554467079,-0.32858132348818964,-0.33522804774525633,-0.36899025939651986,-0.3930887684602198,-0.09606082900727339,-0.08229150075610131,-0.08242978484587463,-0.08482346713578424,-0.0849661604617989,-0.05335287442891213,-0.0762978127603748,-0.08634023946688918,-0.08232996245082153,-0.074259155953898,0.04796315723516709,0.052215116394479906,0.061975204282336695,0.07561052569558212,0.08042425227396789,-0.017683542464605035,-0.01794045185283687,-0.018936179477477808,-0.010495212862492703,-0.004425136462361363,0.08299577220986966,0.08430288661134182,0.08740882189451214,0.08988514559212225,0.0967052397014127
28_T4,-0.39308822893745843,-0.36900807194917906,-0.3353280466807831,-0.3286340920284802,-0.3354297554467079,1.0,0.9699069738117554,0.9169993686081986,0.8852874637412699,0.8637275893632016,-0.009626763223876816,-0.02339208755799907,-0.03440571766301854,-0.03315273513316157,-0.027373234640758984,-0.2767161184122633,-0.28997530229434576,-0.28601488662547575,-0.26529312477793,-0.24369916385739487,-0.12120199629698421,-0.10323622501080867,-0.08887516297288359,-0.08560963503636676,-0.08661514809343265,-0.20979332390255878,-0.190183723604792,-0.15776446026029722,-0.14474433287624056,-0.13515460091548256,-0.09527474237510725,-0.11291000642885198,-0.11920706336200178,-0.10743881628089552,-0.0959291538860463
28_T3,-0.37657519090740105,-0.3930954487227941,-0.36901568170287774,-0.33531466460850257,-0.32858132348818964,0.9699069738117554,1.0,0.9699005553668459,0.916984972709654,0.885284743734909,-0.008652230710032068,-0.00959752984900043,-0.023370574442235247,-0.03438921126981177,-0.03314304556032133,-0.255567831778483,-0.27672444923187284,-0.2899153340717247,-0.2859386644687982,-0.26519521820281555,-0.1202906607628424,-0.12122578899133805,-0.10325246412464138,-0.08888052370959597,-0.0856020922974099,-0.19683433779623108,-0.20974185919081348,-0.19012071999338695,-0.15749919424144423,-0.14446380243173945,-0.08856874328746898,-0.09526926160203464,-0.11291821617874975,-0.11923891448309347,-0.10748797596421525
28_T2,-0.346100316532047,-0.37658718510571,-0.3931085593060064,-0.36898293798455434,-0.33522804774525633,0.9169993686081986,0.9699005553668459,1.0,0.9698620678344049,0.9169688087976666,-0.015178782848713162,-0.00858763244620925,-0.009554540292702238,-0.02333699546677815,-0.03437274136274105,-0.22893594455154045,-0.25564970359060235,-0.2767882193730077,-0.28996819568951043,-0.2859757869893665,-0.10809685368411052,-0.12033885708989586,-0.12125457997057565,-0.1032595466632892,-0.08886409538825824,-0.17283285702797704,-0.1967285915150595,-0.20963289844041214,-0.18971287776383094,-0.15711521409583953,-0.08216896611035217,-0.08855755792505442,-0.09528762783933155,-0.11300468569415141,-0.1193413766935467
28_T1,-0.321934696237726,-0.34608991553378027,-0.37657669975002195,-0.39311212478667135,-0.36899025939651986,0.8852874637412699,0.916984972709654,0.9698620678344049,1.0,0.969855840904109,-0.024293976426753253,-0.01520297297109699,-0.008602440651124591,-0.009563412642150052,-0.023342225871609057,-0.22072208330504337,-0.22880912115906768,-0.25542420672037464,-0.2765828897505306,-0.2896505880137229,-0.0977986707150328,-0.10807931085491322,-0.1203297962560278,-0.1212526641014225,-0.10326317146747428,-0.15607382693119937,-0.17284494457920713,-0.1967347158086426,-0.20956019265307224,-0.18968071750124754,-0.07363956090308882,-0.08217131985356882,-0.08854848076668075,-0.09524828139122737,-0.11294299576941151
28_T0,-0.296717814979352,-0.321936027091426,-0.346090875701172,-0.37656893658511675,-0.3930887684602198,0.8637275893632016,0.885284743734909,0.9169688087976666,0.969855840904109,1.0,-0.023053222885330148,-0.024282072102548204,-0.01519628950817016,-0.008597766888630095,-0.00956137378070693,-0.22514744617952226,-0.22066554391998983,-0.22868061589518032,-0.2553033302254373,-0.276434320197879,-0.09430641686642503,-0.09780842911358596,-0.10808442791945945,-0.12033074680808574,-0.12124928801815231,-0.13491563221429326,-0.1560348763726099,-0.17280311384518016,-0.19653511930999665,-0.20940496627284014,-0.07194118357892096,-0.0736388335123555,-0.08217442063244042,-0.08855234218314183,-0.09525262048223589
