Pattern, Confidence-Frequence
Total number of input patterns: 19750
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_0,Piena_T1_1'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_0,Piena_T1_1'], ['Vuota_T2_1']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_0,Piena_T1_1'], ['Piena_T2_2']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_0,Piena_T1_1'], ['Vuota_T2_3']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_0,Piena_T1_2'], ['Vuota_T2_2']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_0,Piena_T1_2'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_0,Piena_T1_2'], ['Vuota_T2_1']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_0,Piena_T1_2'], ['Piena_T2_2']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_0,Piena_T1_2'], ['Vuota_T2_3']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_0,Vuota_T1_1'], ['Vuota_T2_2']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_0,Vuota_T1_1'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_0,Vuota_T1_1'], ['Vuota_T2_1']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_0,Vuota_T1_1'], ['Piena_T2_2']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_0,Vuota_T1_1'], ['Vuota_T2_3']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_2']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_0']]], ['1.0 - 2']]
