Pattern, Confidence-Frequence
Total number of input patterns: 19243
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Normal_T0_2'], ['QuasiVuota_T1_3']]], ['0.8332925934979223 - 3409']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8329912775782452 - 3247']]
[[[['Normal_T0_0,QuasiVuota_T0_3,Normal_T0_2,Normal_T0_2'], ['Normal_T1_2']]], ['0.8324898785425101 - 3290']]
[[[['Normal_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,QuasiVuota_T0_2'], ['QuasiVuota_T1_3']]], ['0.8324541572469228 - 3314']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_0,QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.8310767246937459 - 2578']]
[[[['Normal_T0_0'], ['Normal_T1_3,QuasiVuota_T1_3,QuasiVuota_T1_3'], ['Normal_T2_3']]], ['0.8306146227789106 - 5703']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Normal_T0_2,Normal_T0_2'], ['Normal_T1_2']]], ['0.8296812749003984 - 3332']]
[[[['Normal_T0_0'], ['Normal_T1_3,Normal_T1_3,Normal_T1_2'], ['Normal_T2_3']]], ['0.829254571026723 - 2948']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_3,Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8290850550040247 - 3090']]
[[[['Normal_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['QuasiVuota_T1_2']]], ['0.8283132530120482 - 3300']]
[[[['Normal_T0_0,QuasiVuota_T0_2'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.8281822943949712 - 3162']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_0,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8280762564991334 - 2389']]
[[[['Normal_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Normal_T0_3'], ['Normal_T1_3']]], ['0.8280040881880566 - 5671']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_0,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8279352226720648 - 3272']]
[[[['Normal_T0_0,QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_3']]], ['0.8270777479892761 - 4936']]
[[[['Normal_T0_0,Normal_T0_1'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.82671272308578 - 1436']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3,Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8261324954176485 - 3155']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Normal_T0_3'], ['QuasiVuota_T1_3']]], ['0.8260930493273543 - 5895']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3,QuasiVuota_T1_2'], ['QuasiVuota_T2_3']]], ['0.8260869565217391 - 3059']]
[[[['Normal_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Normal_T0_3'], ['QuasiVuota_T1_3']]], ['0.8259599941597313 - 5657']]
[[[['Normal_T0_0,QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['QuasiVuota_T1_2']]], ['0.825880758807588 - 4876']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_0,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8258680095414789 - 3116']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_0,QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.8257016248153619 - 3354']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_2,Normal_T1_2,QuasiVuota_T1_1'], ['Normal_T2_2']]], ['0.8256484149855908 - 1719']]
[[[['QuasiVuota_T0_0,Normal_T0_3,Normal_T0_3,QuasiVuota_T0_2'], ['Normal_T1_3']]], ['0.825512405609493 - 3061']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Normal_T0_3'], ['Normal_T1_3']]], ['0.8253923766816144 - 5890']]
[[[['Normal_T0_0,Normal_T0_3,Normal_T0_3,QuasiVuota_T0_2'], ['Normal_T1_3']]], ['0.8250825082508251 - 3000']]
[[[['Normal_T0_0,QuasiVuota_T0_1'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.8250140213123949 - 1471']]
[[[['Normal_T0_0'], ['Normal_T1_3,Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.824973600844773 - 3125']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_2,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['Normal_T2_2']]], ['0.8248375451263538 - 5712']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3,QuasiVuota_T1_2'], ['QuasiVuota_T2_3']]], ['0.8247104247104247 - 3204']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_3,QuasiVuota_T1_3,QuasiVuota_T1_3'], ['Normal_T2_3']]], ['0.8246088193456614 - 5797']]
[[[['Normal_T0_0,QuasiVuota_T0_3'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.824578313253012 - 5133']]
[[[['QuasiVuota_T0_0,Normal_T0_2,Normal_T0_2,Normal_T0_3'], ['Normal_T1_2']]], ['0.8240144292708065 - 3198']]
[[[['Normal_T0_0,Normal_T0_3'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['Normal_T2_3']]], ['0.8238552437223042 - 4462']]
[[[['Normal_T0_0,Normal_T0_3'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.8236706056129985 - 4461']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3,Normal_T1_2'], ['QuasiVuota_T2_3']]], ['0.8235767991407089 - 3067']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['QuasiVuota_T1_2']]], ['0.8235153827808251 - 3453']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,Normal_T1_1'], ['QuasiVuota_T2_2']]], ['0.823499491353001 - 1619']]
[[[['QuasiVuota_T0_0,Normal_T0_2,Normal_T0_3,Normal_T0_3'], ['Normal_T1_3']]], ['0.8231939163498099 - 3031']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,Normal_T1_1'], ['QuasiVuota_T2_2']]], ['0.8230535894843276 - 1628']]
[[[['Normal_T0_0'], ['Normal_T1_3,Normal_T1_3,QuasiVuota_T1_2'], ['Normal_T2_3']]], ['0.8230088495575221 - 2976']]
[[[['Normal_T0_0,Normal_T0_2'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.822722283205269 - 2998']]
[[[['Normal_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['QuasiVuota_T1_2']]], ['0.8226284584980237 - 6660']]
[[[['Normal_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_3']]], ['0.8225584594222833 - 6578']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3,Normal_T1_2'], ['QuasiVuota_T2_3']]], ['0.8224806201550388 - 3183']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_3,Normal_T1_3,QuasiVuota_T1_2'], ['Normal_T2_3']]], ['0.8224787029403682 - 2993']]
[[[['Normal_T0_0,Normal_T0_2,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['QuasiVuota_T1_2']]], ['0.8224443818642636 - 5841']]
[[[['Normal_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['Normal_T1_2']]], ['0.822289156626506 - 3276']]
[[[['Normal_T0_0,QuasiVuota_T0_2'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8222404820597097 - 3002']]
[[[['QuasiVuota_T0_0,Normal_T0_2,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['QuasiVuota_T1_2']]], ['0.8221443587946742 - 5866']]
[[[['Normal_T0_0'], ['Normal_T1_3,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8221046770601337 - 2953']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_3']]], ['0.8220726136090406 - 6838']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.8220338983050848 - 3298']]
