Pattern, Confidence-Frequence
Total number of input patterns: 29408
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['QuasiPiena_T1_2']]], ['0.8602941176470589 - 1404']]
[[[['Normal_T0_0,Normal_T0_3'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.8597285067873304 - 380']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.8584474885844748 - 376']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,Normal_T1_3'], ['QuasiPiena_T2_1']]], ['0.8582089552238806 - 345']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8581890812250332 - 1289']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,Normal_T1_3'], ['QuasiPiena_T2_1']]], ['0.85785536159601 - 344']]
[[[['Normal_T0_0'], ['Normal_T1_0,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8571428571428571 - 834']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['Normal_T2_3']]], ['0.8561151079136691 - 119']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.855863921217547 - 1912']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8553259141494436 - 1076']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_2,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.855072463768116 - 531']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_2,Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.854563492063492 - 4307']]
[[[['QuasiPiena_T0_0,Normal_T0_3'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.8542141230068337 - 375']]
[[[['Normal_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['QuasiPiena_T1_2']]], ['0.8533998752339363 - 1368']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,QuasiPiena_T1_3'], ['QuasiPiena_T2_1']]], ['0.8528735632183908 - 371']]
[[[['Normal_T0_0,Normal_T0_2,Normal_T0_2,QuasiPiena_T0_2'], ['Normal_T1_2']]], ['0.8527656187823319 - 4286']]
[[[['QuasiPiena_T0_0,Normal_T0_2,Normal_T0_2,QuasiPiena_T0_2'], ['Normal_T1_2']]], ['0.8526838966202783 - 4289']]
[[[['Normal_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1,Normal_T0_3'], ['QuasiPiena_T1_1']]], ['0.8513853904282116 - 338']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['Normal_T1_1']]], ['0.8509174311926605 - 371']]
[[[['Normal_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['Normal_T1_1']]], ['0.8506666666666667 - 319']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8499798630688683 - 4221']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8496846531184302 - 2425']]
[[[['QuasiPiena_T0_0,Normal_T0_2'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8492620372610694 - 3510']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.849 - 849']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_1'], ['QuasiPiena_T2_2']]], ['0.8488830486202366 - 1292']]
[[[['Normal_T0_0,Normal_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_2'], ['Normal_T1_2']]], ['0.8486593843098312 - 4273']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_0,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8479880774962743 - 569']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,Normal_T0_3,Normal_T0_3'], ['Normal_T1_3']]], ['0.8479415670650731 - 1277']]
