,34_T4,34_T3,34_T2,34_T1,34_T0,35_T4,35_T3,35_T2,35_T1,35_T0,36_T4,36_T3,36_T2,36_T1,36_T0,37_T4,37_T3,37_T2,37_T1,37_T0,38_T4,38_T3,38_T2,38_T1,38_T0
36_T4,-0.3290288490672784,-0.32849270393815866,-0.32682187611575975,-0.325156903082978,-0.3234769459691588,-0.028374054867772256,-0.028775556291044144,-0.027676490782356473,-0.02649741024803197,-0.025068758476881906,1.0,0.9905191993880097,0.9801114128729582,0.9708614166384878,0.9625505408897057,-0.03963687330308696,-0.0395838894286678,-0.03918033119603124,-0.03874982336239979,-0.03853221036360465,0.11488758982848578,0.11556414185805272,0.11665158559384588,0.1176820980333158,0.11858124603327758
36_T3,-0.32741713362629427,-0.32904169995037047,-0.32850558662339835,-0.32683480821183103,-0.3251698783447549,-0.02696031872844083,-0.02838052023073974,-0.028779340215700954,-0.02767859486424581,-0.026499521374916252,0.9905191993880097,1.0,0.9905190384335529,0.9801113987430924,0.970861532991647,-0.038370056145889085,-0.03963943336307759,-0.03958645733954036,-0.03918696826435595,-0.03875579328149236,0.11456865964315012,0.1148536518472899,0.11553014883146687,0.11661753935670988,0.11764800860369735
36_T2,-0.3253826056005662,-0.3274340285725756,-0.32905852481167186,-0.3285224475199246,-0.32685172399438117,-0.024440748506650012,-0.026968252677485677,-0.028385133591505955,-0.028781874922984747,-0.02768113834423733,0.9801114128729582,0.9905190384335529,1.0,0.990519199219048,0.980111736175039,-0.036851962098216014,-0.03837316212638531,-0.039642520493088695,-0.03959456118785131,-0.039194251243777414,0.11497262606954367,0.11452773191409507,0.11481274753266733,0.11548918460304602,0.1165765185404863
36_T1,-0.32366326357321107,-0.32539956661262875,-0.3274509216209806,-0.32907534778494757,-0.328539306522943,-0.021603368971950462,-0.02444870910340161,-0.026972879401907374,-0.028387673914776215,-0.028784409443388975,0.9708614166384878,0.9801113987430924,0.990519199219048,1.0,0.990519359989753,-0.0353028817606617,-0.03685508515015506,-0.038376267877253914,-0.039650609622308104,-0.039601834068415394,0.11548337785777352,0.11493166912276215,0.11448681038041246,0.11477184940705176,0.11544822657518436
36_T0,-0.32213875791703395,-0.32368027433301017,-0.3254165257183735,-0.32746781277179116,-0.3290921688704828,-0.01867894796734821,-0.02161135876239988,-0.024453358236885565,-0.026975430208977542,-0.028390214050822343,0.9625505408897057,0.970861532991647,0.980111736175039,0.990519359989753,1.0,-0.03357918336897456,-0.03530602047230643,-0.03685820797104039,-0.03838438237233597,-0.03965786863765996,0.1160009361509096,0.11544239615734894,0.11489071837720337,0.11444589504056886,0.11473095746894245
37_T4,-0.2711334443463479,-0.2681383427145434,-0.2632543440747802,-0.2582547965440029,-0.25378978101660443,-0.17372381299346384,-0.17104945424988222,-0.1671404858420929,-0.1634825973271977,-0.16012147364697446,-0.03963687330308696,-0.038370056145889085,-0.036851962098216014,-0.0353028817606617,-0.03357918336897456,1.0,0.982305890851914,0.9634419434621904,0.9460816394816929,0.9297182315852167,-0.07805843761569392,-0.07830431769770332,-0.07866528664701945,-0.07936450059121027,-0.08000383381342174
37_T3,-0.26863922137814955,-0.27112243610059805,-0.2681273808571333,-0.26324347686802424,-0.2582440315750027,-0.1725313971131132,-0.17372173999787996,-0.17104828464424723,-0.1671398230614399,-0.16348193623498758,-0.0395838894286678,-0.03963943336307759,-0.03837316212638531,-0.03685508515015506,-0.03530602047230643,0.982305890851914,1.0,0.9823059032373974,0.9634412735542005,0.946081223325219,-0.07771021521337383,-0.07804825357061221,-0.07829411239889532,-0.0786550616523344,-0.07935424550095439
37_T2,-0.2641179838402198,-0.2686282477147888,-0.2711114290533481,-0.268116420193159,-0.263232610843618,-0.16956058208136957,-0.1725293237946113,-0.17372056854607193,-0.1710476199476493,-0.16713916031941475,-0.03918033119603124,-0.03958645733954036,-0.039642520493088695,-0.038376267877253914,-0.03685820797104039,0.9634419434621904,0.9823059032373974,1.0,0.9823051865416715,0.9634408213780565,-0.077511582713393,-0.07770002821736252,-0.07803807098478988,-0.07828390856279616,-0.07864483812355466
37_T1,-0.2593952515730486,-0.26409871378869015,-0.2686088877794058,-0.27109203842029517,-0.268097076276984,-0.1668674501679669,-0.169555749982881,-0.1725263832552079,-0.1737187565589835,-0.17104581486497208,-0.03874982336239979,-0.03918696826435595,-0.03959456118785131,-0.039650609622308104,-0.03838438237233597,0.9460816394816929,0.9634412735542005,0.9823051865416715,1.0,0.9823052341506199,-0.07757851584489195,-0.07749057563580414,-0.07767902596787991,-0.07801707709020674,-0.07826289073979863
37_T0,-0.25448439493181724,-0.25937750705690604,-0.26408087081951626,-0.2685909561200606,-0.27107407586471177,-0.1646138898670444,-0.1668631051288225,-0.16955312912000484,-0.17252478274025923,-0.17371715400215793,-0.03853221036360465,-0.03875579328149236,-0.039194251243777414,-0.039601834068415394,-0.03965786863765996,0.9297182315852167,0.946081223325219,0.9634408213780565,0.9823052341506199,1.0,-0.07805343866564521,-0.07755930967744602,-0.0774713828049294,-0.07765983753397153,-0.07799789638359038
38_T4,-0.2118779449857851,-0.21088162717983483,-0.20870282791038725,-0.20605017941750928,-0.20315045556965192,-0.08062333162956924,-0.08070569571856595,-0.08073229456429115,-0.08070130381488885,-0.08069835072916128,0.11488758982848578,0.11456865964315012,0.11497262606954367,0.11548337785777352,0.1160009361509096,-0.07805843761569392,-0.07771021521337383,-0.077511582713393,-0.07757851584489195,-0.07805343866564521,1.0,0.9946799726817822,0.9870754447177326,0.979519154575456,0.9720776082227394
38_T3,-0.21043023575161615,-0.21181016999527305,-0.210813875727779,-0.20863518923663985,-0.20598269728985266,-0.0799215378830407,-0.0806028713956754,-0.08069236510615711,-0.08072339446276659,-0.08069240418309306,0.11556414185805272,0.1148536518472899,0.11452773191409507,0.11493166912276215,0.11544239615734894,-0.07830431769770332,-0.07804825357061221,-0.07770002821736252,-0.07749057563580414,-0.07755930967744602,0.9946799726817822,1.0,0.9946803715571714,0.9870764137732961,0.9795206901650347
38_T2,-0.20802477829419902,-0.21036251201070702,-0.21174240679714304,-0.21074613606867335,-0.20856756233792262,-0.07880835991681753,-0.07990110843650026,-0.08058954049233995,-0.0806834654008818,-0.08071449565294149,0.11665158559384588,0.11553014883146687,0.11481274753266733,0.11448681038041246,0.11489071837720337,-0.07866528664701945,-0.07829411239889532,-0.07803807098478988,-0.07767902596787991,-0.0774713828049294,0.9870754447177326,0.9946803715571714,1.0,0.9946807703498949,0.9870773826284197
38_T1,-0.20523291009006298,-0.20795718454209478,-0.21029480005719975,-0.21167465538828392,-0.2106784081993709,-0.0776919166181874,-0.0787879782906262,-0.07988780989022207,-0.08058063828753928,-0.08067456698689617,0.1176820980333158,0.11661753935670988,0.11548918460304602,0.11477184940705176,0.11444589504056886,-0.07936450059121027,-0.0786550616523344,-0.07828390856279616,-0.07801707709020674,-0.07765983753397153,0.979519154575456,0.9870764137732961,0.9946807703498949,1.0,0.9946811690600688
38_T0,-0.20234434830065712,-0.20516548266928472,-0.20788960255556416,-0.21022709988798696,-0.2116069157655475,-0.07662284026878856,-0.07767158116465754,-0.07877472642732251,-0.07987894123852057,-0.08057173737365785,0.11858124603327758,0.11764800860369735,0.1165765185404863,0.11544822657518436,0.11473095746894245,-0.08000383381342174,-0.07935424550095439,-0.07864483812355466,-0.07826289073979863,-0.07799789638359038,0.9720776082227394,0.9795206901650347,0.9870773826284197,0.9946811690600688,1.0
