,34_T4,34_T3,34_T2,34_T1,34_T0,35_T4,35_T3,35_T2,35_T1,35_T0,36_T4,36_T3,36_T2,36_T1,36_T0,37_T4,37_T3,37_T2,37_T1,37_T0,38_T4,38_T3,38_T2,38_T1,38_T0
34_T4,1.0,0.9864702517412602,0.9669631719367526,0.9492959234483572,0.9333697221200841,-0.1784892186374941,-0.17824731477699746,-0.176953575923685,-0.1751791924855262,-0.17225532492745874,-0.33008625933205693,-0.3268854408396014,-0.32361912573310764,-0.32119485739557185,-0.3186905909958742,-0.27155992492414804,-0.2654865970490993,-0.2559286648695047,-0.24642792095699845,-0.23799265096092626,-0.2125361861588313,-0.2089948783516139,-0.20350880614775654,-0.19827603681753656,-0.19333662368246635
34_T3,0.9864702517412602,1.0,0.9864713685540489,0.9669658991629984,0.9493001090556086,-0.17502638289251557,-0.1785064381947434,-0.17822843558590065,-0.17692524515052438,-0.17516309101248503,-0.328335900964061,-0.3301140197418372,-0.3269174206279248,-0.32364930800972086,-0.32122914354358195,-0.2647873035900704,-0.27149017861721475,-0.265441276569467,-0.25590714131643777,-0.24639140927449252,-0.209648996316827,-0.21240013620285203,-0.20885915461010643,-0.20337372887204624,-0.19814157513641878
34_T2,0.9669631719367526,0.9864713685540489,1.0,0.9864724850549041,0.9669686256277076,-0.17037256569814196,-0.17504379970530082,-0.17848756033698826,-0.17820007158624881,-0.1769090876716647,-0.325051913615232,-0.3283637979621517,-0.33014576104682697,-0.32694740520580357,-0.3236834465305941,-0.25545568633935756,-0.2647178729436411,-0.2714446514315663,-0.2654193697426336,-0.25587021708119767,-0.20423962249251268,-0.20951318866026503,-0.21226413367709174,-0.2087234782011336,-0.2032386986963305
34_T1,0.9492959234483572,0.9669658991629984,0.9864724850549041,1.0,0.9864736012440253,-0.16581174584515498,-0.17039019011914944,-0.17502507339138929,-0.1784592094730417,-0.17818387888173823,-0.32198876413081995,-0.32507999587178266,-0.3283956844329553,-0.33017551444783105,-0.3269813348442778,-0.2474739538349966,-0.2553867987455076,-0.2646726063521222,-0.27142254209123917,-0.2653820376375482,-0.19836863274526367,-0.20410444211962317,-0.2093774283713154,-0.21212817855635127,-0.20858784909947622
34_T0,0.9333697221200841,0.9493001090556086,0.9669686256277076,0.9864736012440253,1.0,-0.16114039529799695,-0.16582957516374974,-0.17037165995951584,-0.1749968711116757,-0.17844301469687088,-0.3194088504097358,-0.3220170241050136,-0.3251120768927384,-0.3284255785951107,-0.3302091982658409,-0.24035786927240307,-0.2474055259297727,-0.2553419711138046,-0.26465073889914364,-0.2713850084820589,-0.19270906017416078,-0.19823413270912882,-0.2039693088940031,-0.20924171542474937,-0.21199227081535962
35_T4,-0.1784892186374941,-0.17502638289251557,-0.17037256569814196,-0.16581174584515498,-0.16114039529799695,1.0,0.9600517138008762,0.9169492008940308,0.8850150194296575,0.8583596760014806,-0.02794656675554661,-0.02408670260200793,-0.01844066527281606,-0.013989746247816664,-0.01103535137667112,-0.1748782982374293,-0.17156163741008312,-0.1666042788876167,-0.16223584392502505,-0.1587416231984062,-0.08111500804496029,-0.07955686851545579,-0.077310649224301,-0.07490094626024804,-0.07206675640611532
35_T3,-0.17824731477699746,-0.1785064381947434,-0.17504379970530082,-0.17039019011914944,-0.16582957516374974,0.9600517138008762,1.0,0.9600437456434353,0.9169369899093419,0.8850084825796263,-0.02733252568099697,-0.027932150971657348,-0.02407073478724915,-0.018425590489391522,-0.013973194753343911,-0.16911520784471193,-0.17489104440025102,-0.1715698811107082,-0.16660682455116071,-0.16224236665479339,-0.08153655687501678,-0.08114272552885063,-0.07958475095201029,-0.07733870153293258,-0.07492918567314101
35_T2,-0.176953575923685,-0.17822843558590065,-0.17848756033698826,-0.17502507339138929,-0.17037165995951584,0.9169492008940308,0.9600437456434353,1.0,0.9600433692886241,0.9169370521746713,-0.024731363392188368,-0.027338438633657456,-0.02793866160592485,-0.024076996330862716,-0.01843256341839783,-0.16204625887999288,-0.1691046860166869,-0.1748852792901936,-0.17156814177877866,-0.16660254908779523,-0.08163524361942426,-0.08151502179250075,-0.08112120116597153,-0.07956337487653581,-0.07731749446063803
35_T1,-0.1751791924855262,-0.17692524515052438,-0.17820007158624881,-0.1784592094730417,-0.1749968711116757,0.8850150194296575,0.9169369899093419,0.9600433692886241,1.0,0.9600426476195302,-0.022143280209031745,-0.024742342619958207,-0.027350518149818707,-0.027950155477587356,-0.024089709825293647,-0.15568289807702143,-0.16202958343276475,-0.16909503833745274,-0.1748820310974238,-0.17156072489005936,-0.08188243815425739,-0.08160115851070153,-0.08148097150798285,-0.08108716944120399,-0.07952949105139545
35_T0,-0.17225532492745874,-0.17516309101248503,-0.1769090876716647,-0.17818387888173823,-0.17844301469687088,0.8583596760014806,0.8850084825796263,0.9169370521746713,0.9600426476195302,1.0,-0.019806560975129173,-0.022147834778421676,-0.024747309497044317,-0.027355213927233762,-0.02795528967849706,-0.15073778211052818,-0.1556743672913126,-0.1620249975357147,-0.1690936996707367,-0.17487858005329837,-0.08242355980137422,-0.08186441278706934,-0.081583170501494,-0.0814630122720838,-0.08106921875163034
36_T4,-0.33008625933205693,-0.328335900964061,-0.325051913615232,-0.32198876413081995,-0.3194088504097358,-0.02794656675554661,-0.02733252568099697,-0.024731363392188368,-0.022143280209031745,-0.019806560975129173,1.0,0.9846934244931488,0.9668800400269372,0.9516595370992132,0.9377866511781786,-0.039958070554359036,-0.0399468488823018,-0.039214074221683735,-0.03913807328014052,-0.038445185939166536,0.11577939704137831,0.11734766178852575,0.11931412392329659,0.12115911094534575,0.12272723667646566
36_T3,-0.3268854408396014,-0.3301140197418372,-0.3283637979621517,-0.32507999587178266,-0.3220170241050136,-0.02408670260200793,-0.027932150971657348,-0.027338438633657456,-0.024742342619958207,-0.022147834778421676,0.9846934244931488,1.0,0.9846937060910214,0.9668808838516739,0.9516606383385554,-0.037574034728295375,-0.03998657562921979,-0.03996412397324751,-0.039219514305293544,-0.039151455323233386,0.11571357117539117,0.11570776531541775,0.11727584934558102,0.1192421314260099,0.12108694120625285
