2_T4,2_T3,2_T2,2_T1,2_T0,3_T4,3_T3,3_T2,3_T1,3_T0,4_T4,4_T3,4_T2,4_T1,4_T0,5_T4,5_T3,5_T2,5_T1,5_T0,6_T4,6_T3,6_T2,6_T1,6_T0,7_T4,7_T3,7_T2,7_T1,7_T0,8_T4,8_T3,8_T2,8_T1,8_T0,9_T4,9_T3,9_T2,9_T1,9_T0,10_T4,10_T3,10_T2,10_T1,10_T0,11_T4,11_T3,11_T2,11_T1,11_T0,12_T4,12_T3,12_T2,12_T1,12_T0,13_T4,13_T3,13_T2,13_T1,13_T0,14_T4,14_T3,14_T2,14_T1,14_T0,16_T4,16_T3,16_T2,16_T1,16_T0,80_T4,80_T3,80_T2,80_T1,80_T0,84_T4,84_T3,84_T2,84_T1,84_T0
1.0,0.9901450551634582,0.9752653972158484,0.9589578868737643,0.9415407509000533,0.08866488290720284,0.08975197482284938,0.09145352829419913,0.09329006352455502,0.09500687767919841,-0.26129765545283884,-0.2577218869148988,-0.2502880838319247,-0.2422211970668854,-0.23355418739196984,-0.12996614766208164,-0.13000456030155066,-0.12885900697821193,-0.12723624148059345,-0.12516297008060578,-0.2525587045519561,-0.2512420732728661,-0.24802293117110508,-0.24361239382548036,-0.23851117851803888,0.008387471142681426,0.009774566433966783,0.012083956812427523,0.014236119999047893,0.016289275688160347,-0.08661976989425432,-0.0861328203628994,-0.08576661367724407,-0.08568100132603032,-0.0859400372992116,-0.0025283003126269766,-0.0009902609343723963,0.0013329774231610704,0.003629755305802672,0.0059570978098958645,-0.05126046734517047,-0.049589860742737746,-0.047016916817889824,-0.04375061903390419,-0.04012457816813446,-0.16928536110234557,-0.16900880767129403,-0.1679794208590578,-0.1666455146581527,-0.1649573647176916,-0.04770439263394674,-0.048999198268540545,-0.04960616152134705,-0.04977929612146067,-0.049382616746962496,-0.11542136853068519,-0.1168806290642804,-0.11705184774950628,-0.11643354311119408,-0.11488772034978431,0.06202756583959169,0.06067755323553419,0.05951898051477068,0.05855162447274587,0.05789112494637567,-0.03688412675682697,-0.03686496708657386,-0.03632079057329528,-0.035531375863668904,-0.03473411421789589,-0.030891228179404574,-0.03279582958560646,-0.034119304836752955,-0.035002428865276734,-0.0353170151852373,-0.08372939834816477,-0.08072280082176736,-0.0775062139061578,-0.07481742664460832,-0.0725565267858287
0.9901450551634582,1.0,0.9901452321081251,0.9752658414391403,0.958958624117161,0.08877615296753166,0.08865366699429864,0.08974074446813292,0.09144227704904476,0.09327879039575332,-0.2585108287647189,-0.2613209058972735,-0.2577452936777656,-0.25031180307463335,-0.24224525454463017,-0.1280301620205635,-0.12995196620598118,-0.12999037433770164,-0.1288448338855942,-0.12722208791510023,-0.25183107046434056,-0.252549362651954,-0.2512357516234028,-0.24801789415215528,-0.24360613946905388,0.00858082923865674,0.008377287443273596,0.009764361597036135,0.012073721624212828,0.014225857112189978,-0.08636867857792575,-0.08658706338488924,-0.08609394434436793,-0.08572618129908327,-0.08564056663223717,-0.003182094267503236,-0.0025443361732742273,-0.0010063290220427249,0.0013168662295586716,0.003613603094336825,-0.05203887944927325,-0.05126202136952466,-0.04959860456857979,-0.04702569164771763,-0.0437594328158019,-0.16817235348871848,-0.16928632633630977,-0.16900977585160243,-0.16798039869291698,-0.16664650480796295,-0.04621911845966282,-0.04771509374237942,-0.049010729605414104,-0.04961726484777698,-0.049792081331370544,-0.11282596119008273,-0.11543377438056301,-0.11689301889091278,-0.1170642394682719,-0.11644594786589053,0.06338014403996066,0.061992545891543745,0.060642576575165995,0.05948404306521242,0.05851671892011138,-0.036564838103565894,-0.03687852793298941,-0.036859366297105595,-0.036315193615887684,-0.03552578538311745,-0.02881312156483446,-0.030889167212565863,-0.03279374989983255,-0.034117211707245625,-0.03500032707528769,-0.08591350744304133,-0.08372058018631279,-0.08071401267932186,-0.07749746149572077,-0.07480870370389028
0.9752653972158484,0.9901452321081251,1.0,0.9901454090414534,0.9752662856338921,0.08947726887070794,0.08876493329967806,0.08864245167070162,0.08972951470368423,0.09143102639537733,-0.25269339638163507,-0.25853420285312156,-0.26134415390296967,-0.25776869798201046,-0.2503355198192337,-0.12482637456216836,-0.12801600170631786,-0.12993778553455715,-0.12997618915886483,-0.1288306615774657,-0.24908333298356475,-0.25182173006935665,-0.25254303291445585,-0.2512306873976782,-0.24801160071743053,0.009396766075786721,0.008570638695330387,0.008367104275342263,0.009754157292897345,0.012063486970582866,-0.08634230927025753,-0.08633596914991615,-0.08654818323991735,-0.08605350802461749,-0.08568575385796731,-0.003285766537004347,-0.0031981263473700983,-0.0025603710574757083,-0.0010223961309728724,0.0013007560175743076,-0.05113987349301654,-0.052040426077157365,-0.05127074350936652,-0.049607347947705556,-0.047034466029074185,-0.1657962289055252,-0.16817332880644148,-0.16928729153808605,-0.16901074399963853,-0.16798137649388986,-0.044080723566080844,-0.04622984104495423,-0.04772663836775389,-0.049021838776327806,-0.04963005017571391,-0.10936627337686514,-0.11283840747663164,-0.11544617951792065,-0.11690540800565329,-0.11707663047486243,0.06481581115801155,0.06334506042692557,0.061957529675707945,0.06060760364254393,0.05944910933915488,-0.035742577832955855,-0.03655923954299642,-0.036872929380490665,-0.036853765779140665,-0.03630959692981653,-0.026324574777951217,-0.028811084911061883,-0.030887106364423874,-0.032791670334059185,-0.034115118698655175,-0.08772092838409933,-0.08590465324557416,-0.08371176261666209,-0.08070522512698708,-0.07748870967281636
0.9589578868737643,0.9752658414391403,0.9901454090414534,1.0,0.9901455859636121,0.09036412145395913,0.08946603953228811,0.08875371422148294,0.08863123693636663,0.08971828552943947,-0.24577768376407477,-0.2527170153044612,-0.25855757448702743,-0.26136739947020315,-0.25779209982781975,-0.12106285407938729,-0.12481225439197695,-0.12800184217577631,-0.12992360564773672,-0.12996200476512337,-0.2450200585955499,-0.2490740170311032,-0.25181540231018745,-0.252537960400141,-0.25122436635288997,0.01035428911689442,0.009386563273525063,0.008560448684010681,0.008356921638840076,0.009743953521518935,-0.08655891038856584,-0.08630959379099304,-0.08629708632739422,-0.08650774221424609,-0.08601307664148305,-0.0034650311432564557,-0.003301801423440473,-0.003214157450707283,-0.0025764049653221317,-0.0010384622612454,-0.049164805092005916,-0.051141428075279535,-0.05204914167989987,-0.05127946520385333,-0.049616090880215506,-0.16284532122233666,-0.16579722576719408,-0.16817430409144687,-0.16928825670777772,-0.16901171211539276,-0.04172001639122727,-0.044091474924851846,-0.04624140824678201,-0.04773776058510264,-0.049034630317308224,-0.10578110321049775,-0.10937877167329414,-0.11285085304808222,-0.11545858394279729,-0.11691779640862092,0.06628963562655085,0.06478066520119749,0.06330998055440427,0.0619225171914712,0.060572634437020635,-0.034945585137338926,-0.035736985695371246,-0.03655364125383439,-0.036867331099332296,-0.036848165532682,-0.023671856674278544,-0.02632256605585765,-0.028809048374418698,-0.030885045634958454,-0.032789590888262145,-0.08959739575129233,-0.08771204682160577,-0.08589579964306357,-0.08370294563908913,-0.08069643816467086
0.9415407509000533,0.958958624117161,0.9752662856338921,0.9901455859636121,1.0,0.09137960423625853,0.09035288116398421,0.08945481078418707,0.08874249573290761,0.08862002279125393,-0.2378377876578173,-0.24580159165144738,-0.25274063174199984,-0.25858094366663775,-0.26139064259962835,-0.11695379666716263,-0.1210487820967494,-0.12479813500335617,-0.12798768342892206,-0.1299094265455091,-0.24022217631775392,-0.24501078120733602,-0.24906771207649905,-0.25181033206674946,-0.2525316312682396,0.011226475043546126,0.010344073167433389,0.00937636100404972,0.008550259204665544,0.008346739533736183,-0.08683501103073418,-0.086526181824821,-0.08627070380690129,-0.08625664274110684,-0.0864673061244495,-0.003709713135977518,-0.003481065671998118,-0.003317835332954153,-0.0032301875775977945,-0.002592437896902331,-0.04641526751030431,-0.04916637759582647,-0.05115015535861436,-0.052057856837529434,-0.05128818645302078,-0.1594569839773404,-0.1628463447553166,-0.1657982225949717,-0.16817527934373672,-0.16928922184531156,-0.03916006694634872,-0.04173079917173129,-0.044103072284043233,-0.04625255248087782,-0.04775056621991297,-0.10203375152118464,-0.1057936547021191,-0.10939126925142074,-0.11286329790449426,-0.11547098765519938,0.06774245521051753,0.06625442720307906,0.06474552299274806,0.06327490442177172,0.06188750843817335,-0.034533506133770916,-0.03493999960816928,-0.03573139382887359,-0.03654804323603715,-0.03686173308947427,-0.02112575610111649,-0.023669877636761177,-0.026320557449075438,-0.028807011954899025,-0.030882985024147713,-0.09149273678940374,-0.0895884864848541,-0.0877031658562275,-0.08588694663549419,-0.08369412925358682
0.08866488290720284,0.08877615296753166,0.08947726887070794,0.09036412145395913,0.09137960423625853,1.0,0.9919712688277077,0.9820706397371534,0.9726700482028495,0.9637263117920514,-0.06111029318381823,-0.060474464361112826,-0.05929296594876191,-0.057977658904608265,-0.0567113547824638,-0.1982607480388369,-0.19807179187215093,-0.19762252300367752,-0.19722909767105615,-0.1969000915703467,-0.07115186604774874,-0.07126578576791236,-0.07118729141497152,-0.07114126185180672,-0.07110352796145698,0.05971275008462074,0.059387556086833056,0.05901508285627278,0.05853278400866265,0.057979690355691185,-0.16647114696681875,-0.16633549003065778,-0.16617608631097275,-0.16603326010205277,-0.16583880984284832,0.0814432199656943,0.08093726950207059,0.08054498413259564,0.08011613223772267,0.07965217982815542,-0.1820311661932642,-0.18181582896768153,-0.1811642580769511,-0.18055466656287875,-0.17994904275171172,-0.10672826157771988,-0.10647106778101115,-0.10613636497208742,-0.10575124592355523,-0.1053894422878413,0.03973033944523281,0.039191329665525396,0.03864049294615019,0.03800813378046319,0.03745643851129498,-0.032867863006377514,-0.033045081655751436,-0.032914357269297694,-0.03276397232294677,-0.032674778004111976,0.0478745270026757,0.047896109736746226,0.048024550228658265,0.048082592703426325,0.048115982670392965,-0.12653811522120445,-0.12627381164492477,-0.12586913207245476,-0.1256178290647847,-0.12529287864417807,-0.06705072231600077,-0.06683648955901833,-0.06647243516049473,-0.06585059271017478,-0.06514689633396262,-0.07539626069713413,-0.0755270688405815,-0.07571629874235186,-0.07604326694462381,-0.0764016146838192
0.08975197482284938,0.08865366699429864,0.08876493329967806,0.08946603953228811,0.09035288116398421,0.9919712688277077,1.0,0.9919713150743448,0.9820707430032474,0.9726702055861746,-0.06127752503352014,-0.06108887158880833,-0.060453060356881014,-0.05927160107358967,-0.05795633853162284,-0.1982289453486621,-0.19826637690178603,-0.1980774223749135,-0.19762815682092028,-0.19723473416700377,-0.07098866340378683,-0.07115539884547745,-0.07126779216282084,-0.07118863458051108,-0.07114326979767949,0.05988525496660637,0.05971811802973099,0.05939292730471754,0.05902045708920983,0.05853816129619088,-0.16671807352343465,-0.1664834091720503,-0.16634917574251104,-0.16619009228330117,-0.16604727124869662,0.08177495476529857,0.08145149247454532,0.08094554854918037,0.08055326824323047,0.08012442077338795,-0.1819822361699756,-0.18202947514636292,-0.1818095923601882,-0.18115802459406496,-0.18054843611483218,-0.1068413292314235,-0.10672650700836327,-0.10646931367664257,-0.10613461168272861,-0.10574949378109325,0.04033158594109811,0.03973648556232434,0.039197950834752145,0.03864688218515214,0.03801546782058162,-0.03271661817653999,-0.03285958557379759,-0.03303680084698885,-0.03290607565219696,-0.032755690500139524,0.0479617596312893,0.04789150167556939,0.047913085127374244,0.0480415224989318,0.048099563744063,-0.12669721325232153,-0.12654062347768055,-0.1262763213218023,-0.1258716435537611,-0.1256203416351268,-0.06719571787693468,-0.06705148039042559,-0.06683724702088477,-0.06647319320815191,-0.06585135225120607,-0.07527788744490228,-0.07540064478356728,-0.07553145582637723,-0.0757206866985798,-0.0760476549039904
0.09145352829419913,0.08974074446813292,0.08864245167070162,0.08875371422148294,0.08945481078418707,0.9820706397371534,0.9919713150743448,1.0,0.991971361319477,0.982070846265642,-0.061131200286258715,-0.06125609494439372,-0.06106745216271025,-0.06043165852001372,-0.05925023836132114,-0.19801132159588875,-0.19823457448576187,-0.19827200552348007,-0.19808305263617443,-0.19763379039662335,-0.07066766933370189,-0.07099219830222667,-0.07115740440032756,-0.07126913444129142,-0.07119064180675895,0.059945463030399375,0.05989062260390427,0.059723485760375464,0.05939829830794189,0.05902583110736848,-0.16695445703476694,-0.16673032897633197,-0.1664970879982321,-0.16636317370590356,-0.1662040969329118,0.08232407256279223,0.08178322528437298,0.08145976458249946,0.08095382719511483,0.08056155195214718,-0.18168262375946576,-0.18198054582498924,-0.18202323792924796,-0.18180335599684844,-0.18115179135510848,-0.10673536935777093,-0.1068395744941514,-0.10672475250066553,-0.10646755963384294,-0.10613285845499361,0.04080104173153536,0.040337728011349785,0.03974310240292804,0.03920433627433,0.03865421116754488,-0.0324849303911177,-0.032708342873308774,-0.032851308517185714,-0.03302852041445207,-0.03289779441144033,0.04830964355797035,0.0479787306345922,0.0479084747931698,0.04793005896244839,0.048058493213920264,-0.12656828273922893,-0.1266997215517882,-0.12654313164493114,-0.1262788309093142,-0.12587415494565884,-0.06729730334433295,-0.06719647404646423,-0.06705223843414118,-0.06683800445207676,-0.06647395122509651,-0.07516249687905872,-0.07528227576768351,-0.07540502864121901,-0.07553584258327053,-0.07572507442581204
0.09329006352455502,0.09144227704904476,0.08972951470368423,0.08863123693636663,0.08874249573290761,0.9726700482028495,0.9820707430032474,0.991971361319477,1.0,0.9919714075623719,-0.06098810378248787,-0.061109775682932105,-0.06123466702579843,-0.061046034905052865,-0.06041025885006227,-0.1977348161805896,-0.1980169520693638,-0.19824020338157614,-0.1982776339038157,-0.1980886826560767,-0.07035639194674517,-0.07067120643973454,-0.070994205812206,-0.07115874590056068,-0.071271140708021,0.059933507502680665,0.05995083049565659,0.05989599002675171,0.05972885327652148,0.05940366909649655,-0.16725481322721272,-0.1669667053566332,-0.16674399842185916,-0.16651107870542803,-0.16637717034815142,0.08295455007497539,0.08233233851469608,0.08179149540255896,0.08146803628953236,0.0809621054397418,-0.18128140933459483,-0.18168093474625013,-0.18197430908620105,-0.18201700095610138,-0.1817971198776327,-0.10661490811912931,-0.10673361521843726,-0.10683781981853542,-0.10672299805457472,-0.10646580565274814,0.04120694573774194,0.04080718072771892,0.040344340456033856,0.03974948369012874,0.03921166072131274,-0.03234642819156205,-0.03247665784151958,-0.03270006794599693,-0.03284303183656499,-0.03302024035812052,0.048730067762700696,0.04832660171000772,0.04799570008272609,0.047925446355728776,0.04794703124224478,-0.1263395707793873,-0.12657079177291078,-0.12670222976215256,-0.12654563972277408,-0.12628134040742922,-0.06732018792721134,-0.0672980583734937,-0.0671972301853675,-0.06705299644716128,-0.06683876185257374,-0.07523160577697012,-0.07516688772449254,-0.07528666386141895,-0.07540941227020298,-0.07554022911121112
0.09500687767919841,0.09327879039575332,0.09143102639537733,0.08971828552943947,0.08862002279125393,0.9637263117920514,0.9726702055861746,0.982070846265642,0.9919714075623719,1.0,-0.06085210990067833,-0.0609666852500944,-0.061088353249678776,-0.06121324127727518,-0.061024619815510224,-0.1972944237371162,-0.19774044822410414,-0.19802258230143563,-0.19824583203603477,-0.19828326204294014,-0.07012620479811307,-0.07035993101666756,-0.07067321592861629,-0.07099554922484487,-0.07116075132729224,0.05977313704376651,0.05993887483000713,0.05995619774641514,0.059901357235089596,0.05973422057822238,-0.16761706019161443,-0.16726705095947517,-0.16698036509871833,-0.16675797901805292,-0.16652506809272508,0.0834268415547134,0.0829628097093979,0.08234060406586155,0.08179976511984155,0.08147630759567835,-0.18086099845782233,-0.18127972189980543,-0.1816746998668073,-0.18196807259131237,-0.18201076422704102,-0.10652097943376405,-0.10661315478766488,-0.10673186114082814,-0.10683606520461592,-0.106721243670221,0.04155717030317819,0.0412130819903676,0.040813789822129035,0.040350717525266436,0.039756803246737006,-0.032086727761240656,-0.032338158091104394,-0.032468385667730325,-0.03269179339460336,-0.03283475553186319,0.04911820025867416,0.04874701008190126,0.04834355830815041,0.0480126679759428,0.0479424163635015,-0.1260501848038549,-0.1263420807376127,-0.12657330071722042,-0.1267047378830824,-0.12654814771140094,-0.06733993659029393,-0.06732094215494529,-0.06729881337206768,-0.06719798629365281,-0.06705375442948927,-0.07545482885403663,-0.07523599790184014,-0.0751712783407688,-0.0752910517261837,-0.07541379567040668
