21_T4,21_T3,21_T2,21_T1,21_T0,22_T4,22_T3,22_T2,22_T1,22_T0,23_T4,23_T3,23_T2,23_T1,23_T0,24_T4,24_T3,24_T2,24_T1,24_T0,25_T4,25_T3,25_T2,25_T1,25_T0,26_T4,26_T3,26_T2,26_T1,26_T0,83_T4,83_T3,83_T2,83_T1,83_T0
1.0,0.9910078427504028,0.9879918907437876,0.9860038237234955,0.9839662251170724,-0.20414179758451356,-0.20416961003195647,-0.20401430452617644,-0.20380069874906262,-0.20361000420076775,0.23823204687343888,0.23806113573941992,0.2378491888214653,0.23770434251198186,0.237466047594353,-0.006161320864592566,-0.006449175504936832,-0.006640820515972271,-0.006927829732356277,-0.007081490940075459,0.31042357126571063,0.31033048676369757,0.31026648417739433,0.3102389714861872,0.3103140617002643,0.02410802108960752,0.02417961682508564,0.024254682480305136,0.02414084093501857,0.02404544221214717,0.39576990985886357,0.3955808518484715,0.3954962362937717,0.3955223487270356,0.3955645827406844
0.9910078427504028,1.0,0.9910077499917601,0.9879919510705372,0.9860037510675269,-0.2038184972976062,-0.2041319076956779,-0.2041597191419226,-0.20400441470146344,-0.20379081078607938,0.23842316095564717,0.23821090499065978,0.23803999576607437,0.23782805315366778,0.23768321004251747,-0.006048033150297878,-0.006170262183152201,-0.006458115546505834,-0.006649759837000474,-0.00693676697134529,0.31080651858564623,0.3104240273296286,0.3103309439990049,0.31026694195718757,0.31023942969743545,0.024053715230847855,0.024096664389372344,0.02416825721844746,0.024243320722389623,0.024129480356393396,0.39560387566360156,0.39575760916656116,0.39556854910586453,0.39548393139590815,0.3955100413667886
0.9879918907437876,0.9910077499917601,1.0,0.9910076571722841,0.9879919871589583,-0.20339038991355118,-0.20381064036769195,-0.20412404936506928,-0.20415186014119252,-0.20399655679933879,0.23862064023546278,0.23840567690755146,0.2381934301476334,0.23802252335217902,0.2378105852509731,-0.006010115262574235,-0.006054943478376131,-0.00617716927601171,-0.006465021152314482,-0.006656664534363546,0.31101655485480284,0.31080699638110904,0.3104245050424038,0.3103314225916059,0.3102674209573247,0.023925657959897314,0.024044873911432535,0.024087825606638434,0.02415941614063671,0.024234477911086908,0.3954231410734868,0.3955939111441567,0.39574764710214333,0.39555858556050894,0.3954739662093365
0.9860038237234955,0.9879919510705372,0.9910076571722841,1.0,0.991007564413774,-0.2029730589641341,-0.20338050492479415,-0.20380075267013867,-0.20411416034535534,-0.20414197012053076,0.23877207594853253,0.23859948204461032,0.23838452798409324,0.23817229164224862,0.2380013867560822,-0.005873445603728346,-0.006019062357862591,-0.006063887977383778,-0.006186109765522346,-0.006473960364809022,0.3112195627318682,0.3110170106126996,0.3108074522933975,0.31042496107758827,0.3103318797981411,0.023768548866581484,0.023914297536996434,0.024033515011225828,0.024076470136970302,0.024148057765076617,0.39518262442657964,0.39541083623704554,0.3955816085723044,0.3957353476985901,0.39554628410732245
0.9839662251170724,0.9860037510675269,0.9879919871589583,0.991007564413774,1.0,-0.2025632422132852,-0.20296520807565702,-0.20337265130610277,-0.20379289650083143,-0.20410630277543876,0.23888636172677322,0.23875457994322166,0.2385819927302407,0.23836704700017528,0.23815481986099063,-0.005681722357120527,-0.005880359890882323,-0.006025974036367525,-0.006070797591065668,-0.006193016144503527,0.3113860534411079,0.31122004039512524,0.31101748836718385,0.31080793005917623,0.3104254387606677,0.023592621778034874,0.023759707693653407,0.02390545636677185,0.024024674760365145,0.024067632422163716,0.39508068909075816,0.3951726583401367,0.39540087108586486,0.39557164518964694,0.395725386770398
-0.20414179758451356,-0.2038184972976062,-0.20339038991355118,-0.2029730589641341,-0.2025632422132852,1.0,0.998029014190909,0.9953633225616799,0.9926370184576921,0.9898482831413105,-0.22925119731390955,-0.22882543169138295,-0.22832765706217167,-0.22780065649757164,-0.2272158325812052,-0.020620481913545093,-0.020303665937523554,-0.019946027272651552,-0.0195732224623539,-0.019241846644662296,-0.3094569957532837,-0.3090311437142967,-0.3080838629604345,-0.3067725217847134,-0.30533444565961315,-0.2796402053369661,-0.279547647611956,-0.27916279324768084,-0.27861161921821564,-0.2779955258069621,-0.07764655435439465,-0.07707552689674749,-0.0763633770561627,-0.07572040864122491,-0.07512769410911983
-0.20416961003195647,-0.2041319076956779,-0.20381064036769195,-0.20338050492479415,-0.20296520807565702,0.998029014190909,1.0,0.99802903967265,0.9953633825039073,0.9926371136411308,-0.2290862263158767,-0.2292687584594686,-0.22884300528784765,-0.2283452446537282,-0.22781825909772693,-0.020475591968109073,-0.020634633800829135,-0.020317823215478002,-0.019960190226096457,-0.019587391453831995,-0.30924100506582347,-0.3094528797136028,-0.3090270288372253,-0.30807975377448177,-0.3067684207081368,-0.2791638969541394,-0.2796526843764622,-0.27956012873891556,-0.27917528140832915,-0.27862411743969095,-0.0774956606558696,-0.07765895965946783,-0.07708794176499,-0.07637580306567139,-0.07573284474575459
-0.20401430452617644,-0.2041597191419226,-0.20412404936506928,-0.20380075267013867,-0.20337265130610277,0.9953633225616799,0.99802903967265,1.0,0.9980290651532827,0.9953634424427165,-0.22867785033842383,-0.22910379255117536,-0.229286318138241,-0.22886057741626764,-0.22836283077579736,-0.02004854970122542,-0.02048974760899741,-0.02064878487266295,-0.020331979677556396,-0.01997435236326624,-0.30828630618472547,-0.30923688892270224,-0.3094487638583311,-0.3090229141444093,-0.30807564477250265,-0.27830261325262323,-0.27917638635188285,-0.27966516260631025,-0.279572609055847,-0.2791877687585498,-0.07719096349644941,-0.07750807032534016,-0.07767136415920475,-0.07710035582715555,-0.07638822826825745
-0.20380069874906262,-0.20400441470146344,-0.20415186014119252,-0.20411416034535534,-0.20379289650083143,0.9926370184576921,0.9953633825039073,0.9980290651532827,1.0,0.9980290906322966,-0.22823232619138328,-0.22869542830832934,-0.22912135731909097,-0.2293038763505077,-0.2288781480767104,-0.0195249408464416,-0.020062712694871587,-0.020503902434088242,-0.020662935129116405,-0.020346135323833857,-0.30704565691267455,-0.3082821957991975,-0.3092327729639751,-0.30944464818730305,-0.3090187996358396,-0.27728975560289837,-0.278315119692577,-0.27918887493917455,-0.2796776400264844,-0.2795850885629554,-0.07696850136229216,-0.07720337936416409,-0.07752047918902547,-0.07768376785364894,-0.07711276908325501
-0.20361000420076775,-0.20379081078607938,-0.20399655679933879,-0.20414197012053076,-0.20410630277543876,0.9898482831413105,0.9926371136411308,0.9953634424427165,0.9980290906322966,1.0,-0.22774668401502476,-0.22824991712116802,-0.22871300480950066,-0.22913892061977792,-0.22932143309637185,-0.01899079722395802,-0.019539112585559393,-0.020076874872178217,-0.02051805644342801,-0.020677084570260042,-0.305566021005794,-0.30704155435653496,-0.3082780855976694,-0.3092286571895009,-0.3094405327006266,-0.2761695559712676,-0.27730228183524924,-0.27832762532054517,-0.27920136271585944,-0.27969011663723187,-0.07681919043975005,-0.0769809225331441,-0.07721579442544844,-0.07753288724698329,-0.07769617074297554
