34_T4,34_T3,34_T2,34_T1,34_T0,35_T4,35_T3,35_T2,35_T1,35_T0,36_T4,36_T3,36_T2,36_T1,36_T0,37_T4,37_T3,37_T2,37_T1,37_T0,38_T4,38_T3,38_T2,38_T1,38_T0
1.0,0.9955732758834137,0.9905303632164393,0.9855159679301198,0.9804765792545151,-0.17668281546628944,-0.17661860081129555,-0.1764561075114642,-0.17624466084092733,-0.17598507510624367,-0.32809870819906933,-0.3275028991840303,-0.32644173899319384,-0.3253198970524128,-0.3243377284073247,-0.2705189062146923,-0.269575996060712,-0.2674404674945779,-0.2652640955705609,-0.26301624851142164,-0.2113404155043867,-0.21088906444430744,-0.20991357105232755,-0.2087352042773109,-0.20742425923791452
0.9955732758834137,1.0,0.9955733666424618,0.990530557414737,0.985516265020519,-0.17622175786466318,-0.176678823294609,-0.1766146088375616,-0.17645211646841105,-0.17624067107938757,-0.3280769170631143,-0.32810711454572744,-0.32751131974643966,-0.3264501787028955,-0.32532835560802814,-0.2691783004969438,-0.27051342368653275,-0.26956196618207134,-0.2674293996235591,-0.2652572892834133,-0.2111008088220651,-0.21130660109615182,-0.21085525470106484,-0.20987978527122636,-0.2087014490853398
0.9905303632164393,0.9955733666424618,1.0,0.9955734573956515,0.9905307515996149,-0.1752269460846652,-0.17621777061252983,-0.1766748313377941,-0.1766106170787016,-0.17644812564015114,-0.32753014027736266,-0.32808532914339067,-0.3281155204211681,-0.327519739836561,-0.3264586179389983,-0.2669811801602031,-0.26917282751965316,-0.27049938993236544,-0.26955087836902597,-0.26742257343355386,-0.2103469763873918,-0.21106699254801808,-0.2112727896268257,-0.21082144789662335,-0.20984600242724022
0.9855159679301198,0.990530557414737,0.9955734573956515,1.0,0.9955735481417738,-0.17413707258272093,-0.17522296927871378,-0.17621378357503595,-0.17667083959576188,-0.17660662553468648,-0.3267040920454566,-0.3275385637234031,-0.3280937407520011,-0.32812392582530847,-0.3275281594542495,-0.264636962059478,-0.266975727271641,-0.26915880411340193,-0.2704882981268248,-0.2695440333481922,-0.20932008748961367,-0.21031317667276114,-0.21103317921354317,-0.21123898109583775,-0.21078764403069614
0.9804765792545151,0.985516265020519,0.9905307515996149,0.9955735481417738,1.0,-0.17291148214805874,-0.17413310731661458,-0.17521899268683247,-0.17620979675209125,-0.17666684806846858,-0.32579204871834244,-0.32671253001937045,-0.32754698669696497,-0.32810215188876907,-0.3281323307582363,-0.26215275282393435,-0.2646315310661841,-0.2669617278670885,-0.2691477219537275,-0.2704814483949904,-0.20811776961608558,-0.20928631271599327,-0.21027937989671286,-0.2109993688182354,-0.21120517550289516
-0.17668281546628944,-0.17622175786466318,-0.1752269460846652,-0.17413707258272093,-0.17291148214805874,1.0,0.9856771082391667,0.969667123147304,0.954881713914075,0.9412297499114046,-0.02842226983319152,-0.028005118000715052,-0.026989716419793388,-0.025783744791169842,-0.02444216255270314,-0.1727999355965403,-0.17255963962390694,-0.1714232856833322,-0.1697468591474184,-0.16825730442671455,-0.08023483055535112,-0.0800222381321448,-0.07950641164809268,-0.07893310198934322,-0.07835316521364574
-0.17661860081129555,-0.176678823294609,-0.17621777061252983,-0.17522296927871378,-0.17413310731661458,0.9856771082391667,1.0,0.9856771114977579,0.969667130043269,0.9548817241663065,-0.028977092748458798,-0.028423533179854837,-0.028006382947061384,-0.026990985687349457,-0.02578501912214441,-0.17164524701757436,-0.17279960490148313,-0.17255804255859447,-0.17142217026551299,-0.16974635456459372,-0.08034094551849856,-0.08023040087169354,-0.08001781372988351,-0.0795019978330692,-0.07892869978177208
-0.1764561075114642,-0.1766146088375616,-0.1766748313377941,-0.17621378357503595,-0.17521899268683247,0.969667123147304,0.9856771114977579,1.0,0.9856771147547533,0.9696671369381525,-0.028785825678350314,-0.028978353262766775,-0.028424796479987732,-0.028007647846783067,-0.026992254908105896,-0.1698842745547483,-0.17164491655545377,-0.17279800734458836,-0.1725569255229874,-0.17142166500296546,-0.08029899844012868,-0.08033651536896995,-0.08022597150894989,-0.08001338964813386,-0.07949758433774114
-0.17624466084092733,-0.17645211646841105,-0.1766106170787016,-0.17667083959576188,-0.17620979675209125,0.954881713914075,0.969667130043269,0.9856771147547533,1.0,0.985677118012504,-0.028268624365518594,-0.028787087011150153,-0.02897961373062247,-0.02842605973358303,-0.028008912699903146,-0.16799207783548312,-0.1698839444421159,-0.17164332239594696,-0.17279689009478133,-0.17255641990244813,-0.08031459130834231,-0.08029456946220996,-0.08033208554044152,-0.0802215424671274,-0.08000896588694383
-0.17598507510624367,-0.17624067107938757,-0.17644812564015114,-0.17660662553468648,-0.17666684806846858,0.9412297499114046,0.9548817241663065,0.9696671369381525,0.985677118012504,1.0,-0.027732194604458086,-0.028269888035132803,-0.028788348297466106,-0.028980874152057804,-0.028427322940659555,-0.1659692515027328,-0.167991748088559,-0.1698823550558858,-0.17164220711112008,-0.17279638455028512,-0.080325275471239,-0.08031016200685705,-0.0802901408053468,-0.08032765603294356,-0.08021711374617772
-0.32809870819906933,-0.3280769170631143,-0.32753014027736266,-0.3267040920454566,-0.32579204871834244,-0.02842226983319152,-0.028977092748458798,-0.028785825678350314,-0.028268624365518594,-0.027732194604458086,1.0,0.9929182889793204,0.9868221920051323,0.9815519195794021,0.9766141982864674,-0.039313079636512226,-0.03934075566517352,-0.03924290402750251,-0.03902489415336043,-0.038723093179813296,0.1143015162597271,0.1146193448881354,0.11505381673506886,0.11556278426777199,0.11610043374246579
-0.3275028991840303,-0.32810711454572744,-0.32808532914339067,-0.3275385637234031,-0.32671253001937045,-0.028005118000715052,-0.028423533179854837,-0.028978353262766775,-0.028787087011150153,-0.028269888035132803,0.9929182889793204,1.0,0.9929183488241884,0.9868223034251589,0.9815520756172009,-0.03872963300098879,-0.03931461836302975,-0.03934724874342482,-0.03924776308543819,-0.03902727377754784,0.11403301318895542,0.1142811179415491,0.11459893151559997,0.11503338846531691,0.11554234076883259
-0.32644173899319384,-0.32751131974643966,-0.3281155204211681,-0.3280937407520011,-0.32754698669696497,-0.026989716419793388,-0.028006382947061384,-0.028424796479987732,-0.02897961373062247,-0.028788348297466106,0.9868221920051323,0.9929183488241884,1.0,0.9929184086654602,0.9868224148396789,-0.03804732204334734,-0.03873117633163381,-0.03932110669888938,-0.03935210406517441,-0.03925013993858996,0.11404975005830974,0.11401261257800084,0.11426072116506653,0.11457851968622627,0.11501296174012372
-0.3253198970524128,-0.3264501787028955,-0.327519739836561,-0.32812392582530847,-0.32810215188876907,-0.025783744791169842,-0.026990985687349457,-0.028007647846783067,-0.02842605973358303,-0.028980874152057804,0.9815519195794021,0.9868223034251589,0.9929184086654602,1.0,0.9929184685041387,-0.03724677139752996,-0.03804886990857721,-0.038737673078677815,-0.03932595810753743,-0.039354478260359885,0.1142163559875894,0.11402934281888939,0.11399221350919045,0.11424032593016752,0.11455810939989268
-0.3243377284073247,-0.32532835560802814,-0.3264586179389983,-0.3275281594542495,-0.3281323307582363,-0.02444216255270314,-0.02578501912214441,-0.026992254908105896,-0.028008912699903146,-0.028427322940659555,0.9766141982864674,0.9815520756172009,0.9868224148396789,0.9929184685041387,1.0,-0.036464117205749304,-0.03724832407720242,-0.03805537464427419,-0.03874253143553455,-0.039328329655527225,0.11443690465313237,0.1141959404926359,0.11400893712242068,0.11397181598233405,0.11421993223660541
