,27_T4,27_T3,27_T2,27_T1,27_T0,28_T4,28_T3,28_T2,28_T1,28_T0,29_T4,29_T3,29_T2,29_T1,29_T0,30_T4,30_T3,30_T2,30_T1,30_T0,31_T4,31_T3,31_T2,31_T1,31_T0,32_T4,32_T3,32_T2,32_T1,32_T0,33_T4,33_T3,33_T2,33_T1,33_T0
27_T4,1.0,0.9878621431920097,0.9694845198139319,0.9474652521710585,0.9241045161845886,-0.39459368925190175,-0.3848796944807607,-0.3747004147963857,-0.35986523349928484,-0.34387571486659824,-0.08510687029873741,-0.07872467154774637,-0.07250329736141226,-0.0643354759527685,-0.05534172125664031,-0.07293119903478774,-0.06164776188720579,-0.05227921902289783,-0.04379359616891457,-0.03685071251878898,0.08103987144957395,0.07506530617113114,0.07314667201734582,0.06865975267931158,0.061974526887711094,-0.003435689543041625,-0.006517301167806722,-0.007129306623377797,-0.010035607607884144,-0.013888014187301494,0.09639732072405392,0.10747156846603864,0.11803735137403754,0.12968424399957829,0.13873248847476696
27_T3,0.9878621431920097,1.0,0.987856379925263,0.9694696061317937,0.9474553738469971,-0.380790224378968,-0.39459390094352775,-0.38488045153415984,-0.3746953517974249,-0.35986671772699264,-0.08403037647894855,-0.08510461423539961,-0.07872141459366322,-0.07250021784722505,-0.06433502216337154,-0.07793112561746103,-0.07292525025133999,-0.061650228502748386,-0.05228857536103363,-0.043813809951661335,0.07743868310302583,0.08103886806980541,0.07506390428781573,0.07314482845432084,0.06866675742186418,-0.007625528941200173,-0.003407304145174848,-0.006476406447720197,-0.007085989120470479,-0.009980052241614796,0.09249447799366119,0.09638804810945001,0.10745419440286806,0.11801575600241829,0.12965753598656607
27_T2,0.9694845198139319,0.987856379925263,1.0,0.9878549834071589,0.9694701410264416,-0.3665485147915659,-0.3807904714578901,-0.39459836366248857,-0.3848610369858665,-0.37469841066384807,-0.08462292943535135,-0.08401515371942074,-0.08508977733690098,-0.07870861992838189,-0.07249793877294752,-0.08137353318438291,-0.07800817932134356,-0.07300114034983432,-0.06175151813335844,-0.05240322882562728,0.07641405540920188,0.07743438352019,0.08103374901059913,0.07505786560914983,0.07316434097625463,-0.009887866875252503,-0.007494923613317307,-0.003277690983561575,-0.006348572999921649,-0.006938794553283747,0.0893711647886918,0.09244791814908312,0.09633227424853529,0.10739087849786598,0.117944950050428
27_T1,0.9474652521710585,0.9694696061317937,0.9878549834071589,1.0,0.9878548302966531,-0.34939459513831095,-0.3665471687382173,-0.38079708021470715,-0.39457011226496147,-0.384862106706989,-0.08344503841636665,-0.08459820295622196,-0.08399152498577835,-0.08507216020103149,-0.07870496889692637,-0.08458476406733945,-0.08150873234435543,-0.07813891102244463,-0.07314171631480854,-0.06190879678570124,0.07068317118341526,0.07640768347594656,0.07742735796918084,0.08102555793877204,0.07508280346445383,-0.014214643762247552,-0.009682526507607573,-0.0072909227772099796,-0.0031135130831952285,-0.006159710383586317,0.08693514686041397,0.08929671411158784,0.09236053067177587,0.09625015776411375,0.10729928299366898
27_T0,0.9241045161845886,0.9474553738469971,0.9694701410264416,0.9878548302966531,1.0,-0.3328468336186774,-0.34939539038299616,-0.36655502645398763,-0.38077307278012285,-0.3945716175912951,-0.08241339596834998,-0.08342251927956149,-0.08457649590051082,-0.08397575310694742,-0.08506939900964335,-0.08627356043094103,-0.08470799033007079,-0.08162772951643324,-0.07826555415289169,-0.07326041121940052,0.06311803944310716,0.0706790002741692,0.07640221992924809,0.0774212944015606,0.08104590973010929,-0.01804556198200899,-0.014015493935030114,-0.00948619436117873,-0.007132499446751585,-0.0029622534668973352,0.08613593684304424,0.08686395547283984,0.08921355012237106,0.0922826588606096,0.0961769057572938
28_T4,-0.39459368925190175,-0.380790224378968,-0.3665485147915659,-0.34939459513831095,-0.3328468336186774,1.0,0.98307421622159,0.9620728693402751,0.9366483591000261,0.9094729266441801,-0.0076496020000944255,-0.017843396721521996,-0.023288596374182773,-0.029395361632991585,-0.034402888146779415,-0.27678981103212685,-0.2883499596627523,-0.28854425239586223,-0.28768596084576364,-0.28442154622868776,-0.1228944713682489,-0.10962313869905259,-0.10265112973473636,-0.09483320041344978,-0.08794378393821091,-0.21220435250301597,-0.20183309259565935,-0.18884070518888027,-0.1724749479635358,-0.15649887900594137,-0.0949130136023009,-0.10694705169867419,-0.11276942254576044,-0.11817839496593958,-0.1189317780413977
28_T3,-0.3848796944807607,-0.39459390094352775,-0.3807904714578901,-0.3665471687382173,-0.34939539038299616,0.98307421622159,1.0,0.9830734075681621,0.9620649113285776,0.9366483567493094,-0.008786999777212446,-0.007651655546234036,-0.01784633354108606,-0.023291250693947652,-0.02939569811048162,-0.26760388823376835,-0.27670635133127053,-0.288249756226389,-0.2884050914605838,-0.28754353490158785,-0.12066108231329895,-0.12289418748402697,-0.10962257263105486,-0.10265035812764683,-0.09483586400617483,-0.2053497223965245,-0.21215291347783818,-0.20178071789579302,-0.18880696771710145,-0.17244524437020384,-0.09224280584492657,-0.09490292998811395,-0.10692878960806929,-0.1127484091678751,-0.11815401723327866
28_T2,-0.3747004147963857,-0.38488045153415984,-0.39459836366248857,-0.38079708021470715,-0.36655502645398763,0.9620728693402751,0.9830734075681621,1.0,0.9830590481067045,0.9620646149705666,-0.00841619561761227,-0.00879421788399862,-0.007658449976418699,-0.017852378767614065,-0.023291887150231557,-0.2535772781146298,-0.26747985069139324,-0.2765854138242225,-0.288078872938052,-0.2882304074895105,-0.11999715433543373,-0.12065962021019058,-0.12289249146136234,-0.10962038542589299,-0.10265785115721941,-0.19645289019934242,-0.2053352229506522,-0.21213174164789583,-0.20177846638265773,-0.18880994632075995,-0.08802279017359702,-0.0922167089116401,-0.09487200454951746,-0.1068922420527978,-0.1127078890401386
28_T1,-0.35986523349928484,-0.3746953517974249,-0.3848610369858665,-0.39457011226496147,-0.38077307278012285,0.9366483591000261,0.9620649113285776,0.9830590481067045,1.0,0.9830496184541866,-0.010439418080251346,-0.008406044705955622,-0.008784407198383852,-0.0076512094167075625,-0.017851578660136206,-0.23794805667353908,-0.2535743007042495,-0.26747345702632486,-0.2765653850030468,-0.2880530280693189,-0.11564067190226586,-0.11999820492954828,-0.12066102750976394,-0.12289444425068378,-0.10960767598282643,-0.1840198583773138,-0.1962955706947715,-0.20517135798630062,-0.21200470265867635,-0.20164636563316427,-0.08358304768285264,-0.08804832538883026,-0.09224530970096631,-0.09489908930294115,-0.10691765961284855
28_T0,-0.34387571486659824,-0.35986671772699264,-0.37469841066384807,-0.384862106706989,-0.3945716175912951,0.9094729266441801,0.9366483567493094,0.9620646149705666,0.9830496184541866,1.0,-0.013017094773712538,-0.010445397764731804,-0.008411541885635485,-0.008788170396059326,-0.007651564330484941,-0.225641585674245,-0.23782675681601295,-0.25345544490578725,-0.2673311854288613,-0.27643814008352835,-0.11042050737190529,-0.11564005621563414,-0.11999738654623661,-0.12066013585908489,-0.12289756850959221,-0.171663798802731,-0.18399209617557197,-0.196258233774838,-0.2051461584266049,-0.21197698275727406,-0.08070236308349253,-0.08355901767758313,-0.0880202075257381,-0.0922197338970853,-0.09487579200367384
