,34_T4,34_T3,34_T2,34_T1,34_T0,35_T4,35_T3,35_T2,35_T1,35_T0,36_T4,36_T3,36_T2,36_T1,36_T0,37_T4,37_T3,37_T2,37_T1,37_T0,38_T4,38_T3,38_T2,38_T1,38_T0
34_T4,1.0,0.9836023481913494,0.9639956729261846,,,-0.21268113428658136,-0.21281878703685836,-0.19790976328819454,,,-0.3001493684515555,-0.29405001550626786,-0.28480112537384705,,,-0.273226000426623,-0.2607537307450548,-0.24913352846009112,,,-0.2305439365983777,-0.22636811869783746,-0.21467601626442748,,
34_T3,0.9836023481913494,1.0,0.9836023481913494,0.9639956729261846,,-0.21827260882002442,-0.21268113428658136,-0.21281878703685836,-0.19790976328819454,,-0.3018446679190502,-0.3001493684515555,-0.29405001550626786,-0.28480112537384705,,-0.27352460208981577,-0.273226000426623,-0.2607537307450548,-0.24913352846009112,,-0.23451243846413156,-0.2305439365983777,-0.22636811869783746,-0.21467601626442748,
34_T2,0.9639956729261846,0.9836023481913494,1.0,0.983643623336136,0.964172442002632,-0.2064138092622427,-0.21827260882002442,-0.21241535703352937,-0.21256956121653828,-0.1986123143688883,-0.2998921389096363,-0.3018446679190502,-0.30086064758688325,-0.2952008538493079,-0.28702130496369166,-0.2747597659202719,-0.27352460208981577,-0.2732805002058221,-0.2601507904776065,-0.24740128743834688,-0.23458846470495606,-0.23451243846413156,-0.22915529734231438,-0.22432813836011303,-0.21068017694747374
34_T1,,0.9639956729261846,0.983643623336136,1.0,0.9836822178954644,,-0.2064138092622427,-0.2178549111381526,-0.21223922937332992,-0.21289290781137224,,-0.2998921389096363,-0.3028979666158625,-0.3016209220871912,-0.29627004041981725,,-0.2747597659202719,-0.27360863797472584,-0.27286593422432875,-0.2592687648273772,,-0.23458846470495606,-0.23239788087543328,-0.2277713362690916,-0.22229831608777356
34_T0,,,0.964172442002632,0.9836822178954644,1.0,,,-0.20561778320712779,-0.2175955654556312,-0.2124449623395894,,,-0.30195897119239945,-0.30398431095646045,-0.3023037215363896,,,-0.27495594071866186,-0.27302416516308775,-0.27229672385801046,,,-0.2304737606943102,-0.230389525692323,-0.22645485427247145
35_T4,-0.21268113428658136,-0.21827260882002442,-0.2064138092622427,,,1.0,0.9348973604042996,0.866683786956267,,,-0.014867559189577165,-0.00456227046212553,-0.004108865996309929,,,-0.15383788118966552,-0.1532711828167489,-0.15556284015260605,,,-0.0722916665429648,-0.05637170467267379,-0.05471930541982939,,
35_T3,-0.21281878703685836,-0.21268113428658136,-0.21827260882002442,-0.2064138092622427,,0.9348973604042996,1.0,0.9348973604042996,0.866683786956267,,-0.015082736964210327,-0.014867559189577165,-0.00456227046212553,-0.004108865996309929,,-0.14337064270706715,-0.15383788118966552,-0.1532711828167489,-0.15556284015260605,,-0.08138955868890296,-0.0722916665429648,-0.05637170467267379,-0.05471930541982939,
35_T2,-0.19790976328819454,-0.21281878703685836,-0.21241535703352937,-0.2178549111381526,-0.20561778320712779,0.866683786956267,0.9348973604042996,1.0,0.9348930552168434,0.8664726420901765,-0.01676256910296876,-0.015082736964210327,-0.014915601220824809,-0.004650109276022123,-0.00429619422365391,-0.13957659022617191,-0.14337064270706715,-0.15384825902401553,-0.1532536667759965,-0.15547897863072432,-0.10200668472513275,-0.08138955868890296,-0.072210184167456,-0.056253466516627805,-0.054469201711382774
35_T1,,-0.19790976328819454,-0.21256956121653828,-0.21223922937332992,-0.2175955654556312,,0.866683786956267,0.9348930552168434,1.0,0.9348238299960907,,-0.01676256910296876,-0.015064901382451529,-0.014907342694885558,-0.004649838412159131,,-0.13957659022617191,-0.14336214762722135,-0.15384720882292263,-0.15324387138543827,,-0.10200668472513275,-0.08135572962577711,-0.07218669043169687,-0.0562212382454887
35_T0,,,-0.1986123143688883,-0.21289290781137224,-0.2124449623395894,,,0.8664726420901765,0.9348238299960907,1.0,,,-0.015973498437097708,-0.014653889409660338,-0.01465219296231167,,,-0.13932331397718042,-0.14341420912090075,-0.15391915980406154,,,-0.1026963715720523,-0.0817062106753568,-0.0724166620102181
