Filtered Pattern, Confidence-Frequence
Total number of input patterns: 3542
[[[['Vuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6290909090909091 - 1903']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,QuasiVuota_T0_3,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6269897837966263 - 5278']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_0,Vuota_T1_1,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6241573033707866 - 2222']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.623951182303585 - 1636']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_0,Vuota_T1_3,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6238487639360155 - 1287']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6228455029771232 - 3975']]
[[[['Vuota_T0_0'], ['Vuota_T1_0,Vuota_T1_1,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6226646248085758 - 2033']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['Vuota_T1_0,Vuota_T1_1'], ['QuasiVuota_T2_0']]], ['0.6219308035714286 - 2229']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2'], ['Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6216562550056063 - 3881']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_0,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6215508559919436 - 12344']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,Vuota_T0_3'], ['Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6214263273641218 - 3956']]
